season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2014/15,77794,50,48,118,3415,0,4,10,53,1,0,0,2,0,0,11,693,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2015/16,77794,55,49,26,459,1,1,1,4,0,0,0,1,0,0,3,119,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2016/17,77794,50,47,51,568,0,5,3,3,0,0,0,1,0,0,7,202,183.8,185.6,35.0,40.6,0,0,0,0,0,0.00,0.00,0.00,0.00
2017/18,77794,55,52,113,1912,0,7,9,21,0,0,0,1,0,0,18,539,459.0,617.5,78.0,115.6,0,0,0,0,0,0.00,0.00,0.00,0.00
2018/19,77794,60,60,118,2275,1,5,10,23,1,0,0,2,0,0,16,573,601.6,827.0,121.0,155.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2019/20,77794,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2021/22,77794,50,49,28,429,2,0,1,5,0,0,0,0,0,0,3,101,164.8,128.3,14.0,30.8,0,0,0,0,0,0.00,0.00,0.00,0.00
2022/23,77794,50,60,198,3342,1,9,16,31,1,0,0,5,0,0,39,941,908.2,1824.0,123.0,285.8,0,0,0,0,38,0.85,12.03,12.88,38.41
2023/24,77794,65,66,111,2235,1,10,6,43,0,0,0,5,0,0,20,589,719.0,1028.5,102.0,185.2,0,0,0,0,26,0.65,6.97,7.62,40.26
2024/25,77794,60,56,72,1299,0,3,6,18,0,0,0,1,0,0,8,287,319.4,406.8,33.0,76.1,0,0,0,95,14,0.12,1.44,1.56,17.05
