name,time,event
wildcard,2025-09-01T17:24:06.133140Z,4
3xc,2025-09-27T09:50:41.510451Z,6
bboost,2025-12-20T03:08:20.189296Z,17
freehit,2025-12-27T17:21:14.601022Z,19
wildcard,2026-04-08T16:31:15.949448Z,32
bboost,2026-04-13T08:20:42.010128Z,33
freehit,2026-04-21T05:42:51.415794Z,34
3xc,2026-05-08T08:01:05.182077Z,36
