event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,48,48,6360211,6360973,6360201,70,0,1000,0,0,11
2,71,119,729721,729791,1832224,10,0,999,0,0,15
3,86,205,13187,13187,59153,1,34,999,1,0,0
4,72,277,2931949,2932343,84771,30,3,998,0,0,7
5,52,329,2085575,2086095,70367,20,3,1003,0,0,9
6,77,406,459629,459949,27609,5,15,1005,2,0,8
7,70,476,3540469,3540792,39427,30,13,1006,1,0,8
8,87,563,219710,219842,10200,5,13,1013,0,0,13
9,41,604,7957024,7957328,25779,70,5,1015,2,0,9
10,84,688,880936,881093,16018,10,5,1018,0,0,12
11,47,735,2442242,2442418,10157,20,20,1021,2,0,20
12,53,788,1584099,1584392,6026,15,25,1024,1,0,13
13,53,841,886570,886871,3512,10,25,1025,0,0,11
14,79,920,1223750,1223858,2205,10,0,1025,2,0,4
15,59,979,2698708,2699091,1970,25,6,1026,1,0,16
16,86,1065,616214,616347,1259,5,4,1029,5,0,3
17,81,1146,2770155,2770412,1460,25,4,1035,0,0,6
18,52,1198,3092842,3093117,1125,25,7,1037,2,0,19
19,42,1240,5568442,5568903,1082,45,18,1038,1,0,6
20,51,1291,3155976,3156251,1399,25,8,1038,1,0,8
21,62,1353,1780887,1781195,988,15,8,1039,0,0,11
22,51,1404,2009448,2009565,581,20,28,1036,2,0,10
23,54,1458,2442272,2442420,246,20,21,1039,1,0,6
24,63,1521,3186011,3186268,303,25,21,1041,0,0,1
25,85,1606,256804,256847,129,5,2,1040,2,0,9
26,79,1685,950190,950343,79,10,19,1042,1,0,5
27,45,1730,6188421,6189118,99,50,19,1041,0,0,8
28,64,1794,3728054,3728216,220,30,3,1041,2,0,0
29,73,1867,1879825,1879946,143,15,4,1043,1,0,9
30,66,1933,307402,307705,83,5,4,1046,0,0,8
31,60,1993,1565078,1565393,100,15,4,1050,2,0,1
32,57,2050,2878886,2879576,108,25,52,1040,0,0,15
33,137,2187,19092,19143,27,1,52,1042,0,0,0
34,52,2239,2070491,2070812,41,20,52,1043,0,0,14
35,50,2289,6595888,6596408,62,55,52,1047,0,0,19
36,77,2366,4051703,4051865,98,35,32,1049,3,0,24
37,31,2397,3949636,3949948,74,35,25,1049,1,0,11
