event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,58,58,3379513,3474849,3379511,40,0,1000,0,0,9
2,57,115,3433596,3467705,2563260,35,0,1002,1,0,8
3,61,176,1485824,1500855,1162239,15,39,1006,1,0,3
4,81,257,1043748,1056050,518305,10,28,1008,1,0,7
5,59,316,750032,761408,228902,10,16,1013,1,0,6
6,67,383,1617097,1629302,186399,15,1,1015,1,0,1
7,88,471,299305,307287,59652,5,1,1018,0,0,6
8,66,537,3231754,3257705,80738,30,8,1022,1,0,17
9,47,580,5717377,5722623,136233,50,21,1021,3,4,10
10,80,660,1694326,1714290,106315,15,33,1023,1,0,6
11,59,719,345501,351390,34729,5,15,1025,1,0,5
12,52,771,1665384,1687904,21480,15,15,1033,0,0,6
13,33,804,6899012,6927569,47296,60,11,1035,1,0,4
14,82,886,775333,785526,24686,10,2,1036,1,0,5
15,68,954,955830,968667,11551,10,2,1039,0,0,4
16,71,1025,2988058,2999287,18340,25,6,1037,4,0,0
17,82,1107,2543657,2567616,18651,25,6,1039,0,0,14
18,67,1174,359825,366177,5725,5,0,1039,0,0,7
19,40,1214,6561034,6593000,6205,55,0,1039,1,0,11
20,58,1272,1550557,1559635,4701,15,1,1033,2,0,3
21,82,1354,38771,39613,916,1,2,1030,1,0,13
22,33,1387,10041648,10073425,1772,80,0,1033,1,0,12
23,41,1428,7385186,7460452,1840,60,0,1037,0,0,9
24,76,1504,584576,591873,971,5,5,1035,2,0,21
25,62,1566,5465179,5489817,1776,45,2,1037,1,0,14
26,69,1635,3046617,3065621,1884,25,4,1038,1,0,8
27,48,1683,5058606,5085464,1888,40,3,1038,1,0,14
28,77,1760,1158679,1171094,1677,10,3,1042,1,0,0
29,74,1834,1605990,1631645,967,15,3,1043,0,0,6
30,52,1886,2688946,2739035,1316,25,3,1047,0,0,9
31,61,1947,1414684,1421599,1252,15,87,1041,3,0,4
32,53,2000,4192241,4265758,1781,35,8,1020,0,0,11
33,145,2145,3074,3246,345,1,27,1021,1,0,0
34,67,2212,383348,399624,235,5,27,1021,0,0,5
35,66,2278,1439792,1451856,141,15,30,1023,1,0,17
36,92,2370,900088,914218,71,10,30,1026,0,0,12
37,37,2407,2451596,2458096,38,20,1,1025,2,0,13
