season_name,total_points,rank
2008/09,1584,878428
2010/11,1617,1336582
2011/12,1605,1628157
2017/18,1872,2244967
2018/19,1923,2820675
2019/20,1910,2956573
2020/21,2306,338019
2021/22,2512,89622
2022/23,2417,547628
2023/24,2483,105370
2024/25,2264,1953452
