league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
ENG-Premier League,2526,Fulham,Bernd Leno,GER,GK,33,1992,38,38,3420,38.0,51,1.34,146,98,67.1,15,7,16,9,23.7,4,3,0,1,0.0
ENG-Premier League,2526,Leeds United,Karl Darlow,WAL,GK,34,1990,22,22,1980,22.0,27,1.23,88,63,71.6,7,8,7,5,22.7,2,2,0,0,0.0
ENG-Premier League,2526,Leeds United,Lucas Perri,BRA,GK,27,1997,16,16,1440,16.0,29,1.81,63,38,60.3,4,6,6,3,18.8,4,4,0,0,0.0
ENG-Premier League,2526,Liverpool,Alisson,BRA,GK,32,1992,26,26,2340,26.0,31,1.19,86,57,66.3,13,8,5,8,30.8,2,2,0,0,0.0
ENG-Premier League,2526,Liverpool,Freddie Woodman,ENG,GK,28,1997,3,2,213,2.4,4,1.69,13,9,69.2,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2526,Liverpool,Giorgi Mamardashvili,GEO,GK,24,2000,10,10,867,9.6,18,1.87,49,33,65.3,3,1,6,2,20.0,2,1,1,0,50.0
ENG-Premier League,2526,Manchester City,Gianluigi Donnarumma,ITA,GK,26,1999,34,34,3060,34.0,29,0.85,105,75,72.4,22,9,3,15,44.1,1,0,1,0,100.0
ENG-Premier League,2526,Manchester City,James Trafford,ENG,GK,22,2002,4,4,360,4.0,6,1.5,19,14,73.7,1,0,3,1,25.0,1,1,0,0,0.0
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,27,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23,2002,32,32,2880,32.0,39,1.22,114,78,69.3,18,10,4,8,25.0,4,4,0,0,0.0
ENG-Premier League,2526,Newcastle United,Aaron Ramsdale,ENG,GK,27,1998,12,11,1004,11.2,17,1.52,38,24,63.2,4,2,5,1,9.1,3,3,0,0,0.0
ENG-Premier League,2526,Newcastle United,Nick Pope,ENG,GK,33,1992,27,27,2416,26.8,38,1.42,125,89,71.2,10,5,12,7,25.9,2,2,0,0,0.0
ENG-Premier League,2526,Nottingham Forest,Angus Gunn,SCO,GK,29,1996,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ENG-Premier League,2526,Nottingham Forest,John,BRA,GK,29,1996,5,5,437,4.9,8,1.65,13,6,46.2,1,0,4,1,20.0,1,1,0,0,0.0
ENG-Premier League,2526,Nottingham Forest,Matz Sels,BEL,GK,33,1992,31,30,2668,29.6,39,1.32,127,93,72.4,10,10,10,7,23.3,5,4,1,0,20.0
ENG-Premier League,2526,Nottingham Forest,Stefan Ortega,GER,GK,32,1992,3,3,270,3.0,4,1.33,12,8,66.7,0,1,2,1,33.3,0,0,0,0,
ENG-Premier League,2526,Sunderland,Melker Ellborg,SWE,GK,22,2003,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,
ENG-Premier League,2526,Sunderland,Robin Roefs,NED,GK,22,2003,35,35,3150,35.0,46,1.31,151,108,70.9,12,12,11,10,28.6,3,2,1,0,33.3
ENG-Premier League,2526,Tottenham Hotspur,Antonín Kinský,CZE,GK,22,2003,7,7,630,7.0,7,1.0,16,10,62.5,3,2,2,2,28.6,1,1,0,0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,28,1996,31,31,2790,31.0,50,1.61,131,83,63.4,7,9,15,7,22.6,2,2,0,0,0.0
ENG-Premier League,2526,West Ham United,Alphonse Areola,FRA,GK,32,1993,20,20,1800,20.0,37,1.85,108,76,70.4,4,5,11,0,0.0,6,5,0,1,0.0
ENG-Premier League,2526,West Ham United,Mads Hermansen,DEN,GK,25,2000,18,18,1620,18.0,28,1.56,81,53,66.7,6,4,8,7,38.9,1,1,0,0,0.0
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32,1993,3,3,270,3.0,7,2.33,13,7,53.8,0,1,2,0,0.0,1,1,0,0,0.0
ENG-Premier League,2526,Wolves,José Sá,POR,GK,32,1993,23,23,2070,23.0,37,1.61,99,65,65.7,3,8,12,4,17.4,3,3,0,0,0.0
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,32,1993,12,12,1080,12.0,24,2.0,62,39,62.9,0,2,10,0,0.0,1,1,0,0,0.0
