season_name,total_points,rank
2017/18,2057,752683
2018/19,2256,121147
2019/20,2141,612139
2020/21,2299,367466
2021/22,2578,29865
2022/23,2435,443536
2023/24,2368,528349
2024/25,2323,1247881
