h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.06796,0.714148,1.06796,0.714148,"{'att': 226, 'def': 27}","{'att': 176, 'def': 29}",6,3,2,1,1.6395,w,2023-08-11 19:30:00,1,0,0,3,0.353812
h,1.50324,0.741978,0.759966,0.741978,"{'att': 399, 'def': 33}","{'att': 215, 'def': 25}",2,4,1,0,2.0644,w,2023-08-18 19:30:00,1,0,0,3,0.017988000000000004
h,1.87647,1.45939,1.87647,0.716112,"{'att': 111, 'def': 18}","{'att': 265, 'def': 20}",3,2,1,2,1.6540000000000001,l,2023-08-27 17:30:00,0,0,1,0,1.160358
a,0.715753,1.90475,0.715753,1.16148,"{'att': 135, 'def': 17}","{'att': 284, 'def': 29}",5,2,0,1,0.41059999999999997,l,2023-09-02 16:30:00,0,0,1,0,-0.4457270000000001
h,2.22142,0.564083,2.22142,0.564083,"{'att': 241, 'def': 15}","{'att': 163, 'def': 15}",1,12,3,0,2.6111,w,2023-09-16 14:15:00,1,0,0,3,1.657337
a,0.995742,2.46387,0.995742,2.46387,"{'att': 359, 'def': 21}","{'att': 188, 'def': 15}",4,4,2,2,0.3628,d,2023-09-23 19:00:00,0,1,0,1,-1.468128
h,0.356756,0.29355,0.356756,0.29355,"{'att': 431, 'def': 29}","{'att': 186, 'def': 26}",2,0,0,1,1.2451,l,2023-09-27 19:30:00,0,0,1,0,0.06320600000000004
a,0.510459,2.53745,0.510459,2.53745,"{'att': 323, 'def': 18}","{'att': 241, 'def': 19}",3,11,0,3,0.2098,l,2023-10-01 19:00:00,0,0,1,0,-2.026991
a,0.509313,0.919992,0.509313,0.919992,"{'att': 271, 'def': 29}","{'att': 275, 'def': 28}",2,4,1,1,0.917,d,2023-10-07 16:30:00,0,1,0,1,-0.410679
h,1.6763,0.551967,1.6763,0.551967,"{'att': 192, 'def': 19}","{'att': 324, 'def': 24}",4,5,2,0,2.4121,w,2023-10-23 19:00:00,1,0,0,3,1.124333
a,2.17868,1.63308,2.17868,1.63308,"{'att': 280, 'def': 26}","{'att': 195, 'def': 26}",8,4,2,2,1.7891,d,2023-10-29 17:30:00,0,1,0,1,0.5455999999999999
h,1.18921,0.344591,0.44593,0.344591,"{'att': 213, 'def': 36}","{'att': 248, 'def': 28}",3,2,1,0,2.2536,w,2023-11-05 15:15:00,1,0,0,3,0.10133900000000001
a,2.03068,1.90598,2.03068,1.90598,"{'att': 358, 'def': 33}","{'att': 252, 'def': 18}",2,4,1,5,1.5205,l,2023-11-11 20:00:00,0,0,1,0,0.12469999999999981
h,0.247015,0.609862,0.247015,0.609862,"{'att': 214, 'def': 25}","{'att': 308, 'def': 17}",4,9,0,0,0.8635,d,2023-11-25 15:15:00,0,1,0,1,-0.36284700000000003
a,1.00981,1.85396,1.00981,1.85396,"{'att': 366, 'def': 4}","{'att': 114, 'def': 23}",1,14,1,2,0.6728,l,2023-12-02 13:00:00,0,0,1,0,-0.84415
a,0.183916,0.841976,0.183916,0.841976,"{'att': 247, 'def': 21}","{'att': 126, 'def': 25}",2,4,0,1,0.5772999999999999,l,2023-12-08 20:00:00,0,0,1,0,-0.65806
h,0.78681,3.16129,0.78681,3.16129,"{'att': 317, 'def': 16}","{'att': 148, 'def': 17}",5,26,1,1,0.13140000000000002,d,2023-12-16 20:00:00,0,1,0,1,-2.37448
a,0.33485,0.51265,0.33485,0.51265,"{'att': 274, 'def': 28}","{'att': 158, 'def': 17}",1,9,1,0,1.0558,w,2023-12-19 18:00:00,1,0,0,3,-0.17780000000000007
h,2.78114,1.15004,1.29459,1.15004,"{'att': 289, 'def': 23}","{'att': 255, 'def': 19}",4,9,3,1,2.5158,w,2024-01-02 20:30:00,1,0,0,3,0.14454999999999996
a,1.7596,1.55289,1.7596,0.809609,"{'att': 230, 'def': 21}","{'att': 113, 'def': 22}",2,2,4,1,1.515,w,2024-01-14 15:15:00,1,0,0,3,0.949991
h,0.7444,0.351363,0.7444,0.351363,"{'att': 338, 'def': 17}","{'att': 191, 'def': 22}",4,3,1,0,1.7692,w,2024-01-20 17:30:00,1,0,0,3,0.39303699999999997
a,0.406631,2.80234,0.406631,2.80234,"{'att': 384, 'def': 19}","{'att': 294, 'def': 21}",2,13,0,2,0.095,l,2024-01-28 20:00:00,0,0,1,0,-2.395709
h,1.38646,1.5882,0.643182,1.5882,"{'att': 241, 'def': 32}","{'att': 195, 'def': 21}",3,5,2,1,1.1682,w,2024-02-03 13:00:00,1,0,0,3,-0.945018
a,0.251178,1.41954,0.251178,1.41954,"{'att': 437, 'def': 13}","{'att': 134, 'def': 28}",2,9,0,2,0.2767,l,2024-02-10 20:00:00,0,0,1,0,-1.1683620000000001
h,1.11987,0.0457854,1.11987,0.0457854,"{'att': 346, 'def': 16}","{'att': 358, 'def': 10}",3,4,0,0,2.4575,d,2024-02-17 20:00:00,0,1,0,1,1.0740846
h,1.33185,1.45798,1.33185,1.45798,"{'att': 440, 'def': 27}","{'att': 143, 'def': 18}",3,7,2,2,1.2473,d,2024-03-02 20:00:00,0,1,0,1,-0.12613000000000008
h,1.27245,1.17773,1.27245,1.17773,"{'att': 167, 'def': 17}","{'att': 220, 'def': 28}",6,2,1,0,1.4179,w,2024-03-09 13:00:00,1,0,0,3,0.09472000000000014
a,1.07722,2.1872,1.07722,1.44392,"{'att': 294, 'def': 23}","{'att': 227, 'def': 18}",5,10,0,1,0.5829,l,2024-03-17 15:15:00,0,0,1,0,-0.3667
h,1.33845,0.673736,1.33845,0.673736,"{'att': 222, 'def': 18}","{'att': 263, 'def': 25}",5,4,0,0,1.9762999999999997,d,2024-03-30 17:30:00,0,1,0,1,0.6647139999999999
a,0.718558,0.729135,0.718558,0.729135,"{'att': 233, 'def': 14}","{'att': 173, 'def': 27}",2,5,1,0,1.3813,w,2024-04-04 18:00:00,1,0,0,3,-0.010576999999999948
a,0.235711,2.26875,0.235711,1.52547,"{'att': 294, 'def': 11}","{'att': 151, 'def': 22}",2,8,1,0,0.1057,w,2024-04-15 19:00:00,1,0,0,3,-1.289759
h,0.951475,1.82123,0.208325,1.82123,"{'att': 223, 'def': 27}","{'att': 271, 'def': 23}",6,5,1,2,0.6653,l,2024-04-20 16:30:00,0,0,1,0,-1.6129049999999998
a,1.49346,2.59636,0.750186,2.59636,"{'att': 399, 'def': 14}","{'att': 91, 'def': 22}",0,12,2,4,0.6673,l,2024-04-29 19:00:00,0,0,1,0,-1.8461739999999998
