event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,87,87,54322,58413,54322,1,0,1000,0,0,0
2,94,181,19314,19642,247,1,5,1001,1,0,6
3,52,233,3867310,3902069,1025,35,5,1007,0,0,14
4,67,300,4783990,4799463,6185,45,0,1008,2,0,6
5,46,346,4489025,4522072,12531,40,10,1012,1,0,9
6,86,432,98604,100661,1829,1,13,1015,1,0,5
7,78,510,1563222,1582003,1590,15,13,1016,1,0,17
8,65,575,3382929,3418133,3429,30,13,1022,0,0,3
9,31,606,11305259,11312242,22850,95,0,1022,2,0,8
10,76,682,2598972,2629581,25131,25,0,1027,0,0,3
11,47,729,2189134,2227219,16168,20,0,1033,0,0,3
12,56,785,1132937,1139996,7755,10,3,1037,2,0,4
13,38,819,4790408,4806518,18230,40,10,1036,2,4,2
14,66,885,4571241,4599802,26270,40,5,1036,1,0,1
15,50,935,5500137,5543858,37346,45,5,1038,0,0,2
16,93,1028,218569,220256,15096,5,19,1035,3,0,1
17,76,1104,4283768,4291820,22751,35,2,1038,3,0,5
18,41,1145,7766178,7788751,32319,65,20,1040,1,0,0
19,43,1188,5090024,5117025,28669,45,12,1040,1,0,6
20,50,1238,3254057,3299656,31521,30,12,1041,0,0,2
21,56,1294,3799693,3815786,32830,30,11,1042,2,0,1
22,44,1338,4442529,4466670,28948,35,1,1043,1,0,2
23,43,1381,6765687,6793334,27541,55,12,1046,1,0,1
24,57,1438,5421218,5470350,39149,45,0,1042,0,0,16
25,106,1544,4149,4400,6408,1,0,1047,0,0,12
26,85,1629,352203,359427,2654,5,0,1051,0,0,4
27,59,1688,1484227,1492717,1397,15,7,1055,1,0,11
28,71,1759,2142961,2157758,1781,20,10,1056,1,0,4
29,66,1825,3373350,3382605,1619,30,4,1056,2,0,4
30,61,1886,774708,796767,1323,10,4,1058,0,0,15
31,62,1948,1199831,1208915,1174,10,23,1058,1,0,7
32,64,2012,1403386,1409752,917,15,18,1057,2,0,8
33,94,2106,1459614,1473570,2859,15,18,1057,0,0,36
34,55,2161,1703358,1707347,3635,15,6,1058,1,0,0
35,93,2254,10251,10410,549,1,18,1064,2,0,0
36,80,2334,3236742,3250866,614,25,5,1064,1,0,14
37,39,2373,2022822,2034801,309,20,14,1062,1,0,6
