h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.7631,1.33949,1.7631,1.33949,"{'att': 154, 'def': 20}","{'att': 199, 'def': 26}",3,2,1,1,1.7083,d,2024-08-17 17:00:00,0,1,0,1,0.4236099999999998
h,0.887678,0.427602,0.887678,0.427602,"{'att': 197, 'def': 32}","{'att': 149, 'def': 16}",0,5,1,0,1.7783,w,2024-08-24 15:00:00,1,0,0,3,0.460076
a,0.0199618,2.6015,0.0199618,2.6015,"{'att': 325, 'def': 16}","{'att': 255, 'def': 27}",1,12,0,4,0.0281,l,2024-08-29 17:00:00,0,0,1,0,-2.5815382000000002
h,0.779621,1.72329,0.779621,1.72329,"{'att': 227, 'def': 30}","{'att': 258, 'def': 20}",5,6,3,2,0.6244,w,2024-09-01 15:00:00,1,0,0,3,-0.943669
a,0.530311,1.48433,0.530311,1.48433,"{'att': 238, 'def': 30}","{'att': 92, 'def': 21}",1,9,1,3,0.5604,l,2024-09-16 19:00:00,0,0,1,0,-0.954019
h,1.97167,1.28282,1.22839,1.28282,"{'att': 301, 'def': 30}","{'att': 150, 'def': 24}",3,6,2,1,1.9141000000000001,w,2024-09-21 14:15:00,1,0,0,3,-0.05442999999999998
a,0.377552,1.17527,0.377552,1.17527,"{'att': 219, 'def': 20}","{'att': 202, 'def': 12}",3,8,0,0,0.5872999999999999,d,2024-09-24 17:00:00,0,1,0,1,-0.797718
h,2.50067,0.751814,1.75739,0.751814,"{'att': 336, 'def': 25}","{'att': 85, 'def': 14}",2,10,4,2,2.6434,w,2024-09-28 19:00:00,1,0,0,3,1.005576
a,0.247706,1.34832,0.247706,1.34832,"{'att': 74, 'def': 19}","{'att': 164, 'def': 20}",2,1,1,1,0.377,d,2024-10-05 14:15:00,0,1,0,1,-1.100614
h,2.21025,2.79181,2.21025,2.79181,"{'att': 174, 'def': 17}","{'att': 188, 'def': 18}",14,8,1,2,0.9673,l,2024-10-19 14:15:00,0,0,1,0,-0.5815600000000001
a,1.06487,1.6767,1.06487,1.6767,"{'att': 329, 'def': 12}","{'att': 85, 'def': 16}",2,11,2,0,0.8955,w,2024-10-27 20:00:00,1,0,0,3,-0.6118300000000001
h,3.21695,0.204092,2.47367,0.204092,"{'att': 209, 'def': 24}","{'att': 143, 'def': 24}",20,0,1,0,2.9268,w,2024-11-02 13:00:00,1,0,0,3,2.2695779999999997
a,0.0678926,3.27315,0.0678926,3.27315,"{'att': 383, 'def': 23}","{'att': 155, 'def': 14}",1,12,0,4,0.0088,l,2024-11-09 13:00:00,0,0,1,0,-3.2052574
h,1.3273,2.68193,0.584025,1.93865,"{'att': 274, 'def': 26}","{'att': 188, 'def': 21}",4,13,2,2,0.43510000000000004,d,2024-11-24 13:00:00,0,1,0,1,-1.354625
a,1.04839,1.09081,1.04839,1.09081,"{'att': 262, 'def': 14}","{'att': 125, 'def': 18}",1,6,1,1,1.3253,d,2024-12-02 20:00:00,0,1,0,1,-0.042420000000000124
h,2.31345,1.50067,2.31345,1.50067,"{'att': 186, 'def': 22}","{'att': 256, 'def': 24}",9,2,2,2,1.9601,d,2024-12-08 17:30:00,0,1,0,1,0.8127800000000001
a,0.213917,0.298744,0.213917,0.298744,"{'att': 198, 'def': 21}","{'att': 321, 'def': 19}",4,3,0,0,1.0817,d,2024-12-14 13:00:00,0,1,0,1,-0.08482700000000001
h,0.417557,1.18093,0.417557,1.18093,"{'att': 227, 'def': 16}","{'att': 251, 'def': 21}",2,6,1,2,0.6134,l,2024-12-21 17:30:00,0,0,1,0,-0.7633730000000001
a,0.391974,2.28719,0.391974,2.28719,"{'att': 359, 'def': 26}","{'att': 285, 'def': 15}",0,9,0,1,0.1642,l,2025-01-12 15:15:00,0,0,1,0,-1.8952159999999998
h,0.660386,0.797534,0.660386,0.797534,"{'att': 237, 'def': 27}","{'att': 221, 'def': 20}",6,2,1,1,1.1814,d,2025-01-19 17:30:00,0,1,0,1,-0.13714799999999994
a,2.53692,0.833212,2.53692,0.833212,"{'att': 206, 'def': 15}","{'att': 216, 'def': 15}",5,6,1,1,2.5547,d,2025-01-24 20:00:00,0,1,0,1,1.7037079999999998
h,1.11088,2.35115,1.11088,2.35115,"{'att': 327, 'def': 16}","{'att': 179, 'def': 17}",6,13,2,1,0.5214,w,2025-02-02 17:30:00,1,0,0,3,-1.24027
a,1.81967,1.17321,1.81967,0.429936,"{'att': 188, 'def': 24}","{'att': 203, 'def': 15}",7,6,1,1,1.9279,d,2025-02-10 20:00:00,0,1,0,1,1.3897339999999998
h,1.64382,2.73344,0.900543,2.73344,"{'att': 274, 'def': 20}","{'att': 202, 'def': 9}",7,8,1,1,0.6732,d,2025-02-15 15:15:00,0,1,0,1,-1.832897
a,0.838476,2.31891,0.838476,1.57563,"{'att': 277, 'def': 21}","{'att': 338, 'def': 17}",5,10,0,1,0.396,l,2025-02-21 20:00:00,0,0,1,0,-0.7371540000000001
h,1.26777,1.54983,0.52449,1.54983,"{'att': 235, 'def': 22}","{'att': 232, 'def': 15}",6,4,3,3,1.0834000000000001,d,2025-03-02 20:00:00,0,1,0,1,-1.02534
h,2.08486,0.900928,1.34158,0.900928,"{'att': 140, 'def': 28}","{'att': 269, 'def': 19}",3,8,1,2,2.2897,l,2025-03-16 17:30:00,0,0,1,0,0.44065200000000004
a,0.53356,4.63707,0.53356,3.89379,"{'att': 408, 'def': 33}","{'att': 140, 'def': 20}",1,14,0,3,0.011099999999999999,l,2025-03-27 20:00:00,0,0,1,0,-3.36023
a,0.564979,0.759463,0.564979,0.759463,"{'att': 281, 'def': 15}","{'att': 183, 'def': 29}",2,10,0,0,1.1229,d,2025-03-30 17:30:00,0,1,0,1,-0.194484
a,2.07408,2.22334,2.07408,1.48006,"{'att': 227, 'def': 16}","{'att': 184, 'def': 20}",6,6,1,1,1.2519,d,2025-04-07 19:00:00,0,1,0,1,0.59402
