event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,60,60,2856515,3073931,2856514,35,0,1000,0,0,12
2,66,126,1355063,1404352,984663,15,0,1000,0,0,6
3,71,197,320320,328542,158409,5,3,1000,2,0,6
4,78,275,1475616,1539569,104812,15,3,1002,0,0,13
5,63,338,368184,373970,30266,5,6,1004,2,0,0
6,45,383,5804336,5866381,183052,50,6,1006,0,0,5
7,88,471,324374,337570,59652,5,4,1007,1,0,6
8,82,553,511987,521014,24990,5,6,1012,2,0,14
9,36,589,9669365,9797175,75268,80,6,1013,0,0,10
10,84,673,982362,1003070,47029,10,2,1013,2,0,9
11,43,716,3623978,3781375,41331,30,2,1016,0,0,12
12,60,776,673480,683598,15203,10,23,1014,2,0,5
13,67,843,156857,166265,3090,5,23,1015,0,0,8
14,88,931,292943,302307,949,5,8,1016,1,0,8
15,84,1015,115097,117218,111,1,2,1019,1,0,7
16,84,1099,775704,789628,78,10,3,1020,4,0,8
17,109,1208,81147,84127,10,1,6,1026,2,0,8
18,38,1246,8817993,8965616,23,70,3,1023,0,0,23
19,58,1304,664186,705944,12,10,3,1025,0,0,4
20,59,1363,1376055,1392736,11,15,3,1023,2,0,1
21,53,1416,4828470,4877516,16,40,8,1023,1,0,6
22,55,1471,1042222,1104602,5,10,8,1026,0,0,19
23,35,1506,10332165,10355486,12,85,3,1030,2,0,8
24,58,1564,5020152,5166101,16,40,3,1032,0,0,3
25,67,1631,3588724,3622053,22,30,28,1033,2,0,3
26,75,1706,1600438,1629201,16,15,15,1038,1,0,8
27,41,1747,8304160,8522919,31,65,15,1039,0,0,8
28,68,1815,2798230,2823671,66,25,19,1037,2,0,0
29,71,1886,2253794,2279105,38,20,3,1036,1,0,4
30,40,1926,7493806,7692117,129,60,3,1040,0,0,2
31,57,1983,2138441,2165037,176,20,86,1033,2,0,2
32,56,2039,3411790,3444870,217,30,20,1036,1,0,4
33,104,2143,791623,820768,388,10,20,1034,0,0,25
34,44,2187,3885988,3899350,991,30,39,1033,1,0,0
35,51,2238,6178572,6377990,1283,50,8,1027,0,0,11
36,93,2331,833623,854917,709,10,5,1034,1,0,0
37,21,2352,7211685,7383297,902,60,5,1036,0,0,22
