id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,featured_entry_ids,entry_rank,entry_last_rank
238,Tunisia,region-218,2025-07-20T23:14:32.587771Z,False,,,s,c,,1,False,False,False,True,2879774.0,True,99234,1,"[{'phase': 1, 'rank': 2, 'last_rank': 2, 'rank_sort': 2, 'total': 2374, 'league_id': 238, 'rank_count': 99234, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 27165, 'last_rank': 25115, 'rank_sort': 27179, 'total': 158, 'league_id': 238, 'rank_count': 99234, 'entry_percentile_rank': 30}]",[],2,2
276,Gameweek 1,event-1,2025-07-20T23:14:33.264422Z,False,,,s,c,,1,False,False,False,False,,,9447133,1,"[{'phase': 1, 'rank': 284, 'last_rank': 236, 'rank_sort': 286, 'total': 2374, 'league_id': 276, 'rank_count': 9447133, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 3436607, 'last_rank': 2935159, 'rank_sort': 3438996, 'total': 158, 'league_id': 276, 'rank_count': 9424753, 'entry_percentile_rank': 40}]",[],284,236
314,Overall,overall,2025-07-20T23:14:33.933835Z,False,,,s,c,,1,False,False,False,True,2815434.0,True,12983980,1,"[{'phase': 1, 'rank': 284, 'last_rank': 236, 'rank_sort': 286, 'total': 2374, 'league_id': 314, 'rank_count': 12983980, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 4051141, 'last_rank': 3513878, 'rank_sort': 4053530, 'total': 158, 'league_id': 314, 'rank_count': 12983975, 'entry_percentile_rank': 35}]",[],284,236
327,beIN SPORTS League,brd-bein,2025-07-20T23:14:34.170527Z,False,,,s,c,,1,False,False,False,True,2837133.0,True,2814433,1,"[{'phase': 1, 'rank': 26, 'last_rank': 18, 'rank_sort': 26, 'total': 2374, 'league_id': 327, 'rank_count': 2814433, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 778506, 'last_rank': 738701, 'rank_sort': 779124, 'total': 158, 'league_id': 327, 'rank_count': 2814427, 'entry_percentile_rank': 30}]",[],26,18
333,Second Chance,sc,2025-07-20T23:14:34.276586Z,False,,,s,c,,21,False,False,False,False,,,12983978,1,"[{'phase': 1, 'rank': 72439, 'last_rank': 57534, 'rank_sort': 72868, 'total': 1073, 'league_id': 333, 'rank_count': 12983978, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 4051141, 'last_rank': 3513878, 'rank_sort': 4053530, 'total': 158, 'league_id': 333, 'rank_count': 12983975, 'entry_percentile_rank': 35}]",[],72439,57534
14729,🇵🇸 دوري عمر مجدي,,2025-07-21T12:06:00.488153Z,True,,,x,c,59745.0,1,False,False,False,True,2892831.0,True,21499,1,"[{'phase': 1, 'rank': 7, 'last_rank': 7, 'rank_sort': 7, 'total': 2374, 'league_id': 14729, 'rank_count': 21499, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 10313, 'last_rank': 9581, 'rank_sort': 10328, 'total': 158, 'league_id': 14729, 'rank_count': 21499, 'entry_percentile_rank': 50}]",[],7,7
101400,بي ان فانتاسي,,2025-07-21T17:38:51.427287Z,False,,,x,c,8080.0,1,False,False,False,True,2872821.0,True,175702,1,"[{'phase': 1, 'rank': 5, 'last_rank': 5, 'rank_sort': 5, 'total': 2374, 'league_id': 101400, 'rank_count': 175702, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 78616, 'last_rank': 72259, 'rank_sort': 78706, 'total': 158, 'league_id': 101400, 'rank_count': 175703, 'entry_percentile_rank': 45}]",[],5,5
396592,SLOUMA FGTV,,2025-07-26T01:11:21.251245Z,False,,,x,c,2153457.0,1,False,False,False,True,2919929.0,True,638,1,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2374, 'league_id': 396592, 'rank_count': 638, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 290, 'last_rank': 252, 'rank_sort': 290, 'total': 158, 'league_id': 396592, 'rank_count': 638, 'entry_percentile_rank': 50}]",[],1,1
