id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
332487,44,MissedShots,0.8090000152587891,0.4209999847412109,0.04122060164809227,Hianga&#039;a M&#039;Bock,h,8151,OpenPlay,2019,RightFoot,12842,Brest,Nantes,1,1,2019-11-23 19:00:00,,None
332495,75,MissedShots,0.8109999847412109,0.40099998474121096,0.04512999951839447,Hianga&#039;a M&#039;Bock,h,8151,OpenPlay,2019,RightFoot,12842,Brest,Nantes,1,1,2019-11-23 19:00:00,Mathias Autret,Pass
354234,60,MissedShots,0.8390000152587891,0.3629999923706055,0.06289699673652649,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2019,RightFoot,12899,Toulouse,Brest,2,5,2020-01-11 19:00:00,,TakeOn
354240,78,Goal,0.715,0.555,0.019546499475836754,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2019,RightFoot,12899,Toulouse,Brest,2,5,2020-01-11 19:00:00,Julien Faussurier,Pass
376418,94,MissedShots,0.914000015258789,0.415,0.04940060153603554,Hianga&#039;a M&#039;Bock,h,8151,FromCorner,2020,Head,13988,Brest,Marseille,2,3,2020-08-30 19:00:00,Julien Faussurier,Cross
376769,48,SavedShot,0.6959999847412109,0.3629999923706055,0.013967200182378292,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2020,RightFoot,14196,Dijon,Brest,0,2,2020-09-13 13:00:00,Romain Faivre,Pass
393328,49,BlockedShot,0.735999984741211,0.47200000762939454,0.026767399162054062,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2020,RightFoot,15900,Lyon,Brest,2,2,2020-12-16 20:00:00,,TakeOn
394339,67,BlockedShot,0.8069999694824219,0.8,0.04525810107588768,Hianga&#039;a M&#039;Bock,h,8151,DirectFreekick,2020,RightFoot,15906,Brest,Montpellier,2,2,2020-12-20 12:00:00,,Standard
426749,17,MissedShots,0.7080000305175781,0.48,0.042748600244522095,Hianga&#039;a M&#039;Bock,h,8151,DirectFreekick,2021,RightFoot,17842,Brest,Paris Saint Germain,2,4,2021-08-20 19:00:00,,Standard
430338,3,BlockedShot,0.7169999694824218,0.2989999961853027,0.012481600046157837,Hianga&#039;a M&#039;Bock,h,8151,OpenPlay,2021,RightFoot,17866,Brest,Angers,1,1,2021-09-12 13:00:00,Franck Honorat,Pass
432608,14,MissedShots,0.8580000305175781,0.4909999847412109,0.07626169919967651,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2021,RightFoot,17888,Nantes,Brest,3,1,2021-09-22 17:00:00,,None
432613,35,MissedShots,0.919000015258789,0.45799999237060546,0.03772810101509094,Hianga&#039;a M&#039;Bock,a,8151,FromCorner,2021,Head,17888,Nantes,Brest,3,1,2021-09-22 17:00:00,Romain Faivre,Aerial
432625,79,BlockedShot,0.76,0.445,0.016013599932193756,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2021,RightFoot,17888,Nantes,Brest,3,1,2021-09-22 17:00:00,,None
434070,35,BlockedShot,0.7030000305175781,0.46599998474121096,0.04044720157980919,Hianga&#039;a M&#039;Bock,h,8151,DirectFreekick,2021,RightFoot,17893,Brest,Metz,1,2,2021-09-26 13:00:00,,Standard
470568,8,MissedShots,0.8430000305175781,0.33,0.04278310015797615,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2021,RightFoot,18155,Metz,Brest,0,1,2022-04-24 13:00:00,Lucien Agoume,Pass
470570,14,MissedShots,0.6880000305175781,0.52,0.03543530032038689,Hianga&#039;a M&#039;Bock,a,8151,DirectFreekick,2021,RightFoot,18155,Metz,Brest,0,1,2022-04-24 13:00:00,,Standard
470577,41,BlockedShot,0.8540000152587891,0.4279999923706055,0.05456610023975372,Hianga&#039;a M&#039;Bock,a,8151,FromCorner,2021,RightFoot,18155,Metz,Brest,0,1,2022-04-24 13:00:00,Brendan Chardonnet,Pass
535004,95,BlockedShot,0.9159999847412109,0.34599998474121096,0.0816519558429718,Hianga&#039;a M&#039;Bock,a,8151,OpenPlay,2023,RightFoot,23392,Marseille,Brest,2,0,2023-08-26 17:00:00,Pierre Lees-Melou,Pass
584848,90,SavedShot,0.6830000305175781,0.47400001525878904,0.009029478766024113,Hianga&#039;a M&#039;Bock,h,8151,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Luc Zogbe,Pass
