event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,57,57,3654199,3735441,3654196,40,15,1000,0,0,11
2,40,97,8464219,8493133,6131779,80,15,998,0,0,14
3,57,154,2494637,2511482,4217967,25,16,997,2,0,3
4,57,211,7945909,7972487,5105631,70,16,998,0,0,13
5,46,253,4635172,4639016,5151720,40,11,1000,3,4,-1
6,73,326,733237,746719,2705762,10,1,1001,0,0,15
7,78,404,1476458,1498816,1962054,15,1,1006,0,0,9
8,104,508,10036,10264,436894,1,1,1013,0,0,0
9,51,559,4341890,4358687,405936,40,1,1016,1,0,9
10,89,648,424948,426763,204350,5,10,1023,3,0,12
11,45,693,2845634,2886259,165055,25,10,1030,0,0,7
12,44,737,3974765,3998539,163299,35,14,1033,1,0,9
13,59,796,425962,436897,73848,5,14,1033,0,0,3
14,84,880,589372,593398,35075,5,21,1031,2,0,3
15,63,943,1792084,1805394,23118,15,6,1034,1,0,15
16,83,1026,863931,868939,17075,10,1,1039,3,0,10
17,78,1104,3644326,3660386,22304,30,5,1044,1,0,9
18,49,1153,4260145,4268315,20790,35,12,1047,3,0,18
19,38,1191,7227458,7289801,24074,60,12,1051,0,0,16
20,48,1239,4091795,4109672,29952,35,8,1053,1,0,2
21,52,1291,4956068,5003990,37347,40,8,1050,0,0,9
22,58,1349,763924,765937,16232,10,17,1044,2,0,8
23,51,1400,3421310,3430553,10056,30,30,1047,2,0,13
24,86,1486,72783,73796,3070,1,17,1050,1,0,16
25,71,1557,2204686,2225975,3183,20,40,1055,1,0,7
26,86,1643,299418,304906,1209,5,40,1061,0,0,6
27,42,1685,7767657,7838557,1688,65,40,1064,0,0,14
28,80,1765,794066,802784,1261,10,25,1062,1,0,1
29,68,1833,2912967,2920927,1048,25,25,1060,2,0,4
30,60,1893,908062,928754,885,10,25,1065,0,0,10
31,68,1961,453125,456399,577,5,33,1055,3,0,0
32,52,2013,4550288,4606569,884,40,42,1041,0,0,12
33,127,2140,139099,141756,483,5,42,1043,0,0,0
34,69,2209,277662,293567,283,5,42,1043,0,0,0
35,66,2275,1303648,1330104,167,15,42,1045,0,0,5
36,82,2357,2797753,2811488,155,25,18,1049,2,0,7
37,19,2376,8282157,8289027,254,65,4,1050,2,0,11
