season_name,total_points,rank
2017/18,1558,4480032
2018/19,1830,3806509
2019/20,1845,3755277
2020/21,1567,6187496
2021/22,1782,4984784
2022/23,2278,1759893
2023/24,2249,1577543
2024/25,2140,3725785
