rank,entry,player_name,entry_name,total
525,237099,Joseph Bartlett,Bartlett FC,2362
525,2782488,Nemanja Vidic,Fast_Fellaini,2362
525,7966385,ghoul sami,lghoul,2362
528,176201,Alex Brown,Baby Reijnders,2362
528,304119,Sehwan Chun,Son's Son,2362
528,612329,Tom Bedford,Pino Kamada,2362
528,1929965,David King,ManJester United,2362
528,4434622,F1Fantasy Tools,F1 Fantasy Tools,2362
528,4456471,Samion Ong,Wirtzup_baby,2362
534,82941,Vegard Aafedt Bukve,Hoppestokk IL,2362
534,1431552,Kenichi Shoda,Goosebump Gunners,2362
534,2805227,Nedim Ogul,Ogul FC,2362
534,7337458,Mathias Blaker Strand,Champ nou,2362
534,7645347,Gon Shimoni,melech malchey,2362
534,7809411,Leon Greenland,This is my year FC,2362
540,50431,Cam MacFadyen,Saka Spuds,2362
540,240875,Roger Monk,Penwortham FC,2362
540,358413,Martin Ruda,SpVggWeiden BBB,2362
540,370592,Paul Elliot,In Var We Trust 123,2362
540,626406,Dag Løvold,Second2None,2362
540,669249,Kushebin Darezhan B.,KDB_X,2362
540,1130410,Ziad Alrefaey,Michael Scofield,2362
540,1379957,David Bellingham,Botticelli Angels,2362
548,2500773,Viktor Olsson,Hattrick FC,2362
549,83568,Parth Pednekar,Kinder Mbuemo,2362
550,902153,Harry Shepherd,Is your Motherwell?,2361
551,38073,Victor Nip,Arteta's Tricky Reds,2361
552,38568,Conor McGarry,All Leeds Aren't We?,2361
553,459794,Romain Moix,Salahmandre,2361
553,6702586,sHeLLz Nuchnueng,HAVN,2361
553,8243943,Theo Langham,Martín ZubiSendIt,2361
556,72,Gil Sorek,FC Gool,2361
556,4115,Parin Sanoonrat,จิตตุงแป่ง,2361
556,5264,Toby Hawkins,TH FC,2361
556,8017,Fredrik Karlsson,Mums!,2361
556,22952,--- St0pa ---,Kapcie Kłapcia,2361
556,164283,Matt Barnett,I Hato Playing This,2361
556,307269,Johannes Konstali-Lødemel,Darth Vader Sith Lag,2361
556,2888889,Jawin Fabree,Luxura,2361
556,5504709,Ashok Muthu,PawPatrol FC,2361
556,6017653,O O,Lambda T4a,2361
556,6424828,Filip Davidovski,FC Shampion,2361
556,7064908,Tejas Kotwal,Road to Mogadishu,2361
568,641468,Tabraiz Hussain,2 EZE,2361
568,1651906,Sam Barrington,Lamine me mums car,2361
568,1805288,Brian Osagie,Amadness,2361
571,37862,Dmitri Howell,Forever Ashley Young,2361
571,454084,Martin Bennett,Estupiñá Colada,2361
571,930533,Peter Anderson,Pedro's Dandies,2361
571,2213222,Ryan Goffin,Change Name,2361
571,4733071,Mike and Will Ramsden,Ping Hold United,2361
571,6382909,Davor Domazet,BrunoPenalFernandes,2361
571,7116015,James Evans,BayerNeverlusen,2361
571,9139101,Patrick Williams,Black Stars FC,2361
579,975845,Gianni Mirco,Its Too Eze,2361
580,5568089,the giver,the giver,2361
581,44,Andy LTFPL,Let's Talk FPL,2360
581,50053,McWigan Athletic,McWigan Athletic,2360
581,148958,Tom Hobson,Rutter Woke Nonsense,2360
581,523396,Bartosz Lasek,Samoan Academy,2360
581,665332,Nick Elford,Elfy's Eleven,2360
581,1403497,Thammanoon Rattanamusik,Winliam34,2360
581,6329109,Sam Haines,K’Marsh Dynamos,2360
581,6836807,Peps Shiny Bald Head Mo,Peps Shiny bald head,2360
589,88,JJ Stephenson,Count Doku,2360
589,6743,Mattias Forsblom,Paatelainens julgran,2360
589,41007,Tim O'Kelly,De Ligted,2360
589,595944,David Rubenstein,Maccabi Palace,2360
589,1982442,Victor Nåvik,VN United,2360
589,2030907,Matt Lyle,All Welwyn Good,2360
589,3280996,Matteo Pedrotti,Pedrottinaikos,2360
589,6177665,Naser Almarzooqi,Naser FC,2360
589,7989864,Vincent Okonkwo,Vincentus fc,2360
598,628614,Jamal Msekeni,Skip Ads,2360
598,1060028,Kemari Hypolite,Sheffield Saturday,2360
598,1720293,Jerry Hu,CaptainJerry,2360
598,2380432,Nathan Lowe,GR YELLOW/BLUE ARMY,2360
598,4061721,Matty Greendale,Hukuna Mateta,2360
598,6355906,A R,Green Fergs And Ham,2360
598,6880226,Rag had,Raghad fc,2360
605,126334,Matt Roberts,WLC Athletic,2360
605,255185,Chat Han,บุรุษบินได้,2360
605,587202,Paul Jolley,Jolley's Jewels,2360
605,4218979,Joe English,Miami 11,2360
605,7934091,Mike Kiddell,Winning XI,2360
605,8256141,Tomas Petursson,FunStomas,2360
611,21609,double u,Space Lamar,2360
611,689725,Simon Holland,Radebe Leeds,2360
613,3165202,Mahmoud saeed,Free Palestine,2360
614,5121191,Radek Macháň,Jack Grealish Honey,2360
615,861519,syafiq samsudin,paip ON 746,2360
616,4649692,David Fuller,"Fuller,s joy",2359
617,140391,Isaac Browning,Slot Machine,2359
617,6373164,Louis Bellhouse,Under My Cucurella,2359
619,39268,martin Østlie,Monkers,2359
619,56214,AHMED ALNESHAIMI,The sixth sense,2359
619,233136,Mahesh Sharma,Inter Melbourne,2359
619,385951,Craig Millar,Change Name,2359
619,548396,Joshua Parker,Ji Sung Parker,2359
619,629574,Filipe Abreu,Wombleton,2359
619,2542968,Prasath Ambalagan,FPL GoaT,2359
619,3431198,Amber Shaw,Shawrys Scorers,2359
619,10349659,Daniel Pinzon,Equipish,2359
628,2935,Jack Tallentire,Wirtz Kept Secret,2359
628,18202,Tomasz Libner,It's Clobberin' Time,2359
628,51758,Earth Kasidej,Earthkung,2359
628,350212,Sam Elliott,Head.Cards.Benching,2359
628,416431,Elias Jägerskog,Kobbie and Paste,2359
628,520298,Daniel Larson,UrNotMikeDeanForever,2359
628,683987,Julia Hickton,Schäring is cäring,2359
628,748339,Chris Perry,Hattrick Bamford,2359
628,763489,Peter Altmann,No Salahd no biceps,2359
628,2044448,Isaac Johnstone,Cunha Believe It?,2359
628,2666798,Einar Floberg,Longstaff,2359
628,2983196,Pete Wilkins,SuperSub,2359
628,4203390,Tomáš Nemček,Where is Kevin?,2359
628,8767995,Godwin Agu,Pep it real,2359
642,5733,Alastair McKeever,More Points More Fun,2359
642,646722,Fredrik Jarngren,Mobben,2359
642,2023880,Joe Heywood,Joe's team,2359
642,2269823,Emlyn Ayrton,GTA Rice City,2359
642,4227185,Jack Herring,Backstabbiadini,2359
642,4645196,Daniel Knox,The DAK,2359
642,5504655,Philip D'Arcy,Virgil Van Darcy,2359
642,6275569,Sebastian Storm,PepsiGuardicola,2359
642,6783719,Richard Holland,Who let the Dorg out,2359
642,8100553,Christian Bergh,PadelBergh,2359
652,2097287,Alex Thomas,Eze does it,2359
652,6101448,Bo Faris Elbasel,الفرسان السبعة,2359
652,8707384,Elina Mattsson,Les Mattssons,2359
655,3076302,Lauri Herrala,TikiTaka,2359
655,4061379,Jean Zarb,Mr Satoshi FC,2359
657,122737,Ben Gadd,Šeško Clubcard,2358
657,9372381,Mariell Røse,Mariell,2358
659,341667,Nomiale Mubashir,Haemitoma,2358
660,4127,Massimo De Luca,MassUTD,2358
660,2838416,Noor Hairi,thosai mourinho,2358
662,6131764,Phil Barber,PGBMUFC,2358
662,9190484,Amit Mundra,Troopers,2358
664,162613,Fredrik Persson,Frantastics,2358
664,566445,Stephen Tate,The StatesMen,2358
664,743677,Jack Kelly,MARKNOBLERONE,2358
664,981807,Phanupak Kongjaroen,Foil3000,2358
664,1727618,Szymon Helik,SOCZYSTE FC,2358
664,1908920,Peter Kensell,Bendall’s Beauties,2358
664,2539510,Manav Shah,Glory by Data,2358
664,2668054,Anan Tamimi,anan,2358
664,6841951,Nenad Veselinovic,Vesa Vialli,2358
664,7324758,Mattias Karlsson,KuluKudus FC,2358
664,8721108,Mohamed Harkaoui,Oskarian Team,2358
664,8926607,Harshin Harees,Sicarios,2358
664,9076670,Yiannis Farmakis,Work Smart Not Hard,2358
677,60411,Abhimanyu Kulkarni,RuudAwakening,2358
677,332654,KR7 ARTTIS,ARTTIS,2358
677,1126089,FPL Ahmad Tahsin Surchi,Harir ❤️ Batas,2358
677,6139905,Stian Nystad,Shaw Mee What U Kane,2358
677,6419460,Zach McGough,DontSwimInOpenWater,2358
682,94583,Messaoudi Melek,LukaTN,2358
682,418289,Ant Hudson,Cherki Dinosaurs,2358
682,666244,Glen Shotton,FPL Kasi,2358
682,1494723,Andrew Hodgetts,Villakilla,2358
682,2183880,Carl Niklasson,Crystcarl Palace,2358
687,137964,Christos Karei,Winter is HAALAND❄️⚡,2358
687,2378519,Toby Taylor,Taylor Park Boys,2358
687,2571200,michael coghill,lecogsportif,2358
687,8171782,Andrei Ionescu,Watford Divided,2358
691,323012,Matt Marshall,Rutter Woke Nonsense,2358
691,1138304,Andy Gill,Andys Diamonds,2358
693,25482,Larry Mbaco,Twice As Rice,2358
694,101589,David Robertson,Cunha believe it?,2358
694,5764707,Scott Kerr,scottk,2358
696,618210,Tom Sanna,Rock City FC,2358
697,5661953,Shaun Cutts,Final Cutts XI,2357
698,101005,Charlie Tomlinson,London Blue,2357
699,59067,sam pierce,Barry's Butchers,2357
699,255820,Marek Burkacki,Saturno Contro,2357
699,6782867,Eskil Sandvik Aasen,Koselaget FC,2357
702,20041,FPL Brandon,Brandonkin' Donuts,2357
702,44638,Gabe Angelus Celeste,God Squad,2357
702,95688,Simão Ferreira,No Salah No Party,2357
702,152452,Nutdanai Kaewdee,Tryme,2357
702,323771,Joe Bramley,Bramdog FC,2357
702,515728,Ally Christodoulou,Ally,2357
702,538275,carl parker,WhoLetTheBabiesOut,2357
702,2431408,Oddvar Ueland,CaptainSolanke,2357
702,2672310,Patrick Halvorsen Tolgensbakk,Invincibles,2357
702,5076096,Mohammed Alsaif,coolteam,2357
702,9139787,Medad Alawaji,M.I.M,2357
713,337156,Kenny Leung,696969,2357
713,561702,R M,Pamplemousse Lacroix,2357
713,626432,Hreggviður Haukur Rúnarsson,Dullusoccer,2357
713,630167,J vB,Sir Alex Murderson,2357
713,1323224,Paul Connolly,Better Call Sol,2357
713,1929994,Ewan McNeice,Schicks Creek,2357
713,1945767,Stephen Surbeck,Arsenal treble,2357
713,3533579,Matt Lissett,make Wirtz project,2357
713,4388614,Aaron Ramsdale,CHAT GPT FPL,2357
713,4762291,Kristina Robinson,the mystery men,2357
713,5056133,Anthony Tyrrell,Kai Me A River,2357
713,5147577,Thomas Spicer,Ballon d'Awson,2357
713,7023782,Abdelkadir Bouhdjeur,Adem team,2357
713,7292431,Ryan Davison,Tiocfaidh Mo Sáláh,2357
713,7659413,Mark Hitchmough,Un De Sceaux,2357
713,8437505,Anna Lyle,Let's go Flamingos!,2357
713,9464075,Sune Storm,Back-at-it Johnson,2357
730,2331536,Ho Thongam,MadamHong,2357
730,3332401,Karl Stone,ThomasTheFrankEngine,2357
732,589196,George Nicolaou,ULTRON FC,2357
732,5720254,Abraham Assim Ita,Heroes!,2357
732,7842898,Leif Axelarris,Leif Erikson,2357
732,9439662,Abdullah Al-Masaudi,Masoudi-IQ,2357
736,469658,Liam Casey,You’re a Wissa Harry,2357
736,3484400,Yousef Elqattan,El joooo,2357
738,4882738,Sherif Ahmed,القادمون من الخلف,2357
739,6022874,Mashan Alkhudhair,MKM25,2357
740,2182877,Michael Scoble,BlueMonday,2357
741,577810,Helder Miguel Carvalho,MeteNojo FC,2357
742,2983693,Ott J. Post,plätud,2356
743,108909,Katrine Dunseth,Team KAT,2356
743,2000107,Rob Banner,Not a Kalou,2356
743,9092132,Joe O'Donnell,Viva Hatate,2356
746,73409,Filip Horvat,Change Name,2356
746,83504,Adam White,Whitewash,2356
746,206407,Paddy McDonald,Green Brigade,2356
746,1091180,Nermin T,80% Spremni,2356
746,2401572,Ali Haroon,White Rice FC,2356
746,4055195,Jon Rømmen,Pattavikorn,2356
752,18044,Art Surdulli,bernal fc,2356
752,214608,Adam Cann,Mind the Gap,2356
752,436693,Franklyn Ugwu,KING FRANK,2356
752,526610,Ole Meindersma,Goblin United,2356
752,585934,Claysius Widjaja,FPL Byakko,2356
752,1404335,Alex Williams,Will Still's FM Save,2356
752,1983978,Mark Rainford,Goater Hell,2356
752,2046064,Tarek Mostafa,Tarek mostafa,2356
752,2715988,Mike Feehan,Mike’s Marvels,2356
752,2840798,Simon Harrington,Saka Punch,2356
752,4312659,Oarabile Moima,ORAAABZ,2356
752,5999850,Stefan Garrett,Shredz90,2356
752,9206566,Gard Neverlien,Gardiola Albion FC,2356
765,10050,Nate Sports,Nates Mates,2356
765,973845,Ollie Crewes,StoneColeStevePalmer,2356
765,2891203,Colin Casey,Howwood Rangers,2356
765,4019643,Chris Stroud,Amorims Avengers,2356
765,7641193,Angus Coleman,Renshaw Renegades,2356
770,12002,Andrew Bray,Reece Lightning,2356
770,1309752,Olle Thörn,Deportivo Grönsåpa,2356
770,1553825,Zuruoke Okafor,fploracle.team,2356
773,124340,Rodrigo Santos,Heróis do Bar,2356
773,421227,Simon Hellewell,Inter MiTown XVII,2356
773,1139478,Arijan Iveljic,Ac Papaya,2356
773,4904563,michael pace,Isco Inferno,2356
777,595767,Ben Mason,Blue Ballers,2356
777,7971013,Mubarak Alajmi,Mubarak,2356
779,6484992,Mike Gash,Stranger Mings,2356
780,3531985,Mohammed Kirkuk,haryB9,2356
781,237474,Akanni Daniel,mr. consistevão,2355
782,3413643,John Hamill,United Rovers,2355
782,4571106,Jo Marsh,Mrs Marsh United,2355
782,9121522,James Butterworth,Could've been wirtz,2355
785,2982906,Abror Khikmatov,Dream Team,2355
785,3697183,Sam Thorpe,Ctrl + Alt + De Ligt,2355
785,5885365,S Sy,ABCDE FC,2355
785,9269594,Bernardo Luis,coibes,2355
789,3205,Kristian Heibing,BingBongs,2355
789,20577,Steve Robbens,MurderonZidanesFloor,2355
789,33558,Alex Satchell,Bloggs United,2355
789,58005,Henry Lam,SKM兵工廠,2355
789,92959,Alex Hoggard,.,2355
789,504356,Jennifer Price,Team Monettsley,2355
789,5256959,walter white,ycbf86,2355
789,6636104,Mostafa Shams,SunCity ☀️,2355
789,8741600,Dominik Draganić,80k,2355
798,46871,udomsap poolsawasdi,migmadafak,2355
798,801464,Mike Tomlinson,Padonga,2355
798,815176,Dimitar Genov,Belene United,2355
798,6525720,Joel Davies,Gondor United,2355
798,6610839,Shah Aziz,Luckless & Hopeless,2355
798,7779119,Lewis Smith,Charlatan Athletic,2355
798,9116351,Thijmen Berben,What's Rob Holding,2355
805,211121,Ross Curtis,Pending Moderation,2355
805,296102,Dimitar Denev,Rhodopa,2355
805,4105120,Peter van Loon,Pistol Pirates,2355
808,7926239,Ikenna Ike-Agbo,Kabidindi FC,2355
809,3715250,Javier Lopez,Javier Team,2355
810,3449869,Knut Mydland,Blodjaffa,2355
810,4585775,Deborah Ducksbury,Bowen Arrows,2355
812,1165691,Rob Vincent,Saka Bilk,2355
813,432242,Denis Plamenov,Golden Boys,2355
814,2141756,Hudson Hunter,Hell in Lascelles,2354
814,6762394,Russell Owen,Mind the Delap,2354
816,59999,Alistair James,Kernow Saints,2354
816,251720,Nemanja Minjović,NBG - Blok64,2354
816,393068,Shan Shangh,Jose Mourinho,2354
816,4086858,Nick Strutt,Struttgart,2354
816,5540502,nikola perković,Luksici,2354
816,7204217,Christos Photiou,Famagusta,2354
816,7739305,Jack Bradley,Best of the Wirtz,2354
823,100444,Darryl Van Zyl,Joe FC,2354
823,164308,Felix Freeth,Football Not Saka,2354
823,700135,Jakob Nilsson,De Nilssons,2354
823,929848,david heang,Pedro oh no,2354
823,1865484,James Carroll,Minteh Fresh,2354
823,3571907,merouane chikhi,MCA,2354
823,4273350,Pétur Andri Ólafsson,Jeremie Pingpong,2354
823,5730419,Ademola Adetokunbo,Consistency,2354
823,6674442,Kamil Kuczok,FC Kameliończyk,2354
823,7658622,Con Kelleher,Controlled,2354
823,8456303,JH Lim,Satay Bois,2354
834,102185,Kulbundit Laeleng,Oat13,2354
834,119056,Mhmd Agwa,Abo Linda,2354
834,299877,Jakky Mourinho,Trust Amorim,2354
834,553678,Oleg Salfetnikov,Arteta of War,2354
834,2229311,Christos Phedonos,Saka Punch,2354
834,6382673,Keith Wilmoth,Game of Throw Inns,2354
834,8153171,Jamie Scott,Dukes of Hazard,2354
841,3318005,Sanjin Ramic,Chels,2354
841,4291723,Rob Watkins,Socks,2354
841,5182403,Michael Michaelides,Roronoa Zoro,2354
844,6924405,rajiv sooklal,eze skanking,2354
844,9265692,Phil Woodcock,Anyone’s game,2354
846,6597141,Jordan Downes,FC Twente Benson,2354
847,2176786,Trevor Ketley,Kudus To Me,2354
847,3787528,Abdur Rob Tanvir,Tax Xl,2354
849,2516796,Paul Suddes,Cole & the Gang,2354
850,8481897,Aviral Tewari,Alisson Wonderland,2354
851,4706938,Max Ferris,thomasthefrankengine,2353
852,108132,Suprise Kenny,Win FC,2353
852,2109752,Dani Sousa,dani dubs,2353
854,1244313,Talal AlRasheed,Cityzens,2353
854,1673193,Patiphan Chomut,"Diego ""Miguel"" Ricio",2353
856,400532,Siraj Chaulagain,Fantasy15,2353
856,2884418,Fadi AU,HabibisFC,2353
856,3043719,Hamish Macdonald,PubWatkins,2353
856,3486529,Khaled Hussein,Goals & Chaos,2353
856,5584648,Hans Surya,Pacar babi,2353
861,34998,Wipooh Panaram,BroNu  Mars,2353
861,880004,Yuvraj Bashyal,FlamesOn,2353
861,918055,Will Warwick,Wirtz case scenario,2353
861,1280369,Toluwani Adenipekun,Patrick Paper,2353
861,3917166,Elina Larsson,ElinaL,2353
861,4040105,Richard Wood,Borussia Dorch,2353
861,4065153,Joseph Heath,Vokes 4 Ballon d'Or,2353
861,4165344,Andy Oxley,Bangers & Mash,2353
861,6436876,Safwan Khayat,safwan fc,2353
861,7019470,David Allen,Steptoe No Son,2353
861,7062057,Roddy Macleod,Dundee Swindon,2353
872,226,J Mac,saka laka,2353
872,150834,Torjus Nikolaisen,Howe You Doin',2353
872,202520,Jakkse Mourinho,Trust The process,2353
872,800409,Peter Kirwan,Ugarte Be Kidding Me,2353
872,2717774,david duffy,Brown star Big Dave!,2353
872,2816220,Elias Lambine Christensen,Toppalaget,2353
872,8787816,Danny Atkins,"Me, Myself, Ndiaye",2353
879,131532,Connor Allen,In the Mudryk,2353
879,454321,Ali Ahmed Manik,Newcia,2353
879,1634716,Norbert Kulisz,PERŁA WIEPRZ,2353
879,2567976,Nikola Gazić,gaaza7,2353
883,3818013,Alexander Eckervall,Nikanswishamigdirekt,2353
883,4728207,George Woods,Wirtz Nightmare,2353
883,5486761,Sundaresh A M,gay,2353
886,4543674,Dipesh Khetani,Had One Tchouameni,2353
887,1787687,Steven Gerard,Liverpool Legends,2353
887,4219512,Yash Kukreja,Wirtz of Wisdom,2353
889,308852,Cory Williams,Saka Potato's,2353
890,929694,Eddie Abel,Dad's Got A Bentley,2353
891,8931116,Nolan Rebelo,EZ Money,2353
892,5014575,Krishan Jethwa,unReal Madrid,2352
893,25019,Olle Åhman,Wallénvägen Warriors,2352
893,60424,Dan Ivanov,ДиWhites,2352
893,765276,Niall Haughey,Schar's Electric,2352
893,1025872,Rachavin Poosuwon,Roaring Red MD FC,2352
893,2294022,Abdullah AlAli,abdullah alali,2352
893,3414090,notkayzz ontt,kayzz united,2352
893,4476582,Matti Edwards,Ottawa Hellenic,2352
893,5434517,Alexander Johnsen,Thubthumpers,2352
893,7794020,Matilda Williams,Brösarp United,2352
902,3066,Adam Cully,Beto call Saul,2352
902,358884,Bojan Todorov,4 20,2352
902,508638,Thomas Viles,What’s Rob Holding,2352
902,999496,Viktor Söderberg,2lax26,2352
902,2535061,Min Khant Zaw,Minstar,2352
902,3348097,Brett Norman,Silva Linings,2352
902,6277823,Sebastian Mundt,Karsten Selleri FC,2352
902,6654920,Zack Williams,Bukayo Zacka,2352
902,8037259,Luke Hosking,the crystals,2352
911,4826,Mark Brookes,Peaked at 24,2352
911,16174,Bhooshan Mamtora,Blue_Chip_Traders,2352
911,34881,John Bruce,To the Viktor,2352
911,83390,Sarinthorn Ingkasith,Anfrend,2352
911,196932,Tomi Tyysteri,PU-58,2352
911,239422,Bekoshvili ..,49'ers,2352
911,304197,Michael Laws,Famous last Wirtz,2352
911,311264,Henrik Hjelle,Fesken,2352
911,320278,Vid Zagar,VELECENTAR BARANDA,2352
911,877819,Charin Iamprapakul,BoyCharin FC,2352
911,1127912,Ishan Iyer,Bendilun,2352
911,4405350,Jesse Jokiniemi,Leijonat,2352
911,4441258,Elliot Potter,Metcalfe Massive,2352
911,6043956,Oliver Rae,Rae’s Rockets,2352
911,6477542,Sa'ad Adamu,PepperThemReloaded!,2352
911,9332228,Tom Courtney,Very Riiice I Liiike,2352
911,9434060,Krb Ultra,HiBa,2352
928,4842,Mark Merilai,No Haaland Life Brev,2352
928,50185,Robert Rowbotham,ChampagneSuperRovers,2352
928,339099,James Willis,"Me, Myself & Ndiaye",2352
928,451154,Brage Angell,AngelldiBrage,2352
928,954152,Konrad Konstantynowicz,Blink1Etoo,2352
928,2576761,Jordan Smyth,The Gunners,2352
928,7675534,Matt Rogers,Cops and Rogers,2352
928,9435470,Douglas Runnberg,Badji Bad Boys,2352
936,81162,Abdullah Alothman,Abdullah Alothman,2352
936,448259,Matt Polacko,Arne's Army,2352
936,1636228,Valdemar Ahlroth,Wallieboys,2352
936,3120372,Nasser Ibrahim,Fc Saban,2352
936,6193676,Conor Johnson,Bakers Dozen,2352
936,7695717,Runar Broks,Broksern,2352
942,376465,Daniel Smith,Hakuna Mateta,2352
942,1697703,Andreas Lysandrou,Inglourious B@sterds,2352
942,1758036,Anirudh Banerjee,Kinder Mbuemo,2352
945,153363,Aishah Mohd Shukuri,ORANJE TULIPS,2352
945,1743960,Adam Loveridge,Franks but no Franks,2352
945,2710582,Prince Beez,المحنك,2352
945,5850151,Abdullah Alqahtani,Qahatn Gunner,2352
945,9230865,Trey Geller,Ekitike-ing It Real,2352
950,373634,Malcolm Kärde,malcolm mourinho,2352
951,4725584,Ethan Blakely,Ekitikitaka,2351
952,579711,Erik Haga Owesen,Owes,2351
953,91806,Tom Watkinson,Flying Without Ings,2351
953,7035765,Dewakar Balu,Red devvils �,2351
955,163250,Daryl Bush,Corby Villa,2351
955,290593,Sarthak Bharara,iFlying Devils,2351
955,5138640,Craig Hagarty,AUDERE EST FACERE,2351
955,6882774,Salman Al-Khalifa,Riffa United,2351
955,8336294,Maddy Lack,Lord Farkesquad,2351
960,58709,Finley Powditch,Aaron Chen,2351
960,67573,Angelo Michael Davies,Cunha Touch Mbeumo?,2351
960,307389,Wiktor Szymajda,SetPeaceAgain,2351
960,394271,Makanaka Mamutse,JOE MAMA FC,2351
960,822215,Oiva Koskelo,Pro Evolution Saka,2351
960,935431,Dylan Bridge,Heatooo,2351
960,942161,Gaurav Tophakhane,GT11,2351
960,1484131,Muhammed Alghumaiz,AbuGassem,2351
960,3667006,Elias Jacobsen,FRATTA d,2351
960,4444774,jay caines,Haven't Got A Kalou,2351
960,6606531,Markus Seppä,I Want It That Way,2351
960,7946105,draft alchemy,draftalchemy,2351
960,8887186,Daniel Kojo Somuah,Alhamdulillah X3,2351
973,10134,FPL Crispy,Kinder Mbeumo,2351
973,32698,Andrew McDermott,Busquety Boyle,2351
973,33227,Ben May,Dubs XI,2351
973,64163,Luke Burberry,Goalscoring CB FC,2351
973,246992,Leo Best,Leslie Thiaw,2351
973,337624,Mohamad Zarei,Mohamad United,2351
973,712575,Daniel Astin,Cunha Mateta,2351
973,831365,Malachi Walls,EzeWinAgain,2351
973,974039,Čedomir Lukić,Šinkansen,2351
973,1280365,Michael Berry,Berrys bangors 3.0,2351
973,1558642,Youssef Ahmed,Dark,2351
973,2372052,Marcin Kiszczak,Kilok Lbn,2351
973,2776071,Martin Brede Johansen,TeamMBJ,2351
973,3152127,Rhin Sim-Nik,Rutter Woke Nonsense,2351
973,5406370,Michał Dziambor,Ludzie Pustyni,2351
973,6919231,Markus Karlsson,Smeech,2351
973,6993404,Jan Snow,AFA FC,2351
973,9333030,Conor Cronin,Whatyamineyamal,2351
973,9472118,am E,Arne Slots,2351
992,90481,Rushil Joshi,Son Perignon,2351
992,335218,Nowshad Karim,RTS,2351
992,468466,Dennis Hansen,Mo Salad,2351
992,593568,loukas dourambeis,Let me be Frank 26,2351
992,693302,Suman Adhikari,BrunoMagic,2351
992,1007113,Jacob Cronqvist,Cronis,2351
992,1665650,Rory Malone,maguireatedalot,2351
992,1767218,Linda Oates,Mad Hatters,2351
992,1879078,Napred Plavi,Taci,2351
