rank,entry,player_name,entry_name,total
45,1032270,Preraphas Sutitammakul,บินทะลุบ้านFC,2403
46,4114403,Bror Martin Juhasz Fossum,Shaw Me The Money,2402
47,4289719,Ben Smith,Now I'm a Baleba,2402
47,5895217,Sumarthin William,KiamChai,2402
49,3033964,Ashley Dilkes,drums please fab,2402
50,394806,Pham Tue,ᵛᶰメmây lang thang,2401
50,8754817,throwbackss stringer bodie,mukiele ukelele,2401
52,23301,Knowledge 096,Carnz08,2401
53,18383,-Calm -,Ricos Roughnecks,2401
53,2534643,Nuttawat Vititpariwat,Zoubizza,2401
53,3915839,Gustav Walkin,Walkin Humans,2401
53,6583704,Kreesan Pillay,Fantasy Team,2401
57,4537055,Andrew Mount,Team One,2401
58,6673941,ZombiePetter K,ItCantGoAnyWirtz,2400
59,7701,Chris O-Donnell,Headhunters,2400
59,16990,Parsa Ebrahimi,FreiburgChamp,2400
59,1294019,miles burt,Fibbers,2400
59,3418659,Liam Donnelly,Tick Tick Mbeumo!,2400
63,232428,Gareth Down,Forest Fires,2399
64,6714366,Diogo Evangelista,desta vez é a sério,2399
65,4043,Mike Mahoney,Guinness13,2399
66,6400869,Ben B,Ali Dia FC,2399
67,12674,Edward Bell,Yoro wizard Harry,2399
68,914224,Ahmed Hossam,FPL_Mido,2399
69,66111,Adam Davey,For my sins,2398
69,3786227,chris emerson,Emo's chancers,2398
71,668650,Geoff Bilbrough,Mt Cook Crusaders,2398
71,8190938,Alex Willison,Keezy,2398
73,1689754,Cristiano Jr,WiNg LeGenD,2398
74,25292,Emil Bergvall,Pluto United,2397
75,7232952,Jaturong Ruangkert,aaa fc,2397
76,120894,Andy Smillie,Simply The Best FC,2397
76,6943395,ziad alsyd,Samurai ♧︎,2397
78,3291082,John Ormerod,Oh Heck,2396
79,881558,Tate Secker,MettWirtz & Chesus,2396
79,1761769,التهامي اعلي,Lepron Jems Lejers,2396
79,6737062,Mark Skelton,GG123,2396
82,244895,N Hinton,Cunha Catch Me?,2396
82,2932608,Lee ward,Wardies Wonderlads,2396
84,5006014,Top Captain MK,Wizards,2396
85,1731239,Lee Foster,Bayern Bru,2395
86,283695,Thomas Legg,leggs 11,2395
87,24543,Mustafa I,Baby Reijnders,2395
88,34478,Liam Dye,A Cunha Mateta,2395
89,4160393,Tom Handley,Mbuzi FC,2394
90,236220,David Ogunyemi,Rutter woke nonsense,2394
90,1370909,Ratthagun Suwanchai,GUNKERES,2394
92,70476,Dan Howes,DanNistelrooy,2394
92,649584,Tope Anifalaje,Tope's Red Devils,2394
94,7887127,Kim Lambaerts,nunataq,2393
95,210697,Zacharay Murray,ドンキー・アスレチック,2393
96,3007408,Alexander Cipolat,ChampagneSuperRovers,2392
96,3871872,Kirpal Mehat,RAMBO,2392
96,4749230,Mrs Poulsen,Wataru thinking?,2392
99,43164,Cameron Scott,Sweet Viktory,2392
100,16424,Samuel Jeffrey,Unbelievable Jeff,2392
100,1990977,zakariya ahiker,DIGOOL FC,2392
