event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1392305,1392416,1392305,15,0,1000,0,0,6
2,51,118,5148179,5148393,1982826,50,0,1001,0,0,12
3,66,184,716341,716356,581491,10,33,1005,1,0,6
4,80,264,1203872,1203891,288618,15,23,1008,1,0,10
5,59,323,676867,676932,122541,10,23,1011,0,0,3
6,73,396,824877,824906,68745,10,11,1013,3,0,5
7,84,480,654072,654095,29252,10,3,1016,1,0,5
8,77,557,901638,901697,17583,10,3,1023,0,0,28
9,60,617,1776354,1776392,9113,15,3,1024,0,0,0
10,81,698,1529138,1529208,7511,15,1,1030,2,0,8
11,45,743,2845634,2845772,5383,25,1,1032,0,0,6
12,55,798,1281316,1281357,2660,15,1,1034,2,0,7
13,44,842,2482644,2482706,3254,20,1,1035,0,0,8
14,64,906,5236859,5236972,6264,45,0,1033,1,0,18
15,66,972,1335599,1335609,3399,15,6,1032,3,0,6
16,77,1049,1684802,1684864,3830,15,12,1038,2,0,4
17,86,1135,1890754,1890767,3272,20,4,1042,3,0,5
18,54,1189,2257125,2257158,2090,20,4,1045,0,0,5
19,46,1235,3496857,3496924,1531,30,20,1037,0,0,1
20,61,1296,964977,965012,945,10,20,1042,0,0,3
21,43,1339,8218765,8218854,2504,65,20,1043,0,0,3
22,47,1386,3218426,3218508,1859,30,9,1041,1,0,15
23,42,1428,6907487,6907597,1825,55,9,1043,0,0,0
24,58,1486,5403777,5403782,2993,45,8,1045,4,0,5
25,87,1573,163724,163754,1144,5,8,1050,0,0,10
26,66,1639,3969678,3969768,1495,35,2,1053,1,0,1
27,47,1686,5649785,5649804,1600,45,4,1051,3,0,8
28,72,1758,1956418,1956476,1906,20,2,1054,1,0,1
29,60,1818,4695206,4695327,2357,40,2,1057,0,0,2
30,72,1890,85644,85678,1041,1,2,1060,0,0,3
31,71,1961,237204,237213,566,5,34,1058,3,0,0
32,58,2019,2553534,2554264,621,20,29,1051,0,0,13
33,134,2153,42342,42641,208,1,53,1048,1,0,0
34,57,2210,1327992,1328179,264,15,53,1048,0,0,8
35,54,2264,4949151,4949338,303,40,53,1050,0,0,16
36,95,2359,646742,646774,143,5,6,1053,2,0,17
37,25,2384,5980182,5980291,160,50,9,1055,1,0,18
