season_name,total_points,rank
2013/14,2104,628488
2014/15,1871,731707
2015/16,1648,2409306
2016/17,1936,945363
2017/18,2018,1034203
2018/19,2006,1807260
2019/20,1904,3035595
2020/21,2149,1283468
2021/22,2205,1165399
2022/23,2379,807070
2023/24,2534,34306
2024/25,2471,212006
