event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,1939861,1969610,1939861,25,5,1000,0,0,25
2,63,127,1875042,1884905,892396,20,5,1003,0,0,2
3,60,187,1693658,1700539,439255,15,45,1009,1,0,11
4,67,254,4531594,4548513,629825,40,45,1013,0,0,6
5,47,301,4163910,4169691,661897,40,24,1016,2,0,13
6,77,378,421921,425119,254072,5,24,1016,0,0,4
7,80,458,1243379,1248315,152227,15,27,1018,2,0,9
8,94,552,68698,69553,26057,1,27,1023,0,0,2
9,41,593,7884859,7896881,56437,65,15,1025,1,0,4
10,96,689,96714,96926,15448,1,4,1030,3,0,0
11,37,726,6543499,6568073,20563,55,4,1033,0,0,7
12,56,782,1027757,1033324,9529,10,4,1035,0,0,5
13,59,841,425962,432496,3512,5,4,1035,0,0,4
14,74,915,2241033,2246240,3240,20,7,1031,2,0,5
15,60,975,2492632,2498969,2737,20,5,1032,2,0,7
16,82,1057,974322,977804,2143,10,3,1031,3,0,18
17,91,1148,1104703,1109218,1264,10,0,1033,2,0,11
18,48,1196,4624993,4635390,1316,40,3,1037,2,0,6
19,57,1253,781266,786668,407,10,15,1029,0,0,16
20,51,1304,3155976,3165468,541,25,0,1033,1,0,3
21,58,1362,3064983,3076337,529,25,12,1035,1,0,2
22,55,1417,1042222,1049343,225,10,5,1036,0,0,17
23,46,1463,5065120,5090705,162,40,5,1045,0,0,8
24,79,1542,326631,328928,68,5,7,1047,1,0,10
25,58,1600,6750034,6768984,195,55,7,1052,0,0,13
26,71,1671,2502605,2510508,208,20,3,1054,1,0,4
27,38,1709,10109008,10118996,368,80,15,1055,1,0,4
28,75,1784,1508798,1511217,409,15,5,1052,3,0,1
29,85,1869,465654,467673,127,5,73,1050,1,0,8
30,57,1926,1410031,1426612,127,15,73,1056,0,0,8
31,50,1976,3593901,3598858,251,30,73,1058,2,0,8
32,52,2028,4550288,4577512,382,40,73,1059,0,0,4
33,86,2114,2161611,2167916,1946,20,73,1056,0,0,9
34,40,2154,5003850,5007724,5000,40,84,1053,2,0,0
35,59,2213,3349980,3358988,4333,30,82,1053,1,0,14
36,97,2310,462714,465963,2096,5,8,1048,1,0,0
37,53,2363,426597,430130,494,5,8,1048,0,0,17
