event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,1939861,1960947,1939861,25,0,1000,0,0,10
2,60,124,2518526,2527782,1190219,25,0,1000,0,0,0
3,62,186,1297150,1301136,483009,15,33,1002,1,0,6
4,81,267,1043748,1047449,221971,10,22,1002,1,0,20
5,46,313,4489025,4499425,283587,40,11,1006,1,0,17
6,75,388,566435,568885,125373,5,11,1007,0,0,3
7,67,455,4245397,4255631,182414,40,11,1008,0,0,7
8,95,550,64312,64668,30563,1,14,1011,2,0,13
9,47,597,5412326,5422526,42459,45,14,1012,0,0,5
10,80,677,1694326,1701005,34782,15,5,1016,1,0,9
11,52,729,1049739,1056465,15968,10,5,1019,0,0,15
12,69,798,162917,163711,2559,5,5,1021,0,0,5
13,82,880,6931,7327,121,1,5,1022,0,0,7
14,77,957,1581490,1584532,82,15,2,1018,2,0,7
15,76,1033,341103,342538,18,5,2,1023,0,0,12
16,81,1114,1086814,1088523,19,10,15,1024,2,0,3
17,70,1184,5940706,5946299,67,50,24,1032,1,0,5
18,61,1245,895568,899572,26,10,1,1031,0,0,9
19,31,1276,10431478,10444256,66,85,1,1032,0,0,9
20,56,1332,1904371,1910434,66,20,8,1030,1,0,3
21,68,1400,789383,791734,34,10,16,1027,2,0,4
22,43,1443,4905290,4914714,38,40,8,1027,1,0,19
23,28,1471,12049515,12050798,95,95,15,1027,2,0,20
24,80,1551,276429,278094,44,5,2,1025,2,0,2
25,62,1613,5465179,5473188,76,45,26,1026,1,0,10
26,46,1659,10442047,10449704,421,85,26,1029,0,0,4
27,45,1704,6553823,6564114,520,55,24,1028,1,0,7
28,78,1782,1054075,1058511,455,10,43,1027,2,0,2
29,58,1840,5246727,5259036,674,45,43,1028,0,0,4
30,62,1902,654529,662762,518,10,43,1031,0,0,13
31,60,1962,1565078,1570498,527,15,25,1033,2,0,2
32,65,2027,1095205,1104452,404,10,37,1026,0,0,13
33,121,2148,250477,250929,288,5,32,1027,2,0,0
34,57,2205,1327992,1339280,349,15,32,1027,0,0,14
35,55,2260,4861908,4869372,368,40,11,1028,1,0,8
36,80,2340,3236742,3241897,430,25,17,1032,1,0,12
37,21,2361,7506132,7513732,550,60,2,1035,1,0,11
