id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,featured_entry_ids,entry_rank,entry_last_rank
77,Czech Republic,region-57,2025-07-20T23:14:29.678589Z,False,,,s,c,,1,False,False,False,True,2892857.0,True,26287,1,"[{'phase': 1, 'rank': 3, 'last_rank': 3, 'rank_sort': 3, 'total': 2360, 'league_id': 77, 'rank_count': 26287, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 768, 'last_rank': 642, 'rank_sort': 778, 'total': 194, 'league_id': 77, 'rank_count': 26287, 'entry_percentile_rank': 5}]",[],3,3
276,Gameweek 1,event-1,2025-07-20T23:14:33.264422Z,False,,,s,c,,1,False,False,False,False,,,9447133,1,"[{'phase': 1, 'rank': 614, 'last_rank': 804, 'rank_sort': 614, 'total': 2360, 'league_id': 276, 'rank_count': 9447133, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 306057, 'last_rank': 239204, 'rank_sort': 309424, 'total': 194, 'league_id': 276, 'rank_count': 9424753, 'entry_percentile_rank': 5}]",[],614,804
314,Overall,overall,2025-07-20T23:14:33.933835Z,False,,,s,c,,1,False,False,False,True,2815434.0,True,12983980,1,"[{'phase': 1, 'rank': 614, 'last_rank': 805, 'rank_sort': 614, 'total': 2360, 'league_id': 314, 'rank_count': 12983980, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 334433, 'last_rank': 277094, 'rank_sort': 337800, 'total': 194, 'league_id': 314, 'rank_count': 12983975, 'entry_percentile_rank': 5}]",[],614,805
320,CANAL+ Sport Liga,brd-canalplus,2025-07-20T23:14:34.042864Z,False,,,s,c,,1,False,False,False,True,2888116.0,True,44889,1,"[{'phase': 1, 'rank': 3, 'last_rank': 4, 'rank_sort': 3, 'total': 2360, 'league_id': 320, 'rank_count': 44889, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 1342, 'last_rank': 1109, 'rank_sort': 1361, 'total': 194, 'league_id': 320, 'rank_count': 44889, 'entry_percentile_rank': 5}]",[],3,4
333,Second Chance,sc,2025-07-20T23:14:34.276586Z,False,,,s,c,,21,False,False,False,False,,,12983978,1,"[{'phase': 1, 'rank': 97963, 'last_rank': 108650, 'rank_sort': 98150, 'total': 1067, 'league_id': 333, 'rank_count': 12983978, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 334433, 'last_rank': 277094, 'rank_sort': 337800, 'total': 194, 'league_id': 333, 'rank_count': 12983975, 'entry_percentile_rank': 5}]",[],97963,108650
40707,youtube.com/FPLHarry,,2025-07-21T13:10:17.038254Z,False,,,x,c,1320.0,1,True,False,False,True,2888132.0,False,44384,1,"[{'phase': 1, 'rank': 34, 'last_rank': 52, 'rank_sort': 34, 'total': 2360, 'league_id': 40707, 'rank_count': 44384, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 1781, 'last_rank': 1232, 'rank_sort': 1814, 'total': 194, 'league_id': 40707, 'rank_count': 44385, 'entry_percentile_rank': 5}]",[],34,52
51919,@FPLczsk Open 2025/2026,,2025-07-21T13:42:51.013886Z,False,,,x,c,287470.0,1,False,False,False,True,2915048.0,True,1726,1,"[{'phase': 1, 'rank': 2, 'last_rank': 2, 'rank_sort': 2, 'total': 2360, 'league_id': 51919, 'rank_count': 1726, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 92, 'last_rank': 68, 'rank_sort': 93, 'total': 194, 'league_id': 51919, 'rank_count': 1726, 'entry_percentile_rank': 10}]",[],2,2
312844,VAR Podcast,,2025-07-24T11:08:10.582957Z,False,,,x,c,1761593.0,1,False,False,False,True,2904815.0,True,4951,1,"[{'phase': 1, 'rank': 1, 'last_rank': 2, 'rank_sort': 1, 'total': 2360, 'league_id': 312844, 'rank_count': 4951, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 235, 'last_rank': 194, 'rank_sort': 238, 'total': 194, 'league_id': 312844, 'rank_count': 4951, 'entry_percentile_rank': 5}]",[],1,2
492414,Za - 4,,2025-07-28T12:42:05.590519Z,False,,,x,c,374100.0,1,False,False,False,True,3012535.0,True,32,5,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2360, 'league_id': 492414, 'rank_count': 32, 'entry_percentile_rank': 5}, {'phase': 11, 'rank': 3, 'last_rank': 2, 'rank_sort': 3, 'total': 194, 'league_id': 492414, 'rank_count': 32, 'entry_percentile_rank': 10}]",[],1,1
825749,Kontrapresink liga,,2025-08-05T09:25:12.278012Z,False,,,x,c,2186296.0,1,False,False,False,True,2932415.0,True,173,1,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2360, 'league_id': 825749, 'rank_count': 173, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 9, 'last_rank': 8, 'rank_sort': 9, 'total': 194, 'league_id': 825749, 'rank_count': 173, 'entry_percentile_rank': 10}]",[],1,1
