event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,44,44,7400956,7518363,7400945,80,0,1000,0,0,3
2,83,127,121055,124151,892396,5,0,1000,0,0,12
3,65,192,865963,878675,272534,10,0,1000,2,0,3
4,73,265,2784551,2822685,271052,25,30,1002,1,0,7
5,42,307,6280985,6337484,449874,55,6,1002,1,0,5
6,69,376,1227843,1282133,292630,15,22,1002,0,0,3
7,81,457,972884,1003551,160868,10,22,1008,0,0,12
8,97,554,44281,45163,22606,1,19,1013,2,0,17
9,46,600,5967855,6000042,35069,50,0,1016,1,0,12
10,75,675,3046176,3086715,40594,25,6,1022,1,0,4
11,54,729,757197,786609,16168,10,6,1024,0,0,0
12,47,776,3070864,3094402,14934,25,9,1022,2,0,6
13,58,834,483733,503019,6052,5,9,1022,0,0,5
14,69,903,3588863,3630327,7733,30,0,1023,1,0,9
15,48,951,6550554,6595772,13732,55,1,1023,1,0,12
16,91,1042,311473,321866,6233,5,2,1017,5,0,12
17,110,1152,63050,64020,912,1,2,1023,0,0,15
18,46,1198,5503147,5537170,1125,45,11,1025,2,0,2
19,34,1224,9603679,9612714,3378,80,3,1025,3,8,6
20,69,1293,319904,327064,1253,5,4,1026,1,0,7
21,39,1332,9693362,9702971,4039,80,8,1024,1,0,18
22,35,1367,9089867,9142168,6194,75,12,1026,1,0,14
23,41,1408,7717140,7760857,6407,65,8,1026,1,0,3
24,77,1485,430839,447790,3284,5,3,1022,0,0,24
25,73,1558,1540096,1599943,2940,15,3,1032,0,0,6
26,63,1621,5047461,5069222,4322,40,3,1032,2,0,13
27,42,1663,7767657,7906139,5873,65,3,1035,0,0,13
28,76,1739,1329512,1346308,5614,15,10,1034,2,0,2
29,80,1819,891901,902719,2275,10,2,1031,1,0,5
30,64,1883,503149,515711,1603,5,3,1035,1,0,13
31,67,1946,536874,547349,1367,5,43,1033,2,4,2
32,53,1999,4465665,4490950,1930,35,11,1033,1,0,9
33,107,2098,683038,685905,4329,10,20,1032,3,8,0
34,68,2166,331563,353436,2967,5,20,1032,0,0,16
35,68,2234,1085261,1099676,1577,10,7,1036,1,0,8
36,95,2329,627762,640261,805,5,0,1037,1,0,15
37,35,2360,2898957,2909537,614,25,2,1035,2,4,9
