season_name,total_points,rank
2013/14,2224,226053
2014/15,1639,1919727
2015/16,2074,309882
2016/17,2123,184843
2017/18,1630,4057953
2018/19,2105,800562
2021/22,2522,78242
2022/23,2425,499197
2023/24,2316,896347
2024/25,2432,379310
