event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,69,69,1090649,1137286,1090649,15,0,1000,0,0,11
2,37,106,9136715,9163605,4274377,85,0,999,0,0,20
3,80,186,51622,52185,483009,1,25,1002,1,0,5
4,78,264,1621702,1631090,295304,15,5,1001,2,0,13
5,36,300,8600493,8648022,705424,75,5,1005,0,0,4
6,66,366,1807180,1818745,540317,20,31,1007,2,0,3
7,73,439,2730196,2753603,478475,25,1,1007,1,0,4
8,77,516,901638,915196,291210,10,1,1014,0,0,18
9,44,560,6462443,6506191,386796,55,1,1015,0,0,7
10,79,639,1984385,1999186,315871,20,0,1016,2,0,9
11,84,723,1242,1263,26003,1,10,1017,2,0,0
12,72,795,111534,112784,3517,1,0,1020,1,0,2
13,78,873,17573,18741,225,1,0,1022,0,0,1
14,69,942,3588863,3615976,370,30,11,1023,1,0,3
15,65,1007,1353228,1368681,209,15,1,1026,0,0,20
16,71,1078,2932307,2935878,420,25,4,1040,1,0,6
17,98,1176,448243,454032,144,5,1,1045,1,0,4
18,51,1227,3442785,3460548,110,30,7,1044,2,0,4
19,49,1276,2683892,2699071,67,25,0,1041,1,0,4
20,59,1335,1344039,1357522,55,15,0,1042,1,0,23
21,73,1408,285543,290633,21,5,10,1043,1,0,12
22,41,1449,5907189,5938887,23,50,17,1044,1,0,8
23,23,1472,12468102,12476023,87,100,17,1046,0,0,7
24,64,1536,3177366,3178537,103,25,5,1041,5,0,0
25,86,1622,211966,214880,41,5,18,1042,1,0,8
26,59,1681,6470081,6488333,108,55,3,1044,1,0,9
27,51,1732,3496423,3548719,84,30,3,1045,0,0,18
28,71,1803,2179523,2191875,125,20,5,1046,2,0,17
29,68,1871,2734349,2767320,111,25,5,1045,0,0,4
30,62,1933,654529,674960,79,10,5,1047,0,0,10
31,59,1992,1780784,1787625,109,15,6,1046,3,0,3
32,61,2053,1835427,1873630,87,15,6,1048,0,0,6
33,86,2139,2212975,2218540,514,20,20,1044,1,0,10
34,62,2201,805411,807645,456,10,0,1045,1,0,0
35,71,2272,689587,696258,195,10,10,1049,1,0,12
36,81,2353,2859392,2889963,201,25,3,1042,0,0,5
37,24,2377,6393831,6403095,241,50,7,1044,2,0,2
