event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,72,72,728920,790694,728920,10,0,1000,0,0,5
2,59,131,2894935,2946878,618467,30,5,1002,1,0,10
3,44,175,7062934,7112293,1254049,65,44,1007,1,0,6
4,70,245,3536852,3602756,1166406,35,5,1008,0,0,9
5,63,308,312546,328034,405858,5,5,1013,0,0,5
6,85,393,123806,127888,86029,5,4,1018,2,0,2
7,85,478,553449,569010,33840,5,8,1020,1,0,13
8,97,575,42495,43638,3429,1,21,1028,1,0,14
9,38,613,8898852,8987834,12688,75,21,1030,0,0,18
10,85,698,804388,824484,7380,10,17,1036,1,0,9
11,37,735,6878469,6942202,10157,60,16,1040,1,0,8
12,55,786,1281316,1294197,7155,15,9,1041,2,4,0
13,53,839,952635,965528,4242,10,20,1045,1,0,9
14,81,920,898938,916749,2250,10,5,1047,1,0,5
15,57,977,3257301,3294558,2348,30,0,1050,1,0,15
16,95,1072,157330,159264,718,5,1,1052,3,0,11
17,72,1144,5403847,5425987,1697,45,13,1062,2,0,7
18,30,1174,11535917,11546138,5805,95,26,1067,1,0,13
19,39,1213,6721120,6854615,6634,55,26,1068,0,0,14
20,58,1271,1550557,1564553,5062,15,14,1065,2,0,7
21,63,1334,1721120,1742725,3564,15,8,1061,2,0,10
22,36,1370,8577727,8634364,5140,70,36,1062,1,0,7
23,36,1406,9906812,9943745,7177,80,23,1064,1,0,9
24,68,1474,1921642,1944174,6103,20,1,1063,1,0,4
25,65,1539,4278094,4321280,8672,35,21,1062,1,0,20
26,86,1625,329215,335887,3429,5,13,1059,1,0,6
27,55,1680,2432424,2455142,2282,20,4,1058,1,0,16
28,81,1761,691086,705021,1624,10,23,1058,1,0,3
29,62,1823,4351277,4373503,1844,35,34,1057,1,0,7
30,46,1869,5185438,5218182,3421,45,39,1060,1,0,8
31,64,1929,911117,926449,3397,10,34,1061,2,4,2
32,61,1990,1835427,1905810,3048,15,22,1049,0,0,14
33,146,2136,2417,2606,611,1,26,1052,1,0,0
34,68,2204,331563,354504,388,5,26,1052,0,0,14
35,57,2261,4069677,4100224,365,35,44,1055,1,0,11
36,76,2337,4248312,4269479,522,35,28,1058,1,0,13
37,31,2368,3949636,3977875,406,35,14,1058,1,0,18
