event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,61,61,2607688,2609603,2607687,30,0,1000,0,0,8
2,42,103,7951736,7953151,4919019,75,0,1001,0,0,11
3,64,167,908508,908820,2114480,10,0,1003,0,0,14
4,63,230,5927176,5927888,2581140,55,0,1003,0,0,7
5,61,291,465198,465665,1177563,5,0,1003,0,0,8
6,76,367,492341,492618,495277,5,0,1001,0,0,4
7,81,448,1102133,1102220,281513,10,6,1003,3,0,7
8,95,543,64312,64374,52054,1,2,1008,2,0,0
9,42,585,7228809,7229863,95699,60,2,1010,0,0,26
10,87,672,611104,611252,49342,5,4,1013,3,0,5
11,42,714,4058517,4059808,46417,35,4,1018,0,0,11
12,48,762,2782557,2783150,38376,25,11,1017,2,0,9
13,69,831,121894,122355,7626,1,11,1019,0,0,1
14,67,894,4305634,4306343,14583,35,1,1018,2,4,6
15,63,957,1686905,1687184,9281,15,1,1020,0,0,6
16,76,1033,1864222,1864485,10925,15,14,1026,2,0,5
17,92,1125,985989,986274,6110,10,6,1031,2,0,8
18,55,1180,2189281,2189739,3890,20,0,1035,2,0,1
19,44,1224,4694237,4694769,3257,40,0,1038,2,0,13
20,60,1284,1098937,1099388,2193,10,0,1041,0,0,4
21,46,1330,7176784,7177912,4350,60,0,1039,0,0,5
22,35,1365,8776682,8777853,6644,70,0,1038,0,0,19
23,53,1418,2765953,2766211,3342,25,4,1036,2,0,14
24,79,1497,326631,326875,1511,5,3,1036,1,0,1
25,66,1563,3961444,3961989,2147,35,5,1043,2,0,8
26,73,1636,1884165,1884748,1784,15,5,1047,0,0,5
27,45,1681,6188421,6190201,2088,50,5,1047,0,0,13
28,90,1771,147733,147884,863,5,13,1047,1,0,0
29,53,1824,6930871,6931162,1698,55,1,1047,2,0,2
30,54,1878,2347245,2347577,2074,20,36,1047,2,0,17
31,59,1937,1727710,1728389,2167,15,9,1046,1,0,2
32,58,1995,2553534,2558799,2300,20,14,1037,0,0,12
33,134,2129,42342,44069,875,1,38,1033,1,0,0
34,60,2189,937427,938941,882,10,38,1033,0,0,9
35,48,2237,7769722,7771338,1327,60,17,1034,1,0,16
36,82,2319,2760811,2761652,1305,25,22,1038,1,0,11
37,32,2351,3658329,3659046,960,30,7,1040,1,0,2
