h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.49549,0.581247,2.49549,0.581247,"{'att': 318, 'def': 18}","{'att': 254, 'def': 18}",9,10,2,0,2.7045999999999997,w,2023-08-19 18:45:00,1,0,0,3,1.9142430000000004
a,1.25423,0.484344,1.25423,0.484344,"{'att': 166, 'def': 22}","{'att': 400, 'def': 10}",11,1,2,0,2.0141999999999998,w,2023-08-28 18:45:00,1,0,0,3,0.769886
h,5.21474,0.346607,4.45344,0.346607,"{'att': 346, 'def': 29}","{'att': 212, 'def': 14}",8,5,4,0,2.9945,w,2023-09-03 16:30:00,1,0,0,3,4.106833
h,2.95417,0.989611,2.19287,0.989611,"{'att': 326, 'def': 18}","{'att': 197, 'def': 17}",4,10,5,1,2.6257,w,2023-09-16 16:00:00,1,0,0,3,1.203259
a,1.63518,0.330665,1.63518,0.330665,"{'att': 210, 'def': 23}","{'att': 293, 'def': 20}",15,6,1,0,2.3776,w,2023-09-24 10:30:00,1,0,0,3,1.304515
h,1.02458,1.02404,1.02458,1.02404,"{'att': 168, 'def': 19}","{'att': 348, 'def': 18}",11,7,1,2,1.3445,l,2023-09-27 18:45:00,0,0,1,0,0.0005399999999999849
a,2.5554,0.620122,1.7941,0.620122,"{'att': 130, 'def': 19}","{'att': 391, 'def': 19}",14,4,4,0,2.6558,w,2023-09-30 18:45:00,1,0,0,3,1.173978
h,0.705274,1.04766,0.705274,0.286361,"{'att': 218, 'def': 22}","{'att': 368, 'def': 28}",7,1,2,2,0.9166999999999998,d,2023-10-07 13:00:00,0,1,0,1,0.418913
a,2.44253,0.596799,1.68123,0.596799,"{'att': 214, 'def': 16}","{'att': 284, 'def': 20}",6,3,3,0,2.697,w,2023-10-21 16:00:00,1,0,0,3,1.084431
h,2.25314,0.495306,2.25314,0.495306,"{'att': 203, 'def': 25}","{'att': 283, 'def': 9}",11,1,1,0,2.6454,w,2023-10-29 17:00:00,1,0,0,3,1.7578340000000001
a,1.39642,1.36089,0.635122,1.36089,"{'att': 290, 'def': 19}","{'att': 269, 'def': 18}",4,4,2,1,1.3936,w,2023-11-04 17:00:00,1,0,0,3,-0.725768
h,3.2782,0.58612,2.5169,0.58612,"{'att': 343, 'def': 12}","{'att': 291, 'def': 26}",14,3,2,0,2.8379,w,2023-11-12 20:45:00,1,0,0,3,1.9307800000000002
a,0.692636,0.488914,0.692636,0.488914,"{'att': 232, 'def': 25}","{'att': 520, 'def': 24}",6,3,1,1,1.4866,d,2023-11-26 19:45:00,0,1,0,1,0.20372200000000001
a,2.58503,0.787314,2.58503,0.787314,"{'att': 306, 'def': 23}","{'att': 208, 'def': 14}",3,5,3,0,2.6557999999999997,w,2023-12-03 19:45:00,1,0,0,3,1.7977160000000003
h,3.34151,0.847308,2.58021,0.847308,"{'att': 156, 'def': 26}","{'att': 508, 'def': 4}",13,6,4,0,2.8139,w,2023-12-09 19:45:00,1,0,0,3,1.7329020000000002
a,1.69409,1.63799,1.69409,1.63799,"{'att': 253, 'def': 20}","{'att': 386, 'def': 25}",9,6,2,0,1.3951,w,2023-12-17 19:45:00,1,0,0,3,0.05610000000000004
h,3.28691,1.1279,3.28691,1.1279,"{'att': 162, 'def': 18}","{'att': 382, 'def': 24}",19,2,2,0,2.6657,w,2023-12-23 17:00:00,1,0,0,3,2.1590100000000003
a,1.8593,0.410279,1.8593,0.410279,"{'att': 200, 'def': 12}","{'att': 254, 'def': 14}",13,3,1,1,2.6383,d,2023-12-29 19:45:00,0,1,0,1,1.449021
h,2.12311,1.36479,2.12311,0.566071,"{'att': 160, 'def': 18}","{'att': 328, 'def': 22}",10,4,2,1,1.981,w,2024-01-06 11:30:00,1,0,0,3,1.557039
a,4.72502,1.07372,3.20242,0.312418,"{'att': 310, 'def': 18}","{'att': 210, 'def': 8}",11,1,5,1,2.9600999999999997,w,2024-01-13 19:45:00,1,0,0,3,2.890002
a,0.617311,1.89212,0.617311,1.13082,"{'att': 282, 'def': 14}","{'att': 253, 'def': 18}",6,9,1,0,0.39799999999999996,w,2024-01-28 19:45:00,1,0,0,3,-0.5135089999999999
h,1.64254,0.597312,1.64254,0.597312,"{'att': 287, 'def': 23}","{'att': 333, 'def': 15}",7,2,1,0,2.2349,w,2024-02-04 19:45:00,1,0,0,3,1.0452279999999998
