name,time,event
freehit,2025-08-27T21:33:32.188811Z,3
wildcard,2025-09-21T19:24:53.692886Z,6
bboost,2025-10-24T16:08:39.511047Z,9
3xc,2025-11-28T14:17:09.006667Z,13
3xc,2026-02-10T17:20:34.462272Z,26
wildcard,2026-04-10T15:00:10.996063Z,32
bboost,2026-04-10T18:21:36.752160Z,33
freehit,2026-04-18T21:15:35.358980Z,34
