h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.17776,3.21449,1.17776,3.21449,"{'att': 315, 'def': 19}","{'att': 282, 'def': 17}",7,8,0,2,0.3192,l,2023-08-19 13:30:00,0,0,1,0,-2.0367300000000004
h,2.72999,2.75768,1.97221,1.99991,"{'att': 280, 'def': 16}","{'att': 116, 'def': 18}",8,4,2,3,1.343,l,2023-08-26 13:30:00,0,0,1,0,-0.027700000000000058
a,2.09517,2.74794,1.33739,1.99017,"{'att': 305, 'def': 24}","{'att': 146, 'def': 13}",5,14,2,2,0.9521,d,2023-09-01 18:30:00,0,1,0,1,-0.6527799999999999
h,1.96235,2.55978,1.20457,1.67496,"{'att': 264, 'def': 32}","{'att': 181, 'def': 20}",1,11,4,2,0.9114,w,2023-09-17 13:30:00,1,0,0,3,-0.4703900000000001
a,0.659741,3.97445,0.659741,3.21668,"{'att': 474, 'def': 19}","{'att': 195, 'def': 20}",2,11,1,4,0.040999999999999995,l,2023-09-24 13:30:00,0,0,1,0,-2.5569390000000003
h,0.542933,2.1613,0.542933,2.1613,"{'att': 249, 'def': 15}","{'att': 243, 'def': 22}",3,9,1,0,0.2966,w,2023-09-30 13:30:00,1,0,0,3,-1.618367
a,0.625618,1.83609,0.625618,1.07831,"{'att': 301, 'def': 20}","{'att': 314, 'def': 29}",9,10,0,2,0.4043,l,2023-10-08 17:30:00,0,0,1,0,-0.4526920000000001
h,1.99327,2.82353,1.99327,2.06575,"{'att': 226, 'def': 14}","{'att': 365, 'def': 16}",6,4,2,5,0.7886,l,2023-10-22 15:30:00,0,0,1,0,-0.07247999999999988
a,0.395956,0.981009,0.395956,0.981009,"{'att': 413, 'def': 26}","{'att': 314, 'def': 20}",3,7,1,2,0.7671,l,2023-10-28 13:30:00,0,0,1,0,-0.585053
h,0.78335,2.57296,0.78335,1.81518,"{'att': 356, 'def': 14}","{'att': 120, 'def': 20}",3,14,2,0,0.2559,w,2023-11-05 16:30:00,1,0,0,3,-1.03183
a,1.04526,2.60786,1.04526,2.60786,"{'att': 504, 'def': 23}","{'att': 166, 'def': 16}",2,18,2,4,0.42389999999999994,l,2023-11-11 14:30:00,0,0,1,0,-1.5626
h,0.748895,0.359399,0.748895,0.359399,"{'att': 237, 'def': 23}","{'att': 231, 'def': 19}",4,4,0,0,1.7165,d,2023-11-26 14:30:00,0,1,0,1,0.38949599999999995
a,1.17851,4.71075,1.17851,3.95297,"{'att': 417, 'def': 21}","{'att': 126, 'def': 20}",4,19,1,2,0.07289999999999999,l,2023-12-02 14:30:00,0,0,1,0,-2.7744600000000004
h,1.86894,1.00759,1.86894,1.00759,"{'att': 237, 'def': 20}","{'att': 137, 'def': 17}",8,5,3,2,2.0041,w,2023-12-09 14:30:00,1,0,0,3,0.8613500000000001
a,0.756363,1.21178,0.756363,1.21178,"{'att': 226, 'def': 22}","{'att': 108, 'def': 13}",3,10,1,0,0.9862,w,2023-12-16 14:30:00,1,0,0,3,-0.45541700000000007
h,1.75628,1.59052,1.75628,0.832743,"{'att': 219, 'def': 28}","{'att': 274, 'def': 22}",9,4,3,2,1.4712,w,2023-12-20 19:30:00,1,0,0,3,0.923537
a,1.27869,0.641578,1.27869,0.641578,"{'att': 242, 'def': 25}","{'att': 263, 'def': 24}",2,4,1,1,1.9614,d,2024-01-13 14:30:00,0,1,0,1,0.6371120000000001
h,1.19211,1.22104,1.19211,1.22104,"{'att': 266, 'def': 20}","{'att': 277, 'def': 19}",2,10,1,1,1.3687,d,2024-01-20 14:30:00,0,1,0,1,-0.0289299999999999
a,1.10065,3.23703,1.10065,2.47926,"{'att': 363, 'def': 16}","{'att': 137, 'def': 27}",3,20,1,1,0.22699999999999998,d,2024-01-27 14:30:00,0,1,0,1,-1.3786100000000001
h,1.00945,0.8117,1.00945,0.8117,"{'att': 418, 'def': 25}","{'att': 149, 'def': 21}",2,7,0,0,1.5286000000000002,d,2024-02-02 19:30:00,0,1,0,1,0.19774999999999998
a,2.1722,1.62589,2.1722,1.62589,"{'att': 365, 'def': 21}","{'att': 151, 'def': 16}",8,6,2,1,1.8515,w,2024-02-10 14:30:00,1,0,0,3,0.5463100000000001
h,0.698981,1.87986,0.698981,1.87986,"{'att': 344, 'def': 31}","{'att': 170, 'def': 17}",7,12,1,2,0.5031,l,2024-02-17 14:30:00,0,0,1,0,-1.180879
a,1.33022,1.20933,1.33022,1.20933,"{'att': 295, 'def': 22}","{'att': 191, 'def': 19}",2,3,2,2,1.4482000000000002,d,2024-02-24 14:30:00,0,1,0,1,0.12088999999999994
h,0.847831,1.57778,0.847831,1.57778,"{'att': 198, 'def': 14}","{'att': 249, 'def': 16}",4,5,1,2,0.7471,l,2024-03-02 14:30:00,0,0,1,0,-0.729949
