h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.04077,0.297792,1.04077,0.297792,"{'att': 155, 'def': 26}","{'att': 273, 'def': 36}",3,1,1,0,2.0529,w,2024-08-18 15:00:00,1,0,0,3,0.7429779999999999
h,4.01926,0.695576,4.01926,0.695576,"{'att': 274, 'def': 26}","{'att': 263, 'def': 14}",20,6,2,0,2.8903000000000003,w,2024-08-25 13:00:00,1,0,0,3,3.323684
a,1.91297,0.905621,1.15287,0.905621,"{'att': 245, 'def': 28}","{'att': 140, 'def': 30}",7,9,1,1,2.238,d,2024-09-01 13:00:00,0,1,0,1,0.24724900000000005
h,0.623644,0.529029,0.623644,0.529029,"{'att': 201, 'def': 21}","{'att': 232, 'def': 25}",9,13,0,0,1.354,d,2024-09-15 18:45:00,0,1,0,1,0.094615
a,0.853348,1.34636,0.853348,0.586263,"{'att': 148, 'def': 25}","{'att': 273, 'def': 22}",6,3,1,1,0.8652,d,2024-09-21 17:00:00,0,1,0,1,0.267085
h,2.06424,0.9614,2.06424,0.9614,"{'att': 207, 'def': 30}","{'att': 214, 'def': 23}",9,2,0,0,2.1790000000000003,d,2024-09-28 15:00:00,0,1,0,1,1.1028399999999998
a,1.43012,1.31135,1.43012,0.551251,"{'att': 177, 'def': 22}","{'att': 313, 'def': 23}",11,2,2,2,1.421,d,2024-10-06 15:00:00,0,1,0,1,0.878869
a,1.35593,0.782727,1.35593,0.782727,"{'att': 162, 'def': 16}","{'att': 346, 'def': 28}",11,4,2,0,1.8774000000000002,w,2024-10-19 17:00:00,1,0,0,3,0.5732030000000001
h,0.865293,1.47637,0.865293,0.716276,"{'att': 148, 'def': 36}","{'att': 231, 'def': 19}",6,3,0,2,0.8327,l,2024-10-26 19:00:00,0,0,1,0,0.14901699999999996
a,0.803421,2.76932,0.803421,2.76932,"{'att': 380, 'def': 33}","{'att': 141, 'def': 18}",4,14,0,1,0.25980000000000003,l,2024-11-02 16:00:00,0,0,1,0,-1.9658989999999998
h,3.74705,1.49891,2.98696,0.738813,"{'att': 195, 'def': 24}","{'att': 400, 'def': 19}",6,6,3,2,2.7279,w,2024-11-09 18:00:00,1,0,0,3,2.248147
h,2.1723,1.37895,2.1723,1.37895,"{'att': 310, 'def': 35}","{'att': 230, 'def': 19}",4,7,1,3,1.9581,l,2024-11-23 16:00:00,0,0,1,0,0.79335
a,1.40788,0.589301,1.40788,0.589301,"{'att': 256, 'def': 23}","{'att': 262, 'def': 27}",4,2,2,0,2.0988,w,2024-11-29 19:45:00,1,0,0,3,0.8185790000000001
h,1.10272,1.51819,1.10272,1.51819,"{'att': 271, 'def': 25}","{'att': 257, 'def': 20}",13,4,2,0,0.9115,w,2024-12-08 14:00:00,1,0,0,3,-0.41547
a,1.73768,0.51026,1.73768,0.51026,"{'att': 204, 'def': 24}","{'att': 346, 'def': 26}",12,3,2,2,2.3138,d,2024-12-14 18:00:00,0,1,0,1,1.22742
h,1.32887,2.19226,1.32887,1.43216,"{'att': 156, 'def': 33}","{'att': 252, 'def': 22}",14,7,0,1,0.7118,l,2025-01-05 14:00:00,0,0,1,0,-0.1032900000000001
a,3.10793,1.84216,3.10793,1.84216,"{'att': 121, 'def': 27}","{'att': 259, 'def': 17}",15,3,2,1,2.2245999999999997,w,2025-01-12 14:00:00,1,0,0,3,1.26577
h,1.34901,1.57299,1.34901,1.57299,"{'att': 416, 'def': 21}","{'att': 166, 'def': 25}",7,13,1,2,1.1802000000000001,l,2025-01-18 16:00:00,0,0,1,0,-0.22398000000000007
h,2.01118,0.0813578,2.01118,0.0813578,"{'att': 178, 'def': 40}","{'att': 288, 'def': 18}",10,0,1,0,2.7698,w,2025-01-26 16:15:00,1,0,0,3,1.9298222
a,3.21001,1.11121,3.21001,1.11121,"{'att': 259, 'def': 30}","{'att': 235, 'def': 16}",7,0,2,0,2.6504000000000003,w,2025-01-31 19:45:00,1,0,0,3,2.0987999999999998
a,1.02488,3.37347,1.02488,2.61337,"{'att': 357, 'def': 28}","{'att': 243, 'def': 30}",2,10,0,2,0.1891,l,2025-02-08 16:00:00,0,0,1,0,-1.5884900000000002
h,0.265561,1.97845,0.265561,1.97845,"{'att': 292, 'def': 19}","{'att': 345, 'def': 18}",7,6,0,2,0.2102,l,2025-02-16 16:15:00,0,0,1,0,-1.712889
a,2.06191,4.25273,1.30181,3.49264,"{'att': 170, 'def': 28}","{'att': 348, 'def': 30}",6,10,1,3,0.2504,l,2025-02-23 14:00:00,0,0,1,0,-2.19083
h,2.02687,1.73131,1.26677,0.971219,"{'att': 157, 'def': 25}","{'att': 296, 'def': 15}",8,1,3,4,1.5651,l,2025-03-01 18:00:00,0,0,1,0,0.2955509999999999
a,1.23993,1.18945,1.23993,1.18945,"{'att': 424, 'def': 35}","{'att': 146, 'def': 37}",2,13,1,0,1.4238000000000002,w,2025-03-08 20:05:00,1,0,0,3,0.05048000000000008
h,0.643819,0.653605,0.643819,0.653605,"{'att': 266, 'def': 29}","{'att': 227, 'def': 32}",6,7,1,0,1.3066,w,2025-03-15 20:05:00,1,0,0,3,-0.009785999999999961
a,0.596446,1.95492,0.596446,1.95492,"{'att': 243, 'def': 30}","{'att': 391, 'def': 29}",5,6,0,1,0.3996,l,2025-03-30 19:45:00,0,0,1,0,-1.358474
h,2.50421,1.69228,2.50421,0.911923,"{'att': 171, 'def': 28}","{'att': 293, 'def': 24}",13,5,1,0,1.9815,w,2025-04-06 13:00:00,1,0,0,3,1.592287
h,2.71917,1.44859,2.71917,1.44859,"{'att': 170, 'def': 26}","{'att': 258, 'def': 16}",17,2,0,2,2.2286,l,2025-04-11 18:45:00,0,0,1,0,1.27058
a,2.98551,1.05399,2.22541,1.05399,"{'att': 252, 'def': 11}","{'att': 310, 'def': 15}",8,7,3,1,2.5645999999999995,w,2025-04-20 15:15:00,1,0,0,3,1.1714200000000001
h,2.31455,2.38411,2.31455,2.38411,"{'att': 216, 'def': 29}","{'att': 393, 'def': 23}",9,4,0,4,1.3417,l,2025-04-27 15:15:00,0,0,1,0,-0.06956000000000007
a,0.952824,1.1801,0.952824,1.1801,"{'att': 260, 'def': 12}","{'att': 190, 'def': 23}",1,28,2,1,1.1989999999999998,w,2025-05-04 15:15:00,1,0,0,3,-0.22727599999999992
