name,time,event
bboost,2025-11-08T10:08:25.197502Z,11
wildcard,2025-11-21T22:51:52.485691Z,12
3xc,2025-11-29T11:29:01.384601Z,13
freehit,2025-12-30T10:58:37.930604Z,19
3xc,2026-02-10T17:14:10.901307Z,26
wildcard,2026-04-10T16:32:33.561111Z,32
bboost,2026-04-17T23:09:06.273555Z,33
freehit,2026-04-24T15:45:41.678649Z,34
