season_name,total_points,rank
2015/16,1936,1011026
2016/17,2055,376006
2017/18,2056,758342
2018/19,2456,1303
2019/20,2342,16769
2020/21,2519,4107
2021/22,2227,1032186
2023/24,2318,880776
2024/25,2421,440147
