event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,83,83,118578,129431,118578,5,0,1000,0,0,2
2,51,134,5148179,5212077,418160,50,0,1000,0,0,12
3,55,189,3093920,3122928,369770,30,4,1004,2,0,4
4,81,270,969970,999001,169194,10,4,1005,0,0,2
5,49,319,3063933,3136975,172539,30,1,1001,0,0,15
6,86,405,94266,96056,30098,1,1,1005,0,0,0
7,91,496,195942,197382,6606,5,1,1006,3,0,13
8,73,569,1466337,1496443,5965,15,1,1016,0,0,16
9,35,604,10292859,10311304,26212,85,0,1017,2,0,27
10,74,678,3366204,3402985,33181,30,4,1022,1,0,7
11,57,735,497837,508351,10344,5,7,1022,1,0,6
12,61,796,528933,541601,3094,5,7,1023,0,0,7
13,43,839,2939366,2968940,4151,25,14,1023,1,0,6
14,60,899,6292380,6349333,10150,55,14,1023,0,0,6
15,42,941,8984556,9000084,25708,75,10,1021,2,0,6
16,61,1002,6058019,6079575,64063,50,1,1025,5,0,10
17,78,1080,3518030,3558325,78307,30,1,1028,0,0,14
18,57,1137,1705885,1720612,48461,15,1,1030,2,0,21
19,43,1180,4769153,4863397,42688,40,1,1030,0,0,18
20,58,1238,1550557,1562297,31521,15,3,1028,2,0,4
21,63,1301,1551487,1597024,22472,15,3,1026,0,0,6
22,32,1333,10214112,10291897,36062,85,3,1030,0,0,15
23,32,1365,11266202,11269511,58738,90,0,1028,3,0,12
24,71,1436,1175406,1208357,42532,10,0,1028,0,0,1
25,82,1518,419778,424040,24894,5,3,1029,2,0,9
26,84,1602,412485,425067,11576,5,3,1031,0,0,5
27,37,1639,10219573,10308147,19736,80,3,1033,0,0,7
28,88,1727,229068,234772,10183,5,0,1033,2,0,2
29,68,1795,2912967,2925207,8239,25,23,1032,2,0,3
30,69,1864,169837,178417,4319,5,23,1037,0,0,16
31,63,1927,1060399,1074860,3705,10,24,1037,2,0,2
32,66,1993,950357,987779,2549,10,4,1021,0,0,11
33,148,2141,1516,1598,455,1,24,1025,1,0,0
34,71,2212,182941,202671,240,5,24,1027,0,0,11
35,46,2258,8564551,8581457,436,70,3,1029,1,0,22
36,84,2342,2314387,2334105,382,20,9,1034,1,0,10
37,15,2357,9858253,9875340,713,80,10,1034,1,0,18
