id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
546028,48,MissedShots,0.9419999694824219,0.445,0.0573405958712101,Joseph N&#039;Duquidi,h,12001,FromCorner,2023,Head,23458,Metz,Le Havre,0,0,2023-10-29 14:00:00,Lamine Camara,Aerial
546030,63,BlockedShot,0.73,0.48,0.019701218232512474,Joseph N&#039;Duquidi,h,12001,OpenPlay,2023,RightFoot,23458,Metz,Le Havre,0,0,2023-10-29 14:00:00,Lamine Camara,Pass
551895,55,MissedShots,0.9280000305175782,0.3290000152587891,0.05432208627462387,Joseph N&#039;Duquidi,a,12001,SetPiece,2023,RightFoot,23491,Lille,Metz,2,0,2023-12-03 16:05:00,,Rebound
564982,92,SavedShot,0.765,0.515,0.02884424477815628,Joseph N&#039;Duquidi,h,12001,OpenPlay,2023,LeftFoot,23570,Metz,Lyon,1,2,2024-02-23 20:00:00,Ibou Sané,Pass
