season_name,total_points,rank
2014/15,1576,2221511
2015/16,1615,2522260
2016/17,1853,1469684
2017/18,1625,4091162
2018/19,2072,1091624
2019/20,1840,3808683
2020/21,2273,485690
2021/22,2258,860846
2022/23,1946,5900898
2023/24,2335,748557
2024/25,2408,521709
