h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.197023,2.9098,0.197023,2.14971,"{'att': 518, 'def': 19}","{'att': 130, 'def': 19}",1,7,1,4,0.051899999999999995,l,2024-08-16 18:45:00,0,0,1,0,-1.9526869999999998
a,2.23362,1.48827,1.47353,1.48827,"{'att': 248, 'def': 26}","{'att': 164, 'def': 16}",5,4,2,0,1.9543,w,2024-08-24 19:00:00,1,0,0,3,-0.014739999999999975
h,2.83661,0.743523,2.07651,0.743523,"{'att': 294, 'def': 16}","{'att': 248, 'def': 19}",10,2,3,1,2.7083,w,2024-09-01 15:00:00,1,0,0,3,1.3329869999999997
a,0.15045,1.8674,0.15045,1.8674,"{'att': 333, 'def': 26}","{'att': 274, 'def': 23}",0,5,0,2,0.1902,l,2024-09-15 15:00:00,0,0,1,0,-1.71695
a,0.580512,1.84023,0.580512,1.84023,"{'att': 277, 'def': 18}","{'att': 160, 'def': 25}",5,6,1,3,0.3258,l,2024-09-22 13:00:00,0,0,1,0,-1.259718
h,0.488988,3.5706,0.488988,2.8105,"{'att': 384, 'def': 18}","{'att': 239, 'def': 24}",4,22,0,3,0.05,l,2024-09-28 17:00:00,0,0,1,0,-2.3215120000000002
a,2.11913,0.890433,2.11913,0.890433,"{'att': 261, 'def': 29}","{'att': 171, 'def': 27}",4,5,0,2,2.2795,l,2024-10-06 15:00:00,0,0,1,0,1.2286970000000002
h,0.360268,2.76676,0.360268,2.76676,"{'att': 295, 'def': 21}","{'att': 161, 'def': 17}",3,12,0,4,0.0867,l,2024-10-20 13:00:00,0,0,1,0,-2.406492
a,0.272294,1.84154,0.272294,1.84154,"{'att': 282, 'def': 13}","{'att': 219, 'def': 25}",2,11,0,1,0.2633,l,2024-10-25 18:45:00,0,0,1,0,-1.569246
h,1.7998,0.722691,1.03971,0.722691,"{'att': 269, 'def': 23}","{'att': 231, 'def': 15}",5,3,1,0,2.2914999999999996,w,2024-11-03 16:00:00,1,0,0,3,0.31701899999999994
h,1.51035,2.69952,1.51035,2.69952,"{'att': 232, 'def': 27}","{'att': 249, 'def': 20}",3,5,0,3,0.5384,l,2024-11-10 16:00:00,0,0,1,0,-1.18917
a,0.977121,0.846924,0.977121,0.846924,"{'att': 349, 'def': 7}","{'att': 154, 'def': 26}",1,8,2,0,1.4664,w,2024-11-24 16:00:00,1,0,0,3,0.130197
h,0.322626,2.10367,0.322626,2.10367,"{'att': 271, 'def': 26}","{'att': 305, 'def': 20}",4,2,0,1,0.2036,l,2024-12-01 16:00:00,0,0,1,0,-1.781044
a,1.42884,2.27599,1.42884,1.51589,"{'att': 238, 'def': 22}","{'att': 215, 'def': 23}",6,6,1,2,0.7536,l,2024-12-07 18:00:00,0,0,1,0,-0.08704999999999985
h,1.58328,1.39172,1.58328,1.39172,"{'att': 326, 'def': 28}","{'att': 391, 'def': 13}",3,6,0,3,1.5223999999999998,l,2024-12-15 16:00:00,0,0,1,0,0.19155999999999995
a,0.885341,3.17491,0.885341,3.17491,"{'att': 475, 'def': 8}","{'att': 287, 'def': 30}",1,12,1,5,0.12919999999999998,l,2025-01-05 19:45:00,0,0,1,0,-2.289569
h,1.84216,3.10793,1.84216,3.10793,"{'att': 259, 'def': 17}","{'att': 121, 'def': 27}",3,15,1,2,0.5779,l,2025-01-12 14:00:00,0,0,1,0,-1.26577
a,1.29453,1.49091,1.29453,1.49091,"{'att': 246, 'def': 15}","{'att': 237, 'def': 22}",1,5,1,1,1.1662,d,2025-01-19 16:15:00,0,1,0,1,-0.19638
h,0.696232,2.38282,0.696232,2.38282,"{'att': 296, 'def': 25}","{'att': 235, 'def': 31}",8,12,0,1,0.30369999999999997,l,2025-01-26 14:00:00,0,0,1,0,-1.6865880000000002
a,2.19254,1.77333,2.19254,1.77333,"{'att': 264, 'def': 20}","{'att': 230, 'def': 17}",5,7,1,1,1.7311999999999999,d,2025-02-02 16:15:00,0,1,0,1,0.4192100000000001
a,1.65349,1.76979,1.65349,1.76979,"{'att': 251, 'def': 13}","{'att': 159, 'def': 38}",5,8,2,1,1.2947,w,2025-02-08 16:00:00,1,0,0,3,-0.11630000000000007
h,0.555829,1.22276,0.555829,1.22276,"{'att': 293, 'def': 19}","{'att': 309, 'def': 33}",5,10,1,3,0.7251000000000001,l,2025-02-16 16:15:00,0,0,1,0,-0.666931
h,1.04249,2.60783,1.04249,1.84774,"{'att': 254, 'def': 23}","{'att': 266, 'def': 22}",2,11,1,4,0.38480000000000003,l,2025-02-23 16:15:00,0,0,1,0,-0.80525
a,1.73131,2.02687,0.971219,1.26677,"{'att': 296, 'def': 15}","{'att': 157, 'def': 25}",1,8,4,3,1.149,w,2025-03-01 18:00:00,1,0,0,3,-0.2955509999999999
h,2.15479,1.3916,1.25129,1.3916,"{'att': 198, 'def': 10}","{'att': 193, 'def': 26}",3,10,1,1,2.0243,d,2025-03-09 16:15:00,0,1,0,1,-0.14030999999999993
a,1.56105,3.58655,0.800956,2.82645,"{'att': 353, 'def': 18}","{'att': 173, 'def': 33}",2,15,2,4,0.2683,l,2025-03-16 14:00:00,0,0,1,0,-2.025494
h,4.01379,1.06585,2.4936,1.06585,"{'att': 246, 'def': 27}","{'att': 253, 'def': 21}",10,2,3,2,2.8997,w,2025-03-30 16:15:00,1,0,0,3,1.4277499999999999
a,1.72977,0.956146,1.72977,0.956146,"{'att': 277, 'def': 20}","{'att': 275, 'def': 29}",5,6,2,0,1.9986,w,2025-04-06 15:15:00,1,0,0,3,0.773624
h,0.718016,3.72188,0.718016,3.72188,"{'att': 242, 'def': 31}","{'att': 268, 'def': 14}",6,8,1,5,0.0494,l,2025-04-13 15:15:00,0,0,1,0,-3.003864
a,0.709291,3.19233,0.709291,3.19233,"{'att': 485, 'def': 27}","{'att': 186, 'def': 24}",4,18,1,2,0.1437,l,2025-04-19 15:00:00,0,0,1,0,-2.483039
h,0.807798,3.28954,0.807798,3.28954,"{'att': 234, 'def': 22}","{'att': 188, 'def': 29}",3,10,1,1,0.1109,d,2025-04-26 17:00:00,0,1,0,1,-2.481742
a,1.30285,0.32277,1.30285,0.32277,"{'att': 236, 'def': 22}","{'att': 265, 'def': 18}",1,3,2,1,2.2803,w,2025-05-04 15:15:00,1,0,0,3,0.9800800000000001
h,1.10297,2.16132,1.10297,2.16132,"{'att': 273, 'def': 15}","{'att': 235, 'def': 20}",4,4,1,3,0.6855,l,2025-05-10 19:00:00,0,0,1,0,-1.05835
a,2.49529,1.74414,0.975097,1.74414,"{'att': 304, 'def': 24}","{'att': 286, 'def': 26}",1,9,3,2,1.9606999999999997,w,2025-05-17 19:00:00,1,0,0,3,-0.769043
