Understat_ID,FPL_ID,Understat_Name,FPL_Name
-1,619,,Luis Guilherme Lira dos Santos
6885,815,Axel Disasi,Axel Disasi
8006,677,Evann Guessand,Evann Guessand
8288,-1,Tomas Soucek,
11243,193,Bashir Humphreys,Bashir Humphreys
-1,781,,TJ Carroll
12410,-1,Joshua King,
-1,602,,Krisztián Hegyi
-1,312,,Youssef Ramalho Chermiti
-1,358,,Tanaka Ao
-1,811,,Rio Kyerematen
9307,299,Iliman Ndiaye,Iliman Ndiaye
7240,-1,Benoit Badiashile Mukinayi,
8831,-1,Iyenoma Destiny Udogie,
1687,442,Harry Maguire,Harry Maguire
12412,47,Morgan Rogers,Morgan Rogers
1545,479,Emil Krafth,Emil Krafth
14056,733,Senne Lammens,Senne Lammens
11974,681,Benjamin Sesko,Benjamin Sesko
6221,41,Pau Torres,Pau Torres
8845,-1,Hee-Chan Hwang,
-1,411,,Nico O'Reilly
-1,1,,David Raya Martín
5584,610,Aaron Wan-Bissaka,Aaron Wan-Bissaka
-1,490,,Joelinton Cássio Apolinário de Lira
910,336,Harrison Reed,Harrison Reed
8401,814,Luca Netz,Luca Netz
-1,463,,Sékou Koné
-1,562,,Ahmed Abdullahi
13717,553,Chemsdine Talbi,Chemsdine Talbi
6852,632,Matt Doherty,Matt Doherty
-1,779,,Braiden Graham
8920,734,Dilane Bakwa,Dilane Bakwa
11281,110,Michael Kayode,Michael Kayode
13262,737,Jonah Kusi-Asare,Jonah Kusi-Asare
1024,40,Tyrone Mings,Tyrone Mings
9958,-1,Yerson Mosquera,
13206,-1,Matt O&#039;Riley,
13872,700,Max Dowman,Max Dowman
900,-1,Adama Traoré,
9492,615,Crysencio Summerville,Crysencio Summerville
-1,56,,Enzo Barrenechea
-1,453,,Alejandro Garnacho Ferreyra
-1,325,,Emile Smith Rowe
5553,21,Declan Rice,Declan Rice
9328,370,Jeremie Frimpong,Jeremie Frimpong
7254,-1,Viktor Gyokeres,
843,614,James Ward-Prowse,James Ward-Prowse
14217,130,Romelle Donovan,Romelle Donovan
1665,291,James Tarkowski,James Tarkowski
695,735,Bertrand Traoré,Bertrand Traoré
3697,-1,Odsonne Edouard,
-1,425,,Claudio Echeverri
-1,359,,Charlie Crew
8117,714,Nick Woltemade,Nick Woltemade
6080,719,Victor Lindelöf,Victor Lindelöf
11331,728,Merlin Röhl,Merlin Röhl
76,474,Fabian Schär,Fabian Schär
-1,555,,Alan Browne
14266,769,Bendito Mantato,Bendito Mantato
12409,273,Adam Wharton,Adam Wharton
-1,201,,Manuel Benson Hedilazio
10542,239,Jamie Bynoe-Gittens,Jamie Bynoe-Gittens
-1,642,,Hwang Hee-chan
-1,819,,Ollie Shield
1823,37,Lucas Digne,Lucas Digne
8942,116,Aaron Hickey,Aaron Hickey
11772,-1,Yehor Yarmolyuk,
12094,-1,Mike Trésor,
10564,444,Leny Yoro,Leny Yoro
-1,612,,Lucas Tolentino Coelho de Lima
-1,204,,Darko Churlinov
14134,-1,Jun&#039;ai Byfield,
8865,64,Ollie Watkins,Ollie Watkins
7432,-1,Reinildo,
-1,431,,Altay Bayındır
12168,-1,Alejandro Jiménez,
-1,154,,Eiran Cashin
-1,774,,Jenson Jones
11297,-1,Carlos Alcaraz,
2310,600,Alphonse Areola,Alphonse Areola
13080,447,Ayden Heaven,Ayden Heaven
6835,331,Tom Cairney,Tom Cairney
-1,301,,Carlos Alcaraz Durán
6456,516,Callum Hudson-Odoi,Callum Hudson-Odoi
-1,451,,Marcus Rashford
10746,200,Jaidon Anthony,Jaidon Anthony
7498,217,Lyle Foster,Lyle Foster
501,178,Danny Welbeck,Danny Welbeck
9332,599,Dane Scarlett,Dane Scarlett
13387,269,Romain Esse,Romain Esse
-1,577,,Takai Kōta
-1,169,,Diego Gómez Amarilla
-1,593,,Pape Matar Sarr
8859,121,Mikkel Damsgaard,Mikkel Damsgaard
7322,16,Bukayo Saka,Bukayo Saka
6048,146,Lewis Dunk,Lewis Dunk
652,478,Kieran Trippier,Kieran Trippier
-1,559,,Nectarios Triantis
1537,-1,Sasa Lukic,
-1,826,,Riley Owen
7166,126,Mathias Jensen,Mathias Jensen
13150,462,Jack Fletcher,Jack Fletcher
-1,634,,Yerson Mosquera Valdelamar
-1,203,,Enock Agyei
9802,-1,Nico González,
-1,302,,Idrissa Gana Gueye
14272,771,Tyler Fletcher,Tyler Fletcher
-1,332,,Saša Lukić
9740,-1,José Sá,
11709,371,Milos Kerkez,Milos Kerkez
6098,625,Niclas Füllkrug,Niclas Füllkrug
8720,352,Jack Harrison,Jack Harrison
-1,5,,Gabriel dos Santos Magalhães
8651,547,Enzo Le Fée,Enzo Le Fée
8379,386,Alexis Mac Allister,Alexis Mac Allister
2254,-1,Mateo Kovacic,
-1,392,,Endo Wataru
8537,535,Dennis Cirkin,Dennis Cirkin
8864,-1,Matthew Cash,
-1,307,,Coby Ebere
13467,446,Tyler Fredricson,Tyler Fredricson
1776,624,Jarrod Bowen,Jarrod Bowen
12916,310,Thierno Barry,Thierno Barry
-1,704,,Tyler Onyango
14356,797,Kaye Furo,Kaye Furo
13200,-1,Fernando López,
-1,757,,Ronnie Hollingshead
6377,348,Joe Rodon,Joe Rodon
11357,18,Noni Madueke,Noni Madueke
12272,10,Myles Lewis-Skelly,Myles Lewis-Skelly
780,341,Karl Darlow,Karl Darlow
-1,742,,Ryan McAidoo
8476,290,Jarrad Branthwaite,Jarrad Branthwaite
668,-1,Idrissa Gueye,
-1,333,,Martial Godo
-1,289,,Harry Tyrer
-1,67,,Đorđe Petrović
-1,177,,Andrew Moran
14099,-1,Luke O&#039;Nien,
-1,63,,Kadan Young
-1,176,,Adrian Mazilu
7078,493,Sean Longstaff,Sean Longstaff
-1,537,,Niall Huggins
9749,53,Donyell Malen,Donyell Malen
5552,469,Nick Pope,Nick Pope
-1,652,,Enso González Medina
-1,509,,David Mota Veiga Teixeira do Carmo
-1,221,,Filip Jörgensen
9156,120,Kevin Schade,Kevin Schade
-1,357,,Largie Ramazani
7902,436,Matthijs de Ligt,Matthijs de Ligt
10856,631,Emmanuel Agbadou,Emmanuel Agbadou
13064,724,Lutsharel Geertruida,Lutsharel Geertruida
-1,753,,John Ruddy
11704,190,Hjalmar Ekdal,Hjalmar Ekdal
-1,838,,Rhys Chadwick
14027,721,Veljko Milosavljevic,Veljko Milosavljevic
852,369,Freddie Woodman,Freddie Woodman
-1,140,,Tom McGill
-1,238,,Estêvão Almeida de Oliveira Gonçalves
-1,579,,Son Heung-min
-1,802,,Keiber Lamadrid
-1,339,,Illan Meslier
8044,466,Joshua Zirkzee,Joshua Zirkzee
14030,-1,Kevin,
7702,253,Dean Henderson,Dean Henderson
9788,387,Dominik Szoboszlai,Dominik Szoboszlai
-1,772,,Sam Alabi
-1,28,,Ismeal Kabia
-1,141,,Carl Rushworth
-1,676,,Lesley Ugochukwu
-1,759,,Marli Salmon
12535,233,Josh Acheampong,Josh Acheampong
-1,827,,Jim Thwaites
11728,318,Calvin Bassey,Calvin Bassey
-1,798,,Danny Imray
4419,817,Adam Armstrong,Adam Armstrong
-1,368,,Ármin Pécsi
-1,429,,Kalvin Phillips
-1,97,,Francisco Evanilson de Lima Barbosa
10126,426,James McAtee,James McAtee
-1,495,,Isaac Hayden
-1,492,,Antoñito Cordero Campillo
8129,7,Riccardo Calafiori,Riccardo Calafiori
13720,549,Dan Neil,Dan Neil
-1,294,,Séamus Coleman
7698,20,Leandro Trossard,Leandro Trossard
-1,123,,Fábio Freitas Gouveia Carvalho
6492,27,Reiss Nelson,Reiss Nelson
11966,698,Noah Okafor,Noah Okafor
13778,-1,Igor Jesus,
-1,150,,Tariq Lamptey
-1,832,,Talla Ndiaye
11000,407,Matheus Nunes,Matheus Nunes
-1,433,,Elyh Harrison
-1,264,,Rob Holding
-1,378,,Amara Nallo
13776,672,Jorrel Hato,Jorrel Hato
-1,249,,João Pedro Junqueira de Jesus
-1,275,,Naouirou Ahamada
9678,111,Ethan Pinnock,Ethan Pinnock
-1,401,,Marcus Bettinelli
8384,680,Armando Broja,Armando Broja
-1,690,,Rio Cardines
-1,50,,Emiliano Buendía Stati
6857,515,Morgan Gibbs-White,Morgan Gibbs-White
-1,340,,Alex Cairns
-1,34,,Joe Gauci
13066,-1,Ferdi Kadioglu,
10741,84,Marcus Tavernier,Marcus Tavernier
-1,710,,Travis Patterson
-1,229,,Benoît Badiashile Mukinayi
10205,133,Myles Peart-Harris,Myles Peart-Harris
9679,109,Rico Henry,Rico Henry
12963,-1,Evanilson,
9733,106,Nathan Collins,Nathan Collins
-1,245,,Mykhailo Mudryk
-1,234,,Aarón Anselmino
8635,475,Sven Botman,Sven Botman
12758,173,Mats Wieffer,Mats Wieffer
12474,620,George Earthy,George Earthy
11385,166,Yasin Ayari,Yasin Ayari
7908,648,Marshall Munetsi,Marshall Munetsi
-1,665,,Lucas Estella Perri
