season_name,total_points,rank
2006/07,1901,35060
2007/08,1976,212993
2008/09,2006,19900
2009/10,2298,19684
2010/11,1895,304618
2011/12,1938,312151
2012/13,1972,298195
2013/14,1938,1270690
2014/15,1535,2409741
2015/16,1741,2055196
2016/17,1679,2622655
2017/18,2058,743046
2018/19,2033,1498648
2019/20,2008,1805559
2020/21,2145,1320037
2021/22,2288,712755
2022/23,2434,445566
2023/24,2429,249277
2024/25,2528,70089
