element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,274,3,0,False,2026-02-28T15:00:00Z,3.0,4.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2358,54783,97,2455,116,DEF,Aaron Hickey,Brentford
674,279,9,0,True,2026-02-28T15:00:00Z,2.0,3.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-707,84647,514,1221,674,GKP,Aaron Ramsdale,Newcastle
211,274,5,0,True,2026-02-28T15:00:00Z,3.0,4.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-607,186128,0,607,211,MID,Aaron Ramsey,Burnley
610,277,12,0,False,2026-02-28T15:00:00Z,5.0,2.0,28,False,90,0,0,0,5,0,0,0,0,0,0,0,-11,10.0,4.6,2.0,1.7,3,1,0,3,1,0.0,0.02,0.02,1.84,41,1349,594405,10655,9306,610,DEF,Aaron Wan-Bissaka,West Ham
234,271,1,0,False,2026-03-01T16:30:00Z,2.0,1.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-17,6991,0,17,234,DEF,Aarón Anselmino,Chelsea
165,273,16,0,True,2026-03-01T14:00:00Z,2.0,1.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3,1433,0,3,165,MID,Abdallah Sima,Brighton
554,272,4,0,False,2026-02-28T12:30:00Z,1.0,1.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-287,44229,446,733,554,MID,Abdoullah Ba,Sunderland
406,276,11,0,False,2026-02-28T17:30:00Z,0.0,1.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-409,46715,1155,1564,406,DEF,Abdukodir Khusanov,Man City
326,277,12,1,False,2026-02-28T15:00:00Z,5.0,2.0,28,False,14,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.3,0.0,0.1,0,0,0,0,0,0.0,0.0,0.0,0.62,51,-163,20385,355,518,326,MID,Adama Traoré Diarra,West Ham
817,280,2,4,True,2026-02-27T20:00:00Z,2.0,0.0,28,False,90,0,1,1,0,0,0,0,1,0,0,0,19,16.0,10.8,2.0,2.9,0,5,1,6,1,0.0,0.01,0.01,0.82,54,-1505,8326,560,2065,817,FWD,Adam Armstrong,Wolves
