element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
682,264,8,1,False,2026-02-22T14:00:00Z,1.0,0.0,27,False,27,0,0,0,1,0,0,0,0,0,0,0,3,13.0,4.3,0.0,1.7,3,1,1,4,0,0.0,0.05,0.05,1.11,42,-63,8110,62,125,682,DEF,David Møller Wolfe,Wolves
280,264,20,0,True,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2,148,0,2,280,MID,David Ozoh,Crystal Palace
1,269,18,3,False,2026-02-22T16:30:00Z,1.0,4.0,27,False,90,0,0,0,1,0,0,0,0,0,4,0,18,28.2,3.0,0.0,3.1,2,14,0,0,1,0.0,0.0,0.0,0.76,60,-65410,4494186,35619,101029,1,GKP,David Raya Martín,Arsenal
773,264,20,0,True,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3,1413,50,47,773,DEF,Dean Benamar,Crystal Palace
253,264,20,16,True,2026-02-22T14:00:00Z,1.0,0.0,27,False,90,0,0,1,0,0,1,0,0,0,7,3,50,69.8,0.0,0.0,7.0,2,9,0,0,1,0.0,0.0,0.0,1.63,50,-5575,958324,13813,19388,253,GKP,Dean Henderson,Crystal Palace
21,269,18,4,False,2026-02-22T16:30:00Z,1.0,4.0,27,False,90,0,0,0,1,0,0,0,0,0,0,0,11,6.4,7.3,4.0,1.8,2,10,3,15,1,0.0,0.04,0.04,0.76,76,-202191,4423920,73449,275640,21,MID,Declan Rice,Arsenal
583,269,1,0,True,2026-02-22T16:30:00Z,1.0,4.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-9,1654,25,34,583,MID,Dejan Kulusevski,Spurs
535,268,10,0,True,2026-02-22T14:00:00Z,1.0,3.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-170,7097,191,361,535,DEF,Dennis Cirkin,Sunderland
435,265,9,0,False,2026-02-23T20:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-44,13054,71,115,435,GKP,Dermot Mee,Man Utd
574,269,1,0,True,2026-02-22T16:30:00Z,1.0,4.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1095,39351,17,1112,574,DEF,Destiny Udogie,Spurs
