element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,282,4,0,False,2026-03-03T19:30:00Z,0.0,0.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3151,51593,41,3192,116,DEF,Aaron Hickey,Brentford
674,288,14,3,True,2026-03-04T20:15:00Z,2.0,1.0,29,False,90,0,0,0,1,0,0,0,0,0,4,0,13,28.4,0.0,0.0,2.8,0,5,0,0,1,0.0,0.0,0.0,1.48,48,-838,83930,328,1166,674,GKP,Aaron Ramsdale,Newcastle
211,284,9,0,False,2026-03-03T19:30:00Z,2.0,0.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-586,185544,0,586,211,MID,Aaron Ramsey,Burnley
610,285,10,7,False,2026-03-04T19:30:00Z,0.0,1.0,29,False,90,0,0,1,0,0,0,0,1,0,0,0,26,19.6,12.3,0.0,3.2,11,6,1,12,1,0.0,0.13,0.13,0.89,41,-2048,592569,7824,9872,610,DEF,Aaron Wan-Bissaka,West Ham
234,281,2,0,False,2026-03-04T19:30:00Z,1.0,4.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-21,6971,0,21,234,DEF,Aarón Anselmino,Chelsea
165,283,1,0,True,2026-03-04T19:30:00Z,0.0,1.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2,1431,0,2,165,MID,Abdallah Sima,Brighton
554,286,11,0,False,2026-03-03T19:30:00Z,0.0,1.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-657,43567,324,981,554,MID,Abdoullah Ba,Sunderland
406,287,16,1,True,2026-03-04T19:30:00Z,2.0,2.0,29,False,13,0,0,0,0,0,0,0,0,0,0,0,2,1.2,1.4,0.0,0.3,0,1,0,0,0,0.0,0.01,0.01,0.15,54,-1004,45991,648,1652,406,DEF,Abdukodir Khusanov,Man City
326,285,10,1,False,2026-03-04T19:30:00Z,0.0,1.0,29,False,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.05,51,-259,20181,234,493,326,MID,Adama Traoré Diarra,West Ham
817,290,12,1,True,2026-03-03T20:15:00Z,2.0,1.0,29,False,59,0,0,0,0,0,0,0,0,0,0,0,5,6.2,0.6,2.0,0.9,3,1,1,5,1,0.0,0.0,0.0,1.17,54,-653,7723,1109,1762,817,FWD,Adam Armstrong,Wolves
667,284,3,0,True,2026-03-03T19:30:00Z,2.0,0.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-41,7203,49,90,667,DEF,Adam Aznou,Everton
