element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,45,10,0,False,2025-09-20T19:00:00Z,3.0,1.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-807,46468,1814,2621,116,DEF,Aaron Hickey,Brentford
674,42,4,0,False,2025-09-21T13:00:00Z,0.0,0.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-4556,82183,1661,6217,674,GKP,Aaron Ramsdale,Newcastle
211,44,16,0,True,2025-09-20T14:00:00Z,1.0,1.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-116781,502935,0,116781,211,MID,Aaron Ramsey,Burnley
610,49,8,0,True,2025-09-20T14:00:00Z,1.0,2.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-319969,1269810,4433,324402,610,DEF,Aaron Wan-Bissaka,West Ham
234,47,14,0,False,2025-09-20T16:30:00Z,2.0,1.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1266,9477,0,1266,234,DEF,Aarón Anselmino,Chelsea
165,43,18,0,True,2025-09-20T14:00:00Z,2.0,2.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-252,1954,0,252,165,MID,Abdallah Sima,Brighton
554,48,2,0,True,2025-09-21T13:00:00Z,1.0,1.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-227,26185,2176,2403,554,MID,Abdoullah Ba,Sunderland
406,41,1,1,False,2025-09-21T15:30:00Z,1.0,1.0,5,False,45,0,0,0,0,0,0,0,0,0,0,0,4,4.8,0.8,0.0,0.6,3,3,0,3,1,0.0,0.0,0.0,0.35,54,9130,51939,11774,2644,406,DEF,Abdukodir Khusanov,Man City
326,45,5,0,True,2025-09-20T19:00:00Z,3.0,1.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1983,22573,662,2645,326,MID,Adama Traoré Diarra,West Ham
667,46,12,0,False,2025-09-20T11:30:00Z,2.0,1.0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-514,7645,183,697,667,DEF,Adam Aznou,Everton
