element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,4,16,0,False,2025-08-17T13:00:00Z,3.0,1.0,1,False,2,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0.0,0.2,1,0,1,2,0,0.0,0.0,0.0,0.0,40,0,45444,0,0,116,DEF,Aaron Hickey,Brentford
674,2,2,0,False,2025-08-16T11:30:00Z,0.0,0.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,84769,0,0,674,GKP,Aaron Ramsdale,Newcastle
211,6,18,0,False,2025-08-16T14:00:00Z,3.0,0.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,977143,0,0,211,MID,Aaron Ramsey,Burnley
610,5,17,1,False,2025-08-16T14:00:00Z,3.0,0.0,1,False,90,0,0,0,3,0,0,0,0,0,0,0,9,17.8,24.7,8.0,5.1,2,6,1,3,1,0.0,0.07,0.07,0.68,45,0,2496105,0,0,610,DEF,Aaron Wan-Bissaka,West Ham
234,8,8,0,True,2025-08-17T13:00:00Z,0.0,0.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,10457,0,0,234,DEF,Aarón Anselmino,Chelsea
165,3,10,0,True,2025-08-16T14:00:00Z,1.0,1.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,2286,0,0,165,MID,Abdallah Sima,Brighton
554,5,19,0,True,2025-08-16T14:00:00Z,3.0,0.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,26616,0,0,554,MID,Abdoullah Ba,Sunderland
406,7,20,1,False,2025-08-16T16:30:00Z,0.0,4.0,1,False,8,0,0,0,0,0,0,0,0,0,0,0,7,3.6,0.0,0.0,0.4,0,0,1,1,0,0.0,0.0,0.0,0.08,55,0,33910,0,0,406,DEF,Abdukodir Khusanov,Man City
326,3,6,1,False,2025-08-16T14:00:00Z,1.0,1.0,1,False,24,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.8,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.43,55,0,31362,0,0,326,MID,Adama Traoré Diarra,West Ham
667,10,11,0,False,2025-08-18T19:00:00Z,1.0,0.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,11921,0,0,667,DEF,Adam Aznou,Everton
73,1,12,1,False,2025-08-15T19:00:00Z,4.0,2.0,1,False,89,0,0,0,3,0,0,0,0,0,0,0,2,12.2,10.5,4.0,2.7,8,2,1,9,1,0.0,0.08,0.08,2.1,45,0,16405,0,0,73,DEF,Adam Smith,Bournemouth
153,3,10,0,True,2025-08-16T14:00:00Z,1.0,1.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1517,0,0,153,DEF,Adam Webster,Brighton
273,8,7,3,False,2025-08-17T13:00:00Z,0.0,0.0,1,False,90,0,0,1,0,0,0,0,0,0,0,0,14,14.6,22.3,0.0,3.7,2,4,0,6,1,0.0,0.05,0.05,1.6,50,0,56704,0,0,273,MID,Adam Wharton,Crystal Palace
176,3,10,0,True,2025-08-16T14:00:00Z,1.0,1.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3738,0,0,176,MID,Adrian Mazilu,Brighton
74,1,12,0,False,2025-08-15T19:00:00Z,4.0,2.0,1,False,90,0,0,0,4,0,0,0,0,0,0,0,-1,18.2,19.1,0.0,3.7,4,4,2,6,1,0.0,0.13,0.13,2.21,45,0,65217,0,0,74,DEF,Adrien Truffert,Bournemouth
