element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,312,9,0,True,2026-04-11T14:00:00Z,2.0,2.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1468,45248,38,1506,116,DEF,Aaron Hickey,Brentford
674,315,8,1,False,2026-04-12T13:00:00Z,2.0,1.0,32,False,90,0,0,0,2,0,0,0,1,0,3,0,8,22.6,0.0,0.0,2.3,0,11,0,0,1,0.0,0.0,0.0,2.56,48,-1166,106250,3978,5144,674,GKP,Aaron Ramsdale,Newcastle
211,313,6,0,True,2026-04-11T14:00:00Z,0.0,2.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-540,183756,0,540,211,MID,Aaron Ramsey,Burnley
610,320,20,0,True,2026-04-10T19:00:00Z,4.0,0.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,2934,602963,9991,7057,610,DEF,Aaron Wan-Bissaka,West Ham
234,314,13,0,True,2026-04-12T15:30:00Z,0.0,3.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-22,6910,0,22,234,DEF,Aarón Anselmino,Chelsea
165,313,3,0,False,2026-04-11T14:00:00Z,0.0,2.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3,1423,0,3,165,MID,Abdallah Sima,Brighton
554,319,18,0,True,2026-04-12T13:00:00Z,1.0,0.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-633,41801,232,865,554,MID,Abdoullah Ba,Sunderland
406,314,7,6,False,2026-04-12T15:30:00Z,0.0,3.0,32,False,90,0,0,1,0,0,0,0,0,0,0,0,25,19.0,22.9,1.0,4.3,4,3,0,4,1,0.03,0.03,0.06,1.14,54,5738,53332,6513,775,406,DEF,Abdukodir Khusanov,Man City
326,320,20,1,True,2026-04-10T19:00:00Z,4.0,0.0,32,False,12,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.2,4.0,0.2,0,0,0,0,0,0.35,0.0,0.35,0.12,51,436,20398,728,292,326,MID,Adama Traoré Diarra,West Ham
817,320,19,2,False,2026-04-10T19:00:00Z,4.0,0.0,32,False,70,0,0,0,3,0,0,0,0,0,0,0,4,0.0,0.8,30.0,2.9,0,0,0,0,1,0.16,0.01,0.17,1.66,52,1085,7615,1935,850,817,FWD,Adam Armstrong,Wolves
667,312,5,0,False,2026-04-11T14:00:00Z,2.0,2.0,32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-4,7358,44,48,667,DEF,Adam Aznou,Everton
73,311,1,1,False,2026-04-11T11:30:00Z,1.0,2.0,32,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.13,44,161,24595,628,467,73,DEF,Adam Smith,Bournemouth
