element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,52,14,2,True,2025-09-27T11:30:00Z,3.0,1.0,6,False,74,0,0,0,1,0,0,0,0,0,0,0,9,3.0,1.8,0.0,0.5,1,5,0,1,1,0.0,0.03,0.03,1.02,40,-1322,45737,1828,3150,116,DEF,Aaron Hickey,Brentford
674,58,1,0,True,2025-09-28T15:30:00Z,1.0,2.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-4007,79518,1408,5415,674,GKP,Aaron Ramsdale,Newcastle
211,57,13,0,False,2025-09-27T14:00:00Z,5.0,1.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-95243,408351,0,95243,211,MID,Aaron Ramsey,Burnley
610,55,9,0,False,2025-09-29T19:00:00Z,1.0,1.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-299810,972280,1614,301424,610,DEF,Aaron Wan-Bissaka,West Ham
234,53,6,0,True,2025-09-27T14:00:00Z,1.0,3.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-709,8789,0,709,234,DEF,Aarón Anselmino,Chelsea
165,53,7,0,False,2025-09-27T14:00:00Z,1.0,3.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-157,1808,0,157,165,MID,Abdallah Sima,Brighton
554,59,16,0,False,2025-09-27T16:30:00Z,0.0,1.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-994,25286,1490,2484,554,MID,Abdoullah Ba,Sunderland
406,57,3,0,True,2025-09-27T14:00:00Z,5.0,1.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6035,46707,5541,11576,406,DEF,Abdukodir Khusanov,Man City
326,51,2,2,False,2025-09-28T13:00:00Z,3.0,1.0,6,False,79,0,0,0,3,0,0,0,0,0,0,0,8,7.6,33.3,4.0,4.5,0,3,0,3,0,0.0,0.41,0.41,1.11,53,-1658,21210,787,2445,326,MID,Adama Traoré Diarra,West Ham
667,55,19,0,True,2025-09-29T19:00:00Z,1.0,1.0,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-504,7319,157,661,667,DEF,Adam Aznou,Everton
