element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,213,7,1,False,2026-01-17T15:00:00Z,2.0,0.0,22,False,8,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,5.0,0.4,0,0,0,0,0,0.05,0.0,0.05,0.0,40,-1955,61938,1473,3428,116,DEF,Aaron Hickey,Brentford
674,220,20,0,False,2026-01-18T14:00:00Z,0.0,0.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-6039,95198,1813,7852,674,GKP,Aaron Ramsdale,Newcastle
211,215,12,0,False,2026-01-17T15:00:00Z,1.0,1.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2270,192529,0,2270,211,MID,Aaron Ramsey,Burnley
610,219,18,4,False,2026-01-17T15:00:00Z,1.0,2.0,22,False,90,0,0,0,1,0,0,0,0,0,0,0,13,34.4,37.5,0.0,7.2,10,1,3,13,1,0.0,0.11,0.11,1.44,41,-4706,498896,2785,7491,610,DEF,Aaron Wan-Bissaka,West Ham
234,213,5,0,True,2026-01-17T15:00:00Z,2.0,0.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-34,6925,0,34,234,DEF,Aarón Anselmino,Chelsea
165,212,4,0,True,2026-01-19T20:00:00Z,1.0,1.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2,1454,0,2,165,MID,Abdallah Sima,Brighton
554,218,8,0,True,2026-01-17T15:00:00Z,2.0,1.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1369,47641,475,1844,554,MID,Abdoullah Ba,Sunderland
406,216,14,3,False,2026-01-17T12:30:00Z,2.0,0.0,22,False,90,0,0,0,2,0,0,0,0,0,0,0,15,26.4,6.7,0.0,3.3,13,3,2,15,1,0.0,0.03,0.03,2.27,54,3378,40111,4758,1380,406,DEF,Abdukodir Khusanov,Man City
326,214,11,0,False,2026-01-17T15:00:00Z,1.0,0.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-167,17856,238,405,326,MID,Adama Traoré Diarra,West Ham
667,211,2,0,False,2026-01-18T16:30:00Z,0.0,1.0,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-17,6957,98,115,667,DEF,Adam Aznou,Everton
