element_in,element_in_cost,element_out,element_out_cost,entry,event,time
299,62,485,73,601350,37,2026-05-15T08:46:41.385027Z
411,52,373,60,601350,36,2026-05-08T16:05:26.787763Z
16,98,235,104,601350,36,2026-05-06T11:22:14.110824Z
287,56,1,57,601350,34,2026-04-24T13:41:32.198422Z
317,45,316,49,601350,34,2026-04-24T13:41:06.424613Z
316,49,343,43,601350,34,2026-04-24T11:15:11.393598Z
568,51,293,49,601350,34,2026-04-24T11:14:13.370902Z
596,72,64,86,601350,34,2026-04-24T11:13:56.130416Z
382,83,686,43,601350,34,2026-04-24T05:35:50.040659Z
624,77,249,74,601350,34,2026-04-20T05:14:53.566554Z
686,43,485,73,601350,34,2026-04-20T05:14:53.566289Z
293,49,72,50,601350,34,2026-04-19T18:49:16.481113Z
47,74,417,63,601350,34,2026-04-19T18:49:16.480948Z
515,74,235,104,601350,34,2026-04-19T18:49:16.480780Z
64,86,430,142,601350,34,2026-04-19T18:49:16.480562Z
381,140,783,55,601350,34,2026-04-19T18:49:16.480318Z
343,43,38,44,601350,33,2026-04-18T06:32:39.598457Z
783,55,267,63,601350,33,2026-04-17T07:43:08.414525Z
417,63,83,59,601350,33,2026-04-14T03:11:01.720104Z
38,44,379,37,601350,31,2026-03-20T11:36:44.822965Z
485,73,82,79,601350,31,2026-03-20T11:35:34.123232Z
83,59,21,74,601350,28,2026-02-26T08:50:10.539823Z
373,59,224,60,601350,27,2026-02-20T11:05:37.860702Z
267,63,329,59,601350,26,2026-02-10T17:13:26.196210Z
379,37,442,43,601350,26,2026-02-10T17:13:26.188365Z
72,48,447,38,601350,24,2026-01-30T15:29:15.408918Z
249,72,136,71,601350,24,2026-01-28T22:04:42.227147Z
442,43,291,56,601350,24,2026-01-28T22:04:42.222170Z
5,67,6,59,601350,22,2026-01-15T10:10:19.613493Z
82,76,417,68,601350,22,2026-01-14T09:43:34.115912Z
224,60,226,54,601350,22,2026-01-08T16:13:33.699743Z
100,46,691,59,601350,22,2026-01-08T16:13:33.699429Z
6,59,473,52,601350,22,2026-01-07T21:36:03.106778Z
329,58,47,75,601350,22,2026-01-07T21:36:03.106538Z
235,104,485,74,601350,22,2026-01-07T21:36:03.106336Z
417,68,414,84,601350,22,2026-01-07T21:36:03.106113Z
691,59,624,76,601350,22,2026-01-07T21:36:03.105916Z
21,72,517,53,601350,22,2026-01-07T21:36:03.105717Z
136,70,661,90,601350,22,2026-01-07T21:36:03.105506Z
449,91,450,80,601350,22,2026-01-07T21:36:03.105208Z
47,75,387,66,601350,20,2026-01-03T09:10:02.642858Z
291,55,407,53,601350,19,2025-12-30T17:20:47.516376Z
517,53,21,68,601350,19,2025-12-30T17:20:47.516011Z
447,38,295,48,601350,19,2025-12-29T20:51:50.742199Z
387,66,390,57,601350,19,2025-12-29T20:51:50.741589Z
390,57,386,62,601350,19,2025-12-29T17:37:08.484349Z
295,48,38,44,601350,19,2025-12-29T17:37:08.483984Z
473,52,373,59,601350,19,2025-12-27T19:31:47.985711Z
485,74,16,100,601350,19,2025-12-27T19:31:47.985389Z
624,76,691,58,601350,19,2025-12-27T19:31:47.985124Z
661,90,714,74,601350,19,2025-12-27T19:31:47.984801Z
694,42,348,40,601350,18,2025-12-25T15:46:56.438716Z
691,58,252,43,601350,18,2025-12-25T13:31:36.687780Z
386,62,82,76,601350,18,2025-12-24T09:48:57.130873Z
82,75,387,66,601350,17,2025-12-18T21:17:23.199531Z
450,79,119,81,601350,17,2025-12-18T21:16:57.029032Z
226,53,256,58,601350,16,2025-12-12T09:20:50.727108Z
387,66,237,66,601350,16,2025-12-10T21:32:42.191517Z
714,74,283,78,601350,15,2025-12-05T23:15:33.178205Z
407,53,225,55,601350,13,2025-11-28T21:50:47.062498Z
414,80,450,79,601350,13,2025-11-27T13:51:48.881533Z
450,79,82,79,601350,12,2025-11-21T20:44:15.521576Z
237,67,582,65,601350,11,2025-11-07T20:15:42.696227Z
256,57,575,46,601350,10,2025-10-31T20:13:01.137804Z
82,78,450,80,601350,8,2025-10-04T19:59:55.114697Z
450,80,384,75,601350,7,2025-10-03T12:20:27.734391Z
16,98,235,104,601350,6,2025-09-25T12:58:57.776802Z
235,104,299,65,601350,5,2025-09-20T06:43:04.653754Z
373,60,507,50,601350,4,2025-09-11T21:24:12.025410Z
119,80,235,105,601350,3,2025-08-29T18:52:18.786846Z
21,65,16,100,601350,3,2025-08-23T20:21:37.949464Z
