h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.58056,3.03248,0.58056,3.03248,"{'att': 257, 'def': 29}","{'att': 325, 'def': 15}",10,8,1,2,0.1432,l,2024-08-18 13:00:00,0,0,1,0,-2.4519200000000003
h,1.23725,0.946618,1.23725,0.946618,"{'att': 189, 'def': 26}","{'att': 289, 'def': 41}",8,6,1,1,1.6157,d,2024-08-25 15:00:00,0,1,0,1,0.290632
a,2.53408,1.33204,2.53408,0.571945,"{'att': 249, 'def': 23}","{'att': 238, 'def': 30}",8,10,4,1,2.3026,w,2024-09-01 15:00:00,1,0,0,3,1.962135
a,1.72041,1.02694,1.72041,1.02694,"{'att': 280, 'def': 20}","{'att': 236, 'def': 24}",5,4,0,2,1.9348,l,2024-09-14 15:00:00,0,0,1,0,0.69347
h,4.50007,0.335532,3.73998,0.335532,"{'att': 268, 'def': 16}","{'att': 517, 'def': 31}",3,6,8,0,2.9964,w,2024-09-20 18:45:00,1,0,0,3,3.404448
a,0.9614,2.06424,0.9614,2.06424,"{'att': 214, 'def': 23}","{'att': 207, 'def': 30}",2,9,0,0,0.6234999999999999,d,2024-09-28 15:00:00,0,1,0,1,-1.1028399999999998
h,0.326466,0.822322,0.326466,0.822322,"{'att': 337, 'def': 12}","{'att': 165, 'def': 26}",4,13,1,1,0.8176,d,2024-10-06 18:45:00,0,1,0,1,-0.495856
a,0.776883,0.832336,0.776883,0.832336,"{'att': 242, 'def': 25}","{'att': 309, 'def': 23}",9,6,1,1,1.2409,d,2024-10-20 15:00:00,0,1,0,1,-0.055452999999999975
h,1.79435,0.796703,1.79435,0.796703,"{'att': 249, 'def': 34}","{'att': 149, 'def': 23}",13,6,2,1,2.1208,w,2024-10-27 16:00:00,1,0,0,3,0.9976469999999998
a,1.92085,1.02021,1.92085,1.02021,"{'att': 321, 'def': 15}","{'att': 199, 'def': 33}",6,9,1,0,2.1327,w,2024-11-02 18:00:00,1,0,0,3,0.9006399999999999
h,1.92983,2.19562,1.92983,2.19562,"{'att': 303, 'def': 19}","{'att': 236, 'def': 29}",11,5,2,2,1.1838,d,2024-11-10 14:00:00,0,1,0,1,-0.26578999999999997
h,2.03827,0.524154,2.03827,0.524154,"{'att': 276, 'def': 37}","{'att': 347, 'def': 22}",8,2,2,1,2.4705,w,2024-11-24 19:45:00,1,0,0,3,1.5141159999999998
a,2.03621,2.88467,2.03621,2.12457,"{'att': 256, 'def': 20}","{'att': 201, 'def': 29}",9,5,1,4,0.7918000000000001,l,2024-12-01 16:00:00,0,0,1,0,-0.08835999999999977
h,2.27599,1.42884,1.51589,1.42884,"{'att': 215, 'def': 23}","{'att': 238, 'def': 22}",6,6,2,1,2.0139,w,2024-12-07 18:00:00,1,0,0,3,0.08704999999999985
a,1.55192,2.45121,1.55192,2.45121,"{'att': 238, 'def': 23}","{'att': 218, 'def': 21}",4,8,2,2,0.7804,d,2024-12-15 14:00:00,0,1,0,1,-0.8992900000000001
h,1.51944,1.50451,1.51944,1.50451,"{'att': 270, 'def': 23}","{'att': 245, 'def': 31}",4,10,3,2,1.3542999999999998,w,2025-01-03 20:00:00,1,0,0,3,0.014929999999999888
a,3.22004,0.950928,2.45995,0.950928,"{'att': 330, 'def': 16}","{'att': 283, 'def': 23}",7,1,4,2,2.7203000000000004,w,2025-01-11 18:00:00,1,0,0,3,1.509022
a,2.90437,1.29219,2.90437,1.29219,"{'att': 283, 'def': 23}","{'att': 242, 'def': 30}",5,7,1,2,2.5145,l,2025-01-17 20:05:00,0,0,1,0,1.6121800000000002
h,2.10992,1.11157,2.10992,1.11157,"{'att': 371, 'def': 28}","{'att': 166, 'def': 30}",6,7,2,0,2.0909999999999997,w,2025-01-26 19:45:00,1,0,0,3,0.9983499999999998
a,1.51342,0.854551,0.753321,0.854551,"{'att': 269, 'def': 26}","{'att': 292, 'def': 28}",5,6,1,1,1.9798,d,2025-02-02 14:00:00,0,1,0,1,-0.10122999999999993
h,3.37347,1.02488,2.61337,1.02488,"{'att': 243, 'def': 30}","{'att': 357, 'def': 28}",10,2,2,0,2.719,w,2025-02-08 16:00:00,1,0,0,3,1.5884900000000002
a,1.22276,0.555829,1.22276,0.555829,"{'att': 309, 'def': 33}","{'att': 293, 'def': 19}",10,5,3,1,1.9881000000000002,w,2025-02-16 16:15:00,1,0,0,3,0.666931
h,2.14122,0.916772,2.14122,0.916772,"{'att': 204, 'def': 24}","{'att': 294, 'def': 28}",15,3,2,0,2.2702,w,2025-02-23 16:15:00,1,0,0,3,1.2244480000000002
a,2.41374,1.01895,2.41374,1.01895,"{'att': 338, 'def': 17}","{'att': 249, 'def': 29}",6,9,3,1,2.4417999999999997,w,2025-03-01 16:00:00,1,0,0,3,1.3947900000000002
h,1.50591,0.78019,1.50591,0.78019,"{'att': 462, 'def': 23}","{'att': 214, 'def': 22}",6,2,0,2,1.9760999999999997,l,2025-03-09 19:45:00,0,0,1,0,0.72572
h,2.29143,0.606081,2.29143,0.606081,"{'att': 251, 'def': 32}","{'att': 256, 'def': 31}",19,2,1,1,2.4916,d,2025-03-14 19:45:00,0,1,0,1,1.685349
a,0.60151,2.52612,0.60151,1.76603,"{'att': 261, 'def': 19}","{'att': 199, 'def': 34}",2,17,1,2,0.2333,l,2025-03-29 20:05:00,0,0,1,0,-1.16452
h,2.17922,0.945149,2.17922,0.945149,"{'att': 110, 'def': 24}","{'att': 306, 'def': 18}",10,1,1,2,2.2557000000000005,l,2025-04-04 18:45:00,0,0,1,0,1.234071
a,1.83829,0.789035,1.83829,0.789035,"{'att': 307, 'def': 18}","{'att': 279, 'def': 14}",14,5,2,2,2.1652,d,2025-04-12 19:05:00,0,1,0,1,1.049255
h,2.72567,0.278639,2.72567,0.278639,"{'att': 295, 'def': 21}","{'att': 296, 'def': 13}",17,0,2,1,2.8968999999999996,w,2025-04-20 15:15:00,1,0,0,3,2.447031
a,1.63001,4.50698,1.63001,4.50698,"{'att': 328, 'def': 15}","{'att': 148, 'def': 25}",5,19,3,1,0.2031,w,2025-04-25 18:45:00,1,0,0,3,-2.8769700000000005
h,1.2118,0.876237,1.2118,0.876237,"{'att': 232, 'def': 33}","{'att': 284, 'def': 30}",5,5,1,0,1.661,w,2025-05-02 18:45:00,1,0,0,3,0.33556299999999994
a,1.23457,2.06744,1.23457,2.06744,"{'att': 260, 'def': 25}","{'att': 236, 'def': 16}",5,12,0,2,0.7289999999999999,l,2025-05-10 19:00:00,0,0,1,0,-0.83287
h,5.0223,0.68904,4.2622,0.68904,"{'att': 369, 'def': 27}","{'att': 224, 'def': 27}",9,1,6,0,2.9821,w,2025-05-17 19:00:00,1,0,0,3,3.57316
