event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,73,73,631488,714490,631488,10,0,1000,0,0,3
2,39,112,8833479,8888760,3126374,85,5,1001,1,0,7
3,60,168,1744002,1780630,2090471,20,5,1007,2,4,10
4,81,245,1079428,1096397,1217212,10,10,1010,2,4,11
5,68,313,115180,120133,296804,1,19,1016,1,0,0
6,94,407,16092,17063,26975,1,31,1019,1,0,3
7,68,475,4108983,4162029,45682,35,8,1022,1,0,10
8,93,568,81778,85628,6985,1,4,1024,0,0,12
9,52,620,4031352,4073633,7389,35,7,1031,1,0,8
10,73,693,3531001,3634817,11420,30,7,1040,0,0,16
11,44,737,3549318,3586536,9153,30,19,1042,2,0,8
12,51,788,1983767,2022250,6327,20,2,1047,1,0,5
13,70,858,107994,116122,935,1,2,1048,0,0,12
14,60,914,6536051,6560741,3688,55,11,1044,2,4,8
15,55,969,3890968,3945825,4232,35,5,1045,1,0,4
16,91,1060,311473,325732,1804,5,2,1054,5,0,7
17,83,1143,2417468,2451247,1864,20,7,1060,1,0,8
18,37,1180,9492296,9533788,4084,80,5,1066,1,0,18
19,46,1226,3777196,3823122,2958,30,5,1065,1,0,3
20,70,1296,244771,262411,992,5,5,1064,0,0,19
21,49,1345,6072573,6232505,1757,50,5,1066,0,0,11
22,55,1400,1178975,1187408,766,10,22,1063,2,0,6
23,38,1438,8775259,8960072,983,70,22,1067,0,0,17
24,73,1511,963399,983261,627,10,17,1067,2,0,3
25,76,1587,1070984,1100095,487,10,4,1070,1,0,8
26,66,1653,3753196,3883071,661,30,4,1073,0,0,3
27,33,1686,11800607,11804660,1640,95,1,1070,3,0,13
28,83,1769,515339,529782,1028,5,3,1074,1,0,4
29,52,1821,7191565,7216976,2066,60,5,1076,1,0,14
30,46,1867,4887286,5063423,3787,40,5,1081,0,0,18
31,60,1927,1542404,1562413,3764,15,69,1078,1,0,2
32,58,1985,2553534,2733255,3969,20,42,1065,0,0,12
33,129,2114,101294,107876,2004,1,42,1066,0,0,0
34,63,2177,657018,700508,1686,10,42,1066,0,0,9
35,60,2237,2778662,2927140,1346,25,42,1069,0,0,6
36,89,2326,1438972,1450773,953,15,50,1070,3,0,13
37,32,2358,3699699,3717207,687,30,41,1073,2,0,13
