event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,53,53,4864965,4878676,4864958,55,0,1000,0,0,5
2,42,95,7951736,7957112,6501807,75,4,1001,0,0,19
3,65,160,780033,781607,3142653,10,4,1007,0,0,14
4,78,238,1475616,1479996,1732326,15,4,1009,0,0,21
5,81,319,3455,3486,170196,1,4,1015,0,0,0
6,87,406,90440,90636,27609,1,43,1020,3,0,10
7,76,482,1979048,1982380,23640,20,23,1024,1,0,8
8,83,565,403844,405319,8547,5,23,1033,0,0,14
9,64,629,1189140,1189943,3019,10,23,1032,2,0,5
10,79,708,1928138,1931518,3210,20,23,1034,1,0,7
11,46,754,2707375,2711546,2062,25,11,1039,1,0,6
12,49,803,2457927,2461671,1696,20,15,1038,1,0,6
13,41,844,3381799,3386128,2741,30,15,1038,0,0,6
14,68,912,3974980,3978024,4059,35,2,1033,2,0,3
15,56,968,3566299,3570823,4319,30,20,1035,1,0,10
16,82,1050,1008331,1010737,3627,10,0,1038,5,0,10
17,78,1128,3518030,3521428,5068,30,0,1044,0,0,10
18,41,1169,7828748,7832512,7977,65,24,1045,2,0,11
19,40,1209,6561034,6566154,8538,55,18,1042,1,0,13
20,44,1245,5564357,5564860,22515,45,29,1042,3,8,4
21,54,1299,4457417,4461230,25581,40,49,1041,1,0,8
22,56,1355,902140,903817,11955,10,33,1035,0,0,9
23,37,1392,9508475,9512269,15570,75,7,1042,1,0,9
24,84,1476,114367,114776,5458,1,40,1049,1,0,0
25,72,1548,1776432,1781314,5209,15,40,1054,0,0,15
26,67,1615,3444090,3448775,5834,30,40,1058,0,0,8
27,45,1660,6675713,6676456,7019,55,4,1055,3,0,11
28,83,1743,482005,483158,4470,5,4,1059,0,0,2
29,56,1799,6022774,6025240,6702,50,0,1058,1,0,23
30,63,1862,547027,550813,4855,5,0,1064,0,0,12
31,59,1921,1727710,1730101,5051,15,10,1066,1,0,2
32,62,1983,1820423,1820800,4418,15,13,1064,3,0,13
33,108,2091,597569,600345,5901,5,13,1062,0,0,17
34,63,2154,657018,660563,5046,10,13,1063,0,0,12
35,58,2212,3742277,3743661,4598,30,20,1064,2,0,19
36,78,2290,3733553,3735742,5583,30,34,1065,1,0,1
37,72,2362,34344,34386,540,1,37,1065,1,0,2
