id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,featured_entry_ids,entry_rank,entry_last_rank
14,Man Utd,team-14,2025-07-20T23:14:28.555028Z,False,,,s,c,,1,False,False,False,True,2849441.0,True,1909128,1,"[{'phase': 1, 'rank': 106, 'last_rank': 91, 'rank_sort': 106, 'total': 2365, 'league_id': 14, 'rank_count': 1909128, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 171120, 'last_rank': 67940, 'rank_sort': 172121, 'total': 181, 'league_id': 14, 'rank_count': 1909128, 'entry_percentile_rank': 10}]",[],106,91
261,England,region-241,2025-07-20T23:14:32.999318Z,False,,,s,c,,1,False,False,False,True,2837110.0,True,3435923,1,"[{'phase': 1, 'rank': 172, 'last_rank': 142, 'rank_sort': 172, 'total': 2365, 'league_id': 261, 'rank_count': 3435923, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 317483, 'last_rank': 144686, 'rank_sort': 319670, 'total': 181, 'league_id': 261, 'rank_count': 3435924, 'entry_percentile_rank': 10}]",[],172,142
276,Gameweek 1,event-1,2025-07-20T23:14:33.264422Z,False,,,s,c,,1,False,False,False,False,,,9447133,1,"[{'phase': 1, 'rank': 470, 'last_rank': 388, 'rank_sort': 471, 'total': 2365, 'league_id': 276, 'rank_count': 9447133, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 905793, 'last_rank': 422082, 'rank_sort': 911830, 'total': 181, 'league_id': 276, 'rank_count': 9424753, 'entry_percentile_rank': 10}]",[],470,388
314,Overall,overall,2025-07-20T23:14:33.933835Z,False,,,s,c,,1,False,False,False,True,2815434.0,True,12983980,1,"[{'phase': 1, 'rank': 470, 'last_rank': 388, 'rank_sort': 471, 'total': 2365, 'league_id': 314, 'rank_count': 12983980, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 1013480, 'last_rank': 490956, 'rank_sort': 1019517, 'total': 181, 'league_id': 314, 'rank_count': 12983975, 'entry_percentile_rank': 10}]",[],470,388
321,Sky Sports League,brd-skysports,2025-07-20T23:14:34.060791Z,False,,,s,c,,1,False,False,False,True,2837111.0,True,3896318,1,"[{'phase': 1, 'rank': 191, 'last_rank': 161, 'rank_sort': 191, 'total': 2365, 'league_id': 321, 'rank_count': 3896318, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 358944, 'last_rank': 163425, 'rank_sort': 361420, 'total': 181, 'league_id': 321, 'rank_count': 3896319, 'entry_percentile_rank': 10}]",[],191,161
332,TNT Sports League,man-brd-tntsports,2025-07-20T23:14:34.259083Z,False,,,s,c,,1,False,False,False,True,2858408.0,True,694190,1,"[{'phase': 1, 'rank': 95, 'last_rank': 86, 'rank_sort': 95, 'total': 2365, 'league_id': 332, 'rank_count': 694190, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 91068, 'last_rank': 40335, 'rank_sort': 91775, 'total': 181, 'league_id': 332, 'rank_count': 694200, 'entry_percentile_rank': 15}]",[],95,86
333,Second Chance,sc,2025-07-20T23:14:34.276586Z,False,,,s,c,,21,False,False,False,False,,,12983978,1,"[{'phase': 1, 'rank': 68140, 'last_rank': 51894, 'rank_sort': 68639, 'total': 1074, 'league_id': 333, 'rank_count': 12983978, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 1013480, 'last_rank': 490956, 'rank_sort': 1019517, 'total': 181, 'league_id': 333, 'rank_count': 12983975, 'entry_percentile_rank': 10}]",[],68140,51894
603460,CF Connecters FC,,2025-07-30T19:56:20.436022Z,False,,,x,c,2210697.0,1,False,False,False,True,3183861.0,True,11,10,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2365, 'league_id': 603460, 'rank_count': 11, 'entry_percentile_rank': 10}, {'phase': 11, 'rank': 2, 'last_rank': 1, 'rank_sort': 2, 'total': 181, 'league_id': 603460, 'rank_count': 11, 'entry_percentile_rank': 20}]",[],1,1
650934,Kings of GW38,,2025-08-01T05:37:12.364734Z,False,,,x,c,544917.0,1,False,False,False,True,2968128.0,True,37,5,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2365, 'league_id': 650934, 'rank_count': 37, 'entry_percentile_rank': 5}, {'phase': 11, 'rank': 2, 'last_rank': 2, 'rank_sort': 2, 'total': 181, 'league_id': 650934, 'rank_count': 37, 'entry_percentile_rank': 10}]",[],1,1
1109928,Goal by the Sea,,2025-08-10T06:02:39.105501Z,False,,,x,c,544917.0,1,False,False,False,True,3365112.0,True,10,10,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2365, 'league_id': 1109928, 'rank_count': 10, 'entry_percentile_rank': 10}, {'phase': 11, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 181, 'league_id': 1109928, 'rank_count': 10, 'entry_percentile_rank': 10}]",[],1,1
