event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1392305,1440060,1392305,15,0,1000,0,0,10
2,48,115,6318163,6348532,2563260,60,15,999,1,0,10
3,46,161,6302765,6327686,3046843,60,65,999,1,0,20
4,88,249,304500,311725,901815,5,0,1001,0,0,16
5,51,300,2385748,2424416,697613,25,0,1005,0,0,17
6,71,371,962897,975639,394632,10,0,1010,0,0,5
7,86,457,500986,502884,162779,5,33,1012,3,0,3
8,85,542,299117,304700,56047,5,33,1020,0,0,9
9,40,582,8044269,8090578,115527,70,33,1024,0,0,6
10,60,642,8320040,8330932,270653,70,3,1029,2,0,16
11,78,720,4830,4931,30860,1,3,1030,0,0,0
12,62,782,513138,516265,9529,5,0,1028,2,0,9
13,56,838,619732,631000,4402,5,0,1028,0,0,15
14,73,911,2438787,2458235,4310,20,2,1029,1,0,13
15,63,974,1827822,1836995,2853,15,6,1030,2,0,12
16,71,1045,2988058,2997502,5085,25,4,1030,4,0,5
17,94,1139,756133,763549,2402,10,0,1032,1,0,3
18,47,1186,4728297,4771667,2540,40,0,1031,0,0,0
19,51,1237,2120521,2127796,1323,20,5,1032,2,0,13
20,48,1285,4091795,4109333,2069,35,1,1032,1,0,5
21,60,1345,2453466,2472674,1711,20,10,1033,1,0,12
22,38,1383,7180501,7237316,2290,60,10,1034,0,0,20
23,40,1423,7859411,7919308,2468,65,10,1035,0,0,14
24,68,1491,2010335,2012585,2232,20,1,1032,4,0,0
25,67,1558,3521813,3545650,2940,30,25,1035,1,0,15
26,75,1633,1600438,1612853,2151,15,11,1037,1,0,3
27,48,1681,4731004,4787877,2113,40,11,1037,0,0,5
28,75,1756,1481953,1492640,2151,15,11,1039,2,0,3
29,94,1850,113825,114919,376,1,17,1039,1,0,13
30,52,1902,2688946,2730139,529,25,17,1044,0,0,2
31,61,1963,1387566,1398827,507,15,34,1041,2,0,0
32,60,2023,2060526,2095594,506,20,17,1037,0,0,21
33,110,2133,540154,542033,721,5,17,1040,1,0,0
34,60,2193,937427,962502,719,10,17,1040,0,0,12
35,65,2258,1495190,1524850,427,15,17,1045,0,0,2
36,85,2343,2142858,2155160,369,20,2,1045,2,0,23
37,39,2382,2022822,2033536,179,20,11,1048,1,0,11
