event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,62,62,2372236,2556571,2372235,30,0,1000,0,0,7
2,74,136,482631,501812,328796,5,0,1001,0,0,8
3,49,185,4967498,5061781,520172,45,0,1005,0,0,15
4,94,279,107332,109349,70041,1,6,1009,2,0,15
5,45,324,4672249,4819248,112095,40,6,1014,0,0,11
6,88,412,60367,62523,15323,1,6,1014,0,0,1
7,77,489,1849225,1859588,12979,20,44,1018,3,0,5
8,69,558,2412978,2458289,16128,20,9,1023,1,0,21
9,98,656,1672,1725,190,1,33,1022,2,0,0
10,81,737,1481259,1518530,215,15,29,1028,1,0,6
11,36,773,7079556,7252067,347,60,29,1036,0,0,9
12,53,826,1622123,1642021,219,15,17,1030,2,0,17
13,64,890,225276,239110,47,5,17,1033,0,0,8
14,74,964,2190069,2231231,39,20,1,1035,1,0,9
15,70,1034,805565,818591,15,10,10,1035,1,0,8
16,76,1110,1927244,1965140,31,20,25,1038,5,0,4
17,76,1186,4061221,4136659,61,35,6,1039,0,0,10
18,37,1223,9492296,9531188,163,80,17,1041,1,0,12
19,34,1257,9494510,9549366,301,80,9,1041,1,0,5
20,41,1298,6601797,6638376,859,55,3,1043,1,0,9
21,52,1350,4956068,5095935,1200,40,3,1041,0,0,15
22,37,1387,7720686,7893777,1754,65,3,1040,0,0,9
23,52,1439,3040067,3073140,882,25,31,1035,1,0,25
24,60,1499,4585811,4603114,1348,40,6,1034,3,0,4
25,70,1569,2502396,2550858,1480,20,22,1039,1,0,10
26,81,1650,717449,733023,809,10,5,1038,1,0,7
27,40,1690,8825561,9017593,1248,70,5,1037,0,0,10
28,73,1763,1687488,1742434,1409,15,5,1039,0,0,0
29,61,1824,4618437,4645990,1698,40,11,1035,1,0,5
30,59,1883,1055690,1114073,1540,10,11,1035,0,0,20
31,67,1950,536874,550083,1053,5,19,1034,2,0,2
32,57,2007,2878886,3015718,1200,25,2,1025,0,0,12
33,140,2147,11994,12681,317,1,26,1026,1,0,0
34,61,2208,834897,885885,298,10,26,1025,0,0,26
35,56,2264,4466122,4502115,299,35,1,1027,1,0,14
36,82,2346,2797753,2826714,313,25,8,1031,2,0,10
37,17,2363,9050022,9077619,494,70,10,1033,1,0,22
