event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,70,70,958151,977516,958151,15,15,1000,0,0,7
2,64,134,1780285,1789806,441860,20,0,1000,1,0,13
3,49,183,5135661,5148869,649345,50,18,1004,1,0,23
4,61,244,6788034,6800932,1260423,60,22,1005,1,0,13
5,35,279,9184029,9194024,2187740,80,17,1009,1,0,10
6,61,340,2671597,2678435,1734834,25,28,1009,1,0,6
7,68,408,4108983,4120416,1743860,35,22,1010,1,0,10
8,80,488,650821,654734,1049682,10,3,1014,1,0,13
9,39,527,8737327,8750804,1441198,75,1,1014,1,0,11
10,76,603,2598972,2611969,1282969,25,1,1014,0,0,5
11,53,656,894235,902965,852772,10,1,1015,0,0,16
12,75,731,70448,70705,220627,1,4,1015,2,0,20
13,63,794,255015,259533,82421,5,10,1016,0,0,4
14,78,872,1256467,1265794,54253,15,10,1021,0,0,7
15,61,933,2253618,2259595,41134,20,1,1028,2,0,18
16,103,1036,38596,39352,9266,1,16,1040,5,0,0
17,117,1153,15250,15449,863,1,17,1048,1,0,13
18,39,1188,8722039,8732420,2297,70,11,1049,2,4,6
19,49,1237,2683892,2691473,1367,25,13,1048,1,0,4
20,56,1293,1904371,1912788,1237,20,3,1047,1,0,6
21,67,1360,828160,836375,606,10,3,1047,0,0,11
22,41,1401,5573820,5600103,685,45,3,1050,0,0,3
23,50,1451,3732682,3741803,396,30,10,1048,1,0,21
24,63,1514,3437621,3446248,480,30,11,1043,2,0,13
25,70,1584,2562227,2569113,594,25,22,1046,2,0,7
26,65,1649,4304500,4313991,856,35,10,1048,1,0,18
27,62,1711,890131,896797,334,10,10,1050,0,0,14
28,77,1788,1158679,1164922,320,10,23,1055,1,0,3
29,76,1864,1422104,1425198,174,15,24,1050,2,0,2
30,55,1915,2077037,2082319,253,20,3,1049,2,4,8
31,64,1979,895102,899382,220,10,0,1051,1,0,2
32,68,2047,709337,718272,137,10,16,1040,0,0,25
33,93,2140,1537778,1545565,489,15,16,1042,0,0,30
34,51,2187,2377400,2381599,1006,20,5,1043,2,4,0
35,62,2249,2402766,2410742,735,20,20,1050,1,0,3
36,77,2326,3986918,3994226,959,35,11,1053,1,0,0
37,52,2378,521148,523145,232,5,9,1052,1,0,12
