season_name,total_points,rank
2007/08,1821,512204
2008/09,1906,91257
2009/10,2002,421467
2010/11,1659,1183905
2011/12,1383,2287976
2012/13,1420,2256185
2016/17,1994,632463
2017/18,2124,370423
2018/19,2150,497510
2019/20,2205,273955
2020/21,2231,710031
2021/22,2139,1619049
2022/23,2018,5021256
2023/24,2200,2178717
2024/25,1805,7453093
