id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
905,79,MissedShots,0.775,0.654000015258789,0.01932849921286106,Mayoro N&#039;Doye,a,4881,OpenPlay,2014,RightFoot,6150,Nice,Metz,1,0,2014-09-13 19:00:00,Yeni N&#039;Gbakoto,Pass
906,79,MissedShots,0.855999984741211,0.6730000305175782,0.03364590182900429,Mayoro N&#039;Doye,a,4881,OpenPlay,2014,LeftFoot,6150,Nice,Metz,1,0,2014-09-13 19:00:00,Yeni N&#039;Gbakoto,Rebound
908,86,BlockedShot,0.7190000152587891,0.4759999847412109,0.015163100324571133,Mayoro N&#039;Doye,a,4881,OpenPlay,2014,RightFoot,6150,Nice,Metz,1,0,2014-09-13 19:00:00,Yeni N&#039;Gbakoto,Pass
