event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,66,66,1560764,1567810,1560765,20,0,1000,0,0,6
2,59,125,2759251,2763215,1083964,30,0,1002,0,0,8
3,66,191,666580,667834,288397,10,0,1005,0,0,10
4,75,266,2131448,2135918,237355,20,1,1003,0,0,19
5,55,321,1340381,1344482,143608,15,1,1006,0,0,19
6,67,388,1649721,1651661,124643,15,24,1009,2,0,8
7,91,479,179781,180299,30410,5,16,1011,1,0,8
8,96,575,47406,47794,3310,1,16,1020,0,0,18
9,37,612,9528531,9531655,13569,80,5,1023,1,0,6
10,78,690,2057872,2060641,13747,20,5,1029,0,0,6
11,51,741,1225686,1228826,6185,10,5,1032,0,0,8
12,76,817,61239,61242,503,1,0,1026,5,0,0
13,57,874,593162,593940,205,5,19,1027,1,0,7
14,80,954,955169,956764,112,10,19,1029,0,0,8
15,58,1012,3022795,3024935,134,25,2,1032,2,0,9
16,86,1098,602930,603895,83,5,2,1034,4,0,5
17,73,1171,5110643,5112590,220,45,6,1039,2,0,18
18,46,1217,5441815,5444549,263,45,16,1043,1,0,12
19,32,1249,10315509,10318863,552,85,19,1043,1,0,7
20,54,1303,2357536,2360198,583,20,5,1041,1,0,4
21,63,1362,1721120,1722690,538,15,10,1039,2,4,6
22,36,1398,8254680,8261022,851,65,10,1040,0,0,22
23,55,1453,1989738,1992459,340,20,2,1033,0,0,8
24,71,1524,1175406,1178116,240,10,2,1038,0,0,1
25,86,1610,222717,222801,92,5,4,1039,3,0,7
26,78,1688,1000761,1002672,66,10,4,1042,0,0,7
27,36,1724,10614860,10620064,148,85,4,1042,0,0,16
28,76,1800,1329512,1331618,145,15,15,1041,2,0,0
29,45,1845,9156794,9158081,513,75,68,1038,1,0,2
30,70,1915,135928,137188,239,5,68,1040,0,0,11
31,45,1960,4692240,4692689,599,40,56,1039,3,0,0
32,56,2016,3179668,3187035,752,25,56,1043,0,0,6
33,103,2119,850640,853022,1493,10,56,1037,0,0,9
34,62,2181,738547,742438,1351,10,56,1037,0,0,4
35,66,2247,1466423,1467258,807,15,5,1037,2,0,8
36,74,2321,4599377,4602712,1155,40,5,1037,0,0,2
37,37,2358,2466655,2466942,677,20,0,1039,3,0,0
