name,time,event
3xc,2025-09-22T19:22:56.686845Z,6
wildcard,2025-10-17T14:14:28.430446Z,8
freehit,2025-12-17T16:47:55.762148Z,17
bboost,2025-12-22T16:36:24.713434Z,18
3xc,2026-02-09T20:41:44.139482Z,26
wildcard,2026-04-10T13:03:26.357721Z,32
bboost,2026-04-16T20:26:49.509981Z,33
freehit,2026-04-20T16:59:52.244253Z,34
