season_name,total_points,rank
2011/12,803,2679602
2012/13,1603,1795460
2013/14,1363,2863157
2014/15,2064,91038
2015/16,2058,370876
2016/17,2157,122880
2017/18,2141,302715
2018/19,2244,147105
2019/20,2063,1244564
2020/21,2280,452436
2021/22,2502,104059
2022/23,2558,47668
2023/24,2502,73680
2024/25,2433,372604
