event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,47,47,6639003,6789826,6638992,75,0,1000,0,0,27
2,62,105,2254245,2264848,4675490,25,15,1001,2,4,10
3,54,159,3339053,3381051,3438443,30,40,1008,1,0,2
4,88,247,304500,317499,1045377,5,24,1007,0,0,11
5,40,287,7181102,7236249,1498455,65,12,1013,1,0,13
6,97,384,7051,7423,173525,1,12,1017,1,0,7
7,81,465,972884,1004439,93137,10,12,1019,0,0,11
8,69,534,2412978,2447495,98638,20,23,1024,1,0,20
9,54,588,3442125,3471298,80385,30,7,1027,1,0,6
10,91,679,263373,270783,30943,5,9,1030,1,0,12
11,45,724,3070018,3118056,23797,25,18,1036,1,0,0
12,46,770,3314087,3352795,22559,30,23,1036,1,0,5
13,37,807,5131318,5176768,38826,45,33,1034,1,0,8
14,72,879,2703350,2739783,37181,25,26,1034,1,0,1
15,57,936,3257301,3293669,35312,30,16,1034,1,0,3
16,66,1002,4361678,4376806,63565,35,20,1036,3,0,7
17,72,1074,5202219,5257305,102521,45,20,1040,0,0,9
18,35,1109,10270102,10291358,170898,85,9,1044,2,0,7
19,40,1149,6561034,6608730,174199,55,33,1044,1,0,4
20,74,1223,139163,141268,65428,5,11,1041,2,0,2
21,75,1298,168397,176693,26176,5,11,1044,0,0,12
22,58,1356,756487,760868,11072,10,14,1046,1,0,7
23,45,1401,5828715,5871716,9304,50,31,1051,1,0,17
24,70,1471,1500653,1520094,7175,15,20,1050,2,0,7
25,77,1548,830358,868661,5151,10,20,1054,0,0,5
26,63,1611,4755467,4843878,7175,40,20,1054,0,0,6
27,62,1673,991508,1000882,3264,10,22,1055,1,0,0
28,77,1750,1186773,1203256,3002,10,11,1058,2,0,6
29,98,1848,48641,51217,415,1,11,1059,0,0,4
30,63,1911,547027,575740,304,5,11,1062,0,0,18
31,68,1979,381422,410610,213,5,11,1063,0,0,10
32,60,2039,2261295,2274321,211,20,18,1059,2,0,11
33,100,2139,1075870,1080743,514,10,33,1054,3,0,4
34,64,2203,580259,611108,409,5,15,1050,0,0,0
35,62,2265,2200639,2281984,288,20,15,1057,0,0,6
36,71,2336,5380781,5450860,533,45,15,1058,0,0,25
37,27,2363,4984831,5086762,493,40,15,1059,0,0,20
