event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,82,82,142761,159968,142761,5,0,1000,0,0,0
2,69,151,943795,970198,41002,10,0,1001,0,0,9
3,56,207,2717662,2761149,45782,25,4,1005,1,0,28
4,78,285,1573164,1603655,36741,15,0,1008,1,0,6
5,54,339,1563964,1629234,25938,15,0,1011,0,0,13
6,75,414,592096,604634,12691,5,2,1015,1,0,10
7,86,500,486771,496400,4445,5,1,1015,2,0,12
8,73,573,1548222,1576075,4184,15,5,1022,1,0,8
9,44,617,6763654,6791317,9491,60,2,1020,2,0,7
10,87,704,568152,584272,4694,5,1,1025,1,0,8
11,28,732,10716152,10794519,13084,90,1,1027,0,0,4
12,55,787,1165188,1200230,6497,10,3,1027,0,0,8
13,45,832,2228322,2294023,7017,20,3,1031,0,0,6
14,61,893,6187523,6226925,15162,50,5,1033,1,0,4
15,53,946,4705587,4717682,19191,40,14,1034,3,0,8
16,69,1015,3485884,3503405,32623,30,5,1036,3,0,13
17,74,1089,4773623,4804307,50358,40,0,1039,1,0,9
18,48,1137,4308221,4414956,47912,35,0,1037,0,0,17
19,38,1175,7698892,7710736,55211,65,1,1035,3,0,16
20,88,1263,6141,6608,8027,1,1,1033,0,0,6
21,58,1321,3124990,3153587,7513,25,34,1033,2,0,20
22,38,1359,7180501,7320349,9340,60,34,1037,0,0,15
23,45,1404,5898494,5925424,7936,50,20,1036,2,0,9
24,80,1484,268639,274320,3441,5,15,1033,1,0,9
25,72,1556,1929571,1966617,3337,20,38,1039,1,0,6
26,90,1646,167708,171671,1003,5,24,1041,1,0,7
27,62,1708,890131,929038,400,10,24,1044,0,0,14
28,74,1782,1609695,1632889,461,15,28,1048,1,0,1
29,73,1855,1768609,1820365,284,15,28,1047,0,0,14
30,50,1905,3580522,3619238,437,30,79,1048,1,0,11
31,66,1971,663999,671476,326,10,102,1046,3,0,7
32,59,2030,2298840,2387863,331,20,6,1040,0,0,11
33,113,2143,438901,442208,388,5,7,1038,1,0,0
34,54,2197,1751042,1807089,566,15,7,1038,0,0,14
35,56,2253,4156291,4301174,572,35,7,1041,0,0,14
36,81,2334,3031146,3055729,609,25,20,1043,2,0,7
37,18,2352,8650158,8678038,911,70,3,1043,1,0,11
