season_name,total_points,rank
2010/11,1680,1105094
2011/12,1979,208837
2012/13,2206,11389
2013/14,2304,75238
2014/15,2060,96774
2015/16,2237,17729
2016/17,2183,86061
2017/18,2174,189097
2018/19,2231,176607
2019/20,2301,48300
2020/21,2373,136592
2021/22,2615,12930
2022/23,2552,55245
2023/24,2397,375722
2024/25,2503,118517
