season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2021/22,492777,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2023/24,492777,40,41,50,752,1,3,3,7,1,0,0,2,0,0,7,211,230.4,215.8,160.0,60.6,0,0,0,0,10,0.91,1.24,2.15,7.47
2024/25,492777,50,47,41,744,0,2,3,10,0,0,0,4,0,0,3,160,156.2,110.5,162.0,42.8,0,0,0,45,7,0.70,1.43,2.13,12.40
